# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC/h_rap
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC/h_rap
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC/h_rap
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC/h_rap
ScaledBy=2.29383292199429561e+04
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+01	-9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.800000e+00	-9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.600000e+00	-9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.400000e+00	-9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.200000e+00	-9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.000000e+00	-8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.800000e+00	-8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.600000e+00	-8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.400000e+00	-8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.200000e+00	-8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.000000e+00	-7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.800000e+00	-7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.600000e+00	-7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.400000e+00	-7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.200000e+00	-7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.000000e+00	-6.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-6.800000e+00	-6.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-6.600000e+00	-6.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-6.400000e+00	-6.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-6.200000e+00	-6.000000e+00	5.734580e+05	2.564583e+05	2.564583e+05
-6.000000e+00	-5.800000e+00	5.734580e+05	2.564583e+05	2.564583e+05
-5.800000e+00	-5.600000e+00	9.175330e+05	3.243970e+05	3.243970e+05
-5.600000e+00	-5.400000e+00	1.032225e+06	3.440750e+05	3.440750e+05
-5.400000e+00	-5.200000e+00	1.605683e+06	4.291368e+05	4.291368e+05
-5.200000e+00	-5.000000e+00	2.408524e+06	5.255832e+05	5.255832e+05
-5.000000e+00	-4.800000e+00	3.555441e+06	6.385762e+05	6.385762e+05
-4.800000e+00	-4.600000e+00	4.587666e+06	7.253737e+05	7.253737e+05
-4.600000e+00	-4.400000e+00	6.193350e+06	8.428081e+05	8.428081e+05
-4.400000e+00	-4.200000e+00	8.716565e+06	9.998586e+05	9.998586e+05
-4.200000e+00	-4.000000e+00	1.089570e+07	1.117876e+06	1.117876e+06
-4.000000e+00	-3.800000e+00	1.433645e+07	1.282292e+06	1.282292e+06
-3.800000e+00	-3.600000e+00	1.490992e+07	1.307686e+06	1.307686e+06
