# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_rap_ratio
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_rap_ratio
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_rap_ratio
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_rap_ratio
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.030000e+00	nan	nan	nan
2.030000e+00	2.060000e+00	nan	nan	nan
2.060000e+00	2.090000e+00	nan	nan	nan
2.090000e+00	2.120000e+00	nan	nan	nan
2.120000e+00	2.150000e+00	nan	nan	nan
2.150000e+00	2.180000e+00	nan	nan	nan
2.180000e+00	2.210000e+00	2.333333e+00	1.610153e+00	1.610153e+00
2.210000e+00	2.240000e+00	8.000000e-01	5.366563e-01	5.366563e-01
2.240000e+00	2.270000e+00	6.666667e+00	4.127595e+00	4.127595e+00
2.270000e+00	2.300000e+00	2.000000e+00	1.000000e+00	1.000000e+00
2.300000e+00	2.330000e+00	1.666667e+00	8.606630e-01	8.606630e-01
2.330000e+00	2.360000e+00	2.166667e+00	1.069354e+00	1.069354e+00
2.360000e+00	2.390000e+00	2.000000e+00	7.385489e-01	7.385489e-01
2.390000e+00	2.420000e+00	3.125000e+00	1.269381e+00	1.269381e+00
2.420000e+00	2.450000e+00	1.200000e+00	4.195235e-01	4.195235e-01
2.450000e+00	2.480000e+00	2.500000e+00	9.354143e-01	9.354143e-01
2.480000e+00	2.510000e+00	2.500000e+00	7.905694e-01	7.905694e-01
2.510000e+00	2.540000e+00	4.000000e+00	1.414214e+00	1.414214e+00
2.540000e+00	2.570000e+00	1.928571e+00	6.351580e-01	6.351580e-01
2.570000e+00	2.600000e+00	2.071429e+00	6.741261e-01	6.741261e-01
2.600000e+00	2.630000e+00	1.923077e+00	6.575772e-01	6.575772e-01
2.630000e+00	2.660000e+00	3.250000e+00	1.313987e+00	1.313987e+00
2.660000e+00	2.690000e+00	4.625000e+00	1.803317e+00	1.803317e+00
2.690000e+00	2.720000e+00	2.214286e+00	7.130091e-01	7.130091e-01
2.720000e+00	2.750000e+00	2.300000e+00	8.712061e-01	8.712061e-01
2.750000e+00	2.780000e+00	6.500000e+00	2.850439e+00	2.850439e+00
2.780000e+00	2.810000e+00	1.846154e+00	6.357574e-01	6.357574e-01
2.810000e+00	2.840000e+00	1.812500e+00	5.644497e-01	5.644497e-01
2.840000e+00	2.870000e+00	1.500000e+00	5.175492e-01	5.175492e-01
2.870000e+00	2.900000e+00	2.857143e+00	1.254729e+00	1.254729e+00
2.900000e+00	2.930000e+00	6.000000e+00	3.240370e+00	3.240370e+00
2.930000e+00	2.960000e+00	2.500000e+00	1.045825e+00	1.045825e+00
2.960000e+00	2.990000e+00	3.857143e+00	1.635966e+00	1.635966e+00
2.990000e+00	3.020000e+00	2.857143e+00	1.254729e+00	1.254729e+00
3.020000e+00	3.050000e+00	3.000000e+00	1.044466e+00	1.044466e+00
3.050000e+00	3.080000e+00	1.466667e+00	4.911061e-01	4.911061e-01
3.080000e+00	3.110000e+00	3.571429e+00	1.527207e+00	1.527207e+00
3.110000e+00	3.140000e+00	2.875000e+00	1.180075e+00	1.180075e+00
3.140000e+00	3.170000e+00	3.666667e+00	1.378853e+00	1.378853e+00
3.170000e+00	3.200000e+00	2.000000e+00	8.164966e-01	8.164966e-01
3.200000e+00	3.230000e+00	5.400000e+00	2.629068e+00	2.629068e+00
3.230000e+00	3.260000e+00	7.000000e+00	3.741657e+00	3.741657e+00
3.260000e+00	3.290000e+00	2.272727e+00	8.223037e-01	8.223037e-01
3.290000e+00	3.320000e+00	2.666667e+00	1.276569e+00	1.276569e+00
3.320000e+00	3.350000e+00	2.000000e+00	8.660254e-01	8.660254e-01
3.350000e+00	3.380000e+00	2.272727e+00	8.223037e-01	8.223037e-01
3.380000e+00	3.410000e+00	2.571429e+00	1.145405e+00	1.145405e+00
3.410000e+00	3.440000e+00	3.125000e+00	1.269381e+00	1.269381e+00
3.440000e+00	3.470000e+00	2.571429e+00	1.145405e+00	1.145405e+00
3.470000e+00	3.500000e+00	2.125000e+00	9.110862e-01	9.110862e-01
3.500000e+00	3.530000e+00	3.000000e+00	1.549193e+00	1.549193e+00
3.530000e+00	3.560000e+00	3.000000e+00	1.732051e+00	1.732051e+00
3.560000e+00	3.590000e+00	3.400000e+00	1.729740e+00	1.729740e+00
3.590000e+00	3.620000e+00	1.400000e+01	1.449138e+01	1.449138e+01
3.620000e+00	3.650000e+00	5.750000e+00	3.114984e+00	3.114984e+00
3.650000e+00	3.680000e+00	3.000000e+00	1.732051e+00	1.732051e+00
3.680000e+00	3.710000e+00	4.333333e+00	2.775555e+00	2.775555e+00
3.710000e+00	3.740000e+00	3.285714e+00	1.418331e+00	1.418331e+00
3.740000e+00	3.770000e+00	1.200000e+00	5.138093e-01	5.138093e-01
3.770000e+00	3.800000e+00	1.200000e+00	5.138093e-01	5.138093e-01
3.800000e+00	3.830000e+00	3.500000e+00	1.984313e+00	1.984313e+00
3.830000e+00	3.860000e+00	2.166667e+00	1.069354e+00	1.069354e+00
3.860000e+00	3.890000e+00	1.400000e+00	5.796551e-01	5.796551e-01
3.890000e+00	3.920000e+00	1.750000e+00	1.096871e+00	1.096871e+00
3.920000e+00	3.950000e+00	4.000000e+00	2.236068e+00	2.236068e+00
