# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_B0
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_B0
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_B0
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_B0
ScaledBy=3.47353013855299332e+03
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e+00	4.220000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.220000e+00	4.440000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.440000e+00	4.660000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.660000e+00	4.880000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.880000e+00	5.100000e+00	2.289372e+06	1.901220e+05	1.901220e+05
5.100000e+00	5.320000e+00	4.815577e+06	2.757391e+05	2.757391e+05
5.320000e+00	5.540000e+00	4.389279e+06	2.632514e+05	2.632514e+05
5.540000e+00	5.760000e+00	4.089292e+06	2.540963e+05	2.540963e+05
5.760000e+00	5.980000e+00	3.678784e+06	2.410052e+05	2.410052e+05
5.980000e+00	6.200000e+00	3.789305e+06	2.445986e+05	2.445986e+05
6.200000e+00	6.420000e+00	3.410375e+06	2.320466e+05	2.320466e+05
6.420000e+00	6.640000e+00	2.857768e+06	2.124162e+05	2.124162e+05
6.640000e+00	6.860000e+00	3.552474e+06	2.368316e+05	2.368316e+05
6.860000e+00	7.080000e+00	3.505108e+06	2.352474e+05	2.352474e+05
7.080000e+00	7.300000e+00	2.857768e+06	2.124162e+05	2.124162e+05
7.300000e+00	7.520000e+00	2.494626e+06	1.984618e+05	1.984618e+05
7.520000e+00	7.740000e+00	2.936712e+06	2.153302e+05	2.153302e+05
7.740000e+00	7.960000e+00	2.242006e+06	1.881449e+05	1.881449e+05
7.960000e+00	8.180000e+00	2.131485e+06	1.834490e+05	1.834490e+05
8.180000e+00	8.400000e+00	2.210428e+06	1.868153e+05	1.868153e+05
8.400000e+00	8.620000e+00	1.910441e+06	1.736765e+05	1.736765e+05
8.620000e+00	8.840000e+00	2.099907e+06	1.820850e+05	1.820850e+05
8.840000e+00	9.060000e+00	1.468356e+06	1.522614e+05	1.522614e+05
9.060000e+00	9.280000e+00	1.610455e+06	1.594588e+05	1.594588e+05
9.280000e+00	9.500000e+00	1.642032e+06	1.610145e+05	1.610145e+05
9.500000e+00	9.720000e+00	1.689399e+06	1.633203e+05	1.633203e+05
9.720000e+00	9.940000e+00	1.515722e+06	1.546978e+05	1.546978e+05
9.940000e+00	1.016000e+01	1.468356e+06	1.522614e+05	1.522614e+05
1.016000e+01	1.038000e+01	1.326257e+06	1.447065e+05	1.447065e+05
1.038000e+01	1.060000e+01	1.184158e+06	1.367348e+05	1.367348e+05
1.060000e+01	1.082000e+01	1.247313e+06	1.403337e+05	1.403337e+05
1.082000e+01	1.104000e+01	1.215735e+06	1.385459e+05	1.385459e+05
1.104000e+01	1.126000e+01	1.042059e+06	1.282686e+05	1.282686e+05
1.126000e+01	1.148000e+01	9.157486e+05	1.202437e+05	1.202437e+05
1.148000e+01	1.170000e+01	8.052273e+05	1.127544e+05	1.127544e+05
1.170000e+01	1.192000e+01	9.631150e+05	1.233143e+05	1.233143e+05
1.192000e+01	1.214000e+01	8.841714e+05	1.181524e+05	1.181524e+05
1.214000e+01	1.236000e+01	6.789173e+05	1.035339e+05	1.035339e+05
1.236000e+01	1.258000e+01	5.210295e+05	9.069960e+04	9.069960e+04
1.258000e+01	1.280000e+01	5.210295e+05	9.069960e+04	9.069960e+04
