# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_Bc
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_Bc
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_Bc
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_Bc
ScaledBy=3.47353013855299332e+03
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e+00	4.220000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.220000e+00	4.440000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.440000e+00	4.660000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.660000e+00	4.880000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.880000e+00	5.100000e+00	2.826190e+06	2.112394e+05	2.112394e+05
5.100000e+00	5.320000e+00	5.478705e+06	2.941123e+05	2.941123e+05
5.320000e+00	5.540000e+00	5.794482e+06	3.024694e+05	3.024694e+05
5.540000e+00	5.760000e+00	5.320818e+06	2.898434e+05	2.898434e+05
5.760000e+00	5.980000e+00	6.110255e+06	3.106017e+05	3.106017e+05
5.980000e+00	6.200000e+00	5.320818e+06	2.898434e+05	2.898434e+05
6.200000e+00	6.420000e+00	5.510282e+06	2.949586e+05	2.949586e+05
6.420000e+00	6.640000e+00	5.589227e+06	2.970640e+05	2.970640e+05
6.640000e+00	6.860000e+00	4.578745e+06	2.688731e+05	2.688731e+05
6.860000e+00	7.080000e+00	5.605014e+06	2.974833e+05	2.974833e+05
7.080000e+00	7.300000e+00	5.083986e+06	2.833194e+05	2.833194e+05
7.300000e+00	7.520000e+00	5.478705e+06	2.941123e+05	2.941123e+05
7.520000e+00	7.740000e+00	5.257664e+06	2.881181e+05	2.881181e+05
7.740000e+00	7.960000e+00	4.831364e+06	2.761907e+05	2.761907e+05
7.960000e+00	8.180000e+00	4.689264e+06	2.720988e+05	2.720988e+05
8.180000e+00	8.400000e+00	4.673477e+06	2.716403e+05	2.716403e+05
8.400000e+00	8.620000e+00	4.484012e+06	2.660771e+05	2.660771e+05
8.620000e+00	8.840000e+00	4.452434e+06	2.651386e+05	2.651386e+05
8.840000e+00	9.060000e+00	4.641900e+06	2.707211e+05	2.707211e+05
9.060000e+00	9.280000e+00	4.389279e+06	2.632514e+05	2.632514e+05
9.280000e+00	9.500000e+00	4.357701e+06	2.623028e+05	2.623028e+05
9.500000e+00	9.720000e+00	4.515589e+06	2.670124e+05	2.670124e+05
9.720000e+00	9.940000e+00	4.657686e+06	2.711811e+05	2.711811e+05
9.940000e+00	1.016000e+01	3.773517e+06	2.440885e+05	2.440885e+05
1.016000e+01	1.038000e+01	3.820883e+06	2.456157e+05	2.456157e+05
1.038000e+01	1.060000e+01	4.057715e+06	2.531133e+05	2.531133e+05
1.060000e+01	1.082000e+01	3.489319e+06	2.347170e+05	2.347170e+05
1.082000e+01	1.104000e+01	3.552474e+06	2.368316e+05	2.368316e+05
1.104000e+01	1.126000e+01	3.741939e+06	2.430651e+05	2.430651e+05
1.126000e+01	1.148000e+01	3.157755e+06	2.232870e+05	2.232870e+05
1.148000e+01	1.170000e+01	3.205121e+06	2.249554e+05	2.249554e+05
1.170000e+01	1.192000e+01	3.141966e+06	2.227281e+05	2.227281e+05
1.192000e+01	1.214000e+01	2.905134e+06	2.141694e+05	2.141694e+05
1.214000e+01	1.236000e+01	3.141966e+06	2.227281e+05	2.227281e+05
1.236000e+01	1.258000e+01	2.684091e+06	2.058604e+05	2.058604e+05
1.258000e+01	1.280000e+01	2.778824e+06	2.094617e+05	2.094617e+05
