# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_rap_B0
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_rap_B0
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_rap_B0
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_rap_B0
ScaledBy=3.47353013855299332e+03
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.030000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.030000e+00	2.060000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.060000e+00	2.090000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.090000e+00	2.120000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.120000e+00	2.150000e+00	4.631373e+05	2.315687e+05	2.315687e+05
2.150000e+00	2.180000e+00	1.042059e+06	3.473530e+05	3.473530e+05
2.180000e+00	2.210000e+00	2.778824e+06	5.672251e+05	5.672251e+05
2.210000e+00	2.240000e+00	4.052453e+06	6.849894e+05	6.849894e+05
2.240000e+00	2.270000e+00	4.284020e+06	7.042886e+05	7.042886e+05
2.270000e+00	2.300000e+00	4.052453e+06	6.849894e+05	6.849894e+05
2.300000e+00	2.330000e+00	6.136570e+06	8.429227e+05	8.429227e+05
2.330000e+00	2.360000e+00	9.262747e+06	1.035607e+06	1.035607e+06
2.360000e+00	2.390000e+00	1.030481e+07	1.092307e+06	1.092307e+06
2.390000e+00	2.420000e+00	1.088373e+07	1.122571e+06	1.122571e+06
2.420000e+00	2.450000e+00	1.783079e+07	1.436846e+06	1.436846e+06
2.450000e+00	2.480000e+00	1.482040e+07	1.309950e+06	1.309950e+06
2.480000e+00	2.510000e+00	1.898863e+07	1.482763e+06	1.482763e+06
2.510000e+00	2.540000e+00	1.308363e+07	1.230805e+06	1.230805e+06
2.540000e+00	2.570000e+00	1.319941e+07	1.236238e+06	1.236238e+06
2.570000e+00	2.600000e+00	1.157843e+07	1.157843e+06	1.157843e+06
2.600000e+00	2.630000e+00	1.250471e+07	1.203266e+06	1.203266e+06
2.630000e+00	2.660000e+00	1.296785e+07	1.225346e+06	1.225346e+06
2.660000e+00	2.690000e+00	1.296785e+07	1.225346e+06	1.225346e+06
2.690000e+00	2.720000e+00	1.389412e+07	1.268354e+06	1.268354e+06
2.720000e+00	2.750000e+00	1.389412e+07	1.268354e+06	1.268354e+06
2.750000e+00	2.780000e+00	1.238892e+07	1.197682e+06	1.197682e+06
2.780000e+00	2.810000e+00	1.204157e+07	1.180773e+06	1.180773e+06
2.810000e+00	2.840000e+00	9.262747e+06	1.035607e+06	1.035607e+06
2.840000e+00	2.870000e+00	1.111530e+07	1.134450e+06	1.134450e+06
2.870000e+00	2.900000e+00	1.088373e+07	1.122571e+06	1.122571e+06
2.900000e+00	2.930000e+00	9.725883e+06	1.061181e+06	1.061181e+06
2.930000e+00	2.960000e+00	1.227314e+07	1.192073e+06	1.192073e+06
2.960000e+00	2.990000e+00	1.076794e+07	1.116584e+06	1.116584e+06
2.990000e+00	3.020000e+00	9.841670e+06	1.067479e+06	1.067479e+06
3.020000e+00	3.050000e+00	9.725883e+06	1.061181e+06	1.061181e+06
3.050000e+00	3.080000e+00	9.378530e+06	1.042059e+06	1.042059e+06
3.080000e+00	3.110000e+00	9.725883e+06	1.061181e+06	1.061181e+06
3.110000e+00	3.140000e+00	9.146963e+06	1.029114e+06	1.029114e+06
3.140000e+00	3.170000e+00	1.042059e+07	1.098427e+06	1.098427e+06
3.170000e+00	3.200000e+00	9.725883e+06	1.061181e+06	1.061181e+06
3.200000e+00	3.230000e+00	8.915393e+06	1.016003e+06	1.016003e+06
3.230000e+00	3.260000e+00	8.220687e+06	9.756162e+05	9.756162e+05
3.260000e+00	3.290000e+00	9.725883e+06	1.061181e+06	1.061181e+06
3.290000e+00	3.320000e+00	8.452257e+06	9.892618e+05	9.892618e+05
3.320000e+00	3.350000e+00	7.989120e+06	9.617769e+05	9.617769e+05
3.350000e+00	3.380000e+00	1.134687e+07	1.146206e+06	1.146206e+06
3.380000e+00	3.410000e+00	7.178630e+06	9.116868e+05	9.116868e+05
3.410000e+00	3.440000e+00	7.294413e+06	9.190097e+05	9.190097e+05
3.440000e+00	3.470000e+00	9.262747e+06	1.035607e+06	1.035607e+06
3.470000e+00	3.500000e+00	9.494317e+06	1.048472e+06	1.048472e+06
3.500000e+00	3.530000e+00	7.641767e+06	9.406364e+05	9.406364e+05
3.530000e+00	3.560000e+00	7.410197e+06	9.262747e+05	9.262747e+05
3.560000e+00	3.590000e+00	7.525983e+06	9.334832e+05	9.334832e+05
3.590000e+00	3.620000e+00	6.483923e+06	8.664507e+05	8.664507e+05
3.620000e+00	3.650000e+00	8.568040e+06	9.960146e+05	9.960146e+05
3.650000e+00	3.680000e+00	6.715490e+06	8.817873e+05	8.817873e+05
3.680000e+00	3.710000e+00	7.178630e+06	9.116868e+05	9.116868e+05
3.710000e+00	3.740000e+00	7.641767e+06	9.406364e+05	9.406364e+05
3.740000e+00	3.770000e+00	7.294413e+06	9.190097e+05	9.190097e+05
3.770000e+00	3.800000e+00	9.031180e+06	1.022580e+06	1.022580e+06
3.800000e+00	3.830000e+00	5.789217e+06	8.187189e+05	8.187189e+05
3.830000e+00	3.860000e+00	5.326080e+06	7.852876e+05	7.852876e+05
3.860000e+00	3.890000e+00	5.673433e+06	8.104904e+05	8.104904e+05
3.890000e+00	3.920000e+00	6.020787e+06	8.349327e+05	8.349327e+05
3.920000e+00	3.950000e+00	7.062843e+06	9.043046e+05	9.043046e+05
3.950000e+00	3.980000e+00	6.368140e+06	8.586796e+05	8.586796e+05
3.980000e+00	4.010000e+00	5.441863e+06	7.937774e+05	7.937774e+05
4.010000e+00	4.040000e+00	5.905000e+06	8.268656e+05	8.268656e+05
4.040000e+00	4.070000e+00	5.441863e+06	7.937774e+05	7.937774e+05
4.070000e+00	4.100000e+00	5.789217e+06	8.187189e+05	8.187189e+05
4.100000e+00	4.130000e+00	4.747157e+06	7.413815e+05	7.413815e+05
4.130000e+00	4.160000e+00	4.747157e+06	7.413815e+05	7.413815e+05
4.160000e+00	4.190000e+00	4.399803e+06	7.137426e+05	7.137426e+05
4.190000e+00	4.220000e+00	4.052453e+06	6.849894e+05	6.849894e+05
4.220000e+00	4.250000e+00	2.547255e+06	5.430767e+05	5.430767e+05
4.250000e+00	4.280000e+00	2.547255e+06	5.430767e+05	5.430767e+05
4.280000e+00	4.310000e+00	2.431471e+06	5.305904e+05	5.305904e+05
4.310000e+00	4.340000e+00	1.736765e+06	4.484308e+05	4.484308e+05
4.340000e+00	4.370000e+00	6.947060e+05	2.836125e+05	2.836125e+05
4.370000e+00	4.400000e+00	9.262747e+05	3.274876e+05	3.274876e+05
4.400000e+00	4.430000e+00	5.789217e+05	2.589017e+05	2.589017e+05
4.430000e+00	4.460000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.460000e+00	4.490000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.490000e+00	4.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.520000e+00	4.550000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.550000e+00	4.580000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.580000e+00	4.610000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.610000e+00	4.640000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.640000e+00	4.670000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.670000e+00	4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e+00	4.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.730000e+00	4.760000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.760000e+00	4.790000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.790000e+00	4.820000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.820000e+00	4.850000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.850000e+00	4.880000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.880000e+00	4.910000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.910000e+00	4.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.940000e+00	4.970000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.970000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

