# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_rap_Bc
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_rap_Bc
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_rap_Bc
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_rap_Bc
ScaledBy=3.47353013855299332e+03
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.030000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.030000e+00	2.060000e+00	6.947060e+05	2.836125e+05	2.836125e+05
2.060000e+00	2.090000e+00	1.620981e+06	4.332254e+05	4.332254e+05
2.090000e+00	2.120000e+00	3.241961e+06	6.126731e+05	6.126731e+05
2.120000e+00	2.150000e+00	2.663040e+06	5.552822e+05	5.552822e+05
2.150000e+00	2.180000e+00	4.747157e+06	7.413815e+05	7.413815e+05
2.180000e+00	2.210000e+00	7.757550e+06	9.477357e+05	9.477357e+05
2.210000e+00	2.240000e+00	1.053637e+07	1.104512e+06	1.104512e+06
2.240000e+00	2.270000e+00	1.319941e+07	1.236238e+06	1.236238e+06
2.270000e+00	2.300000e+00	1.435726e+07	1.289320e+06	1.289320e+06
2.300000e+00	2.330000e+00	1.516775e+07	1.325212e+06	1.325212e+06
2.330000e+00	2.360000e+00	1.922020e+07	1.491777e+06	1.491777e+06
2.360000e+00	2.390000e+00	2.280951e+07	1.625111e+06	1.625111e+06
2.390000e+00	2.420000e+00	2.732510e+07	1.778713e+06	1.778713e+06
2.420000e+00	2.450000e+00	3.137756e+07	1.906051e+06	1.906051e+06
2.450000e+00	2.480000e+00	3.461953e+07	2.002098e+06	2.002098e+06
2.480000e+00	2.510000e+00	3.751413e+07	2.084118e+06	2.084118e+06
2.510000e+00	2.540000e+00	3.531423e+07	2.022087e+06	2.022087e+06
2.540000e+00	2.570000e+00	3.427217e+07	1.992029e+06	1.992029e+06
2.570000e+00	2.600000e+00	3.438793e+07	1.995391e+06	1.995391e+06
2.600000e+00	2.630000e+00	3.241961e+07	1.937442e+06	1.937442e+06
2.630000e+00	2.660000e+00	3.346167e+07	1.968334e+06	1.968334e+06
2.660000e+00	2.690000e+00	3.427217e+07	1.992029e+06	1.992029e+06
2.690000e+00	2.720000e+00	3.392480e+07	1.981909e+06	1.981909e+06
2.720000e+00	2.750000e+00	2.825138e+07	1.808609e+06	1.808609e+06
2.750000e+00	2.780000e+00	3.334590e+07	1.964926e+06	1.964926e+06
2.780000e+00	2.810000e+00	3.010393e+07	1.866966e+06	1.866966e+06
2.810000e+00	2.840000e+00	3.114599e+07	1.899004e+06	1.899004e+06
2.840000e+00	2.870000e+00	2.940922e+07	1.845299e+06	1.845299e+06
2.870000e+00	2.900000e+00	2.940922e+07	1.845299e+06	1.845299e+06
2.900000e+00	2.930000e+00	3.288275e+07	1.951232e+06	1.951232e+06
2.930000e+00	2.960000e+00	2.836716e+07	1.812312e+06	1.812312e+06
2.960000e+00	2.990000e+00	2.801981e+07	1.801182e+06	1.801182e+06
2.990000e+00	3.020000e+00	2.489363e+07	1.697731e+06	1.697731e+06
3.020000e+00	3.050000e+00	2.778824e+07	1.793723e+06	1.793723e+06
3.050000e+00	3.080000e+00	3.045128e+07	1.877706e+06	1.877706e+06
3.080000e+00	3.110000e+00	2.593569e+07	1.732901e+06	1.732901e+06
3.110000e+00	3.140000e+00	2.697775e+07	1.767371e+06	1.767371e+06
3.140000e+00	3.170000e+00	2.744089e+07	1.782477e+06	1.782477e+06
3.170000e+00	3.200000e+00	2.257795e+07	1.616840e+06	1.616840e+06
3.200000e+00	3.230000e+00	2.697775e+07	1.767371e+06	1.767371e+06
3.230000e+00	3.260000e+00	2.686197e+07	1.763574e+06	1.763574e+06
3.260000e+00	3.290000e+00	2.524099e+07	1.709535e+06	1.709535e+06
3.290000e+00	3.320000e+00	2.304108e+07	1.633339e+06	1.633339e+06
3.320000e+00	3.350000e+00	2.199902e+07	1.595977e+06	1.595977e+06
