# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_eta_B0
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_eta_B0
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_eta_B0
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_eta_B0
ScaledBy=3.47144448181360531e+02
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.030000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.030000e+00	2.060000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.060000e+00	2.090000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.090000e+00	2.120000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.120000e+00	2.150000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.150000e+00	2.180000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.180000e+00	2.210000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.210000e+00	2.240000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.240000e+00	2.270000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.270000e+00	2.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+00	2.330000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.330000e+00	2.360000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.360000e+00	2.390000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.390000e+00	2.420000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.420000e+00	2.450000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.450000e+00	2.480000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.480000e+00	2.510000e+00	5.311310e+06	2.479107e+05	2.479107e+05
2.510000e+00	2.540000e+00	1.442964e+07	4.086225e+05	4.086225e+05
2.540000e+00	2.570000e+00	1.489250e+07	4.151243e+05	4.151243e+05
2.570000e+00	2.600000e+00	1.474207e+07	4.130225e+05	4.130225e+05
2.600000e+00	2.630000e+00	1.492721e+07	4.156080e+05	4.156080e+05
2.630000e+00	2.660000e+00	1.520493e+07	4.194563e+05	4.194563e+05
2.660000e+00	2.690000e+00	1.395521e+07	4.018488e+05	4.018488e+05
2.690000e+00	2.720000e+00	1.432549e+07	4.071452e+05	4.071452e+05
2.720000e+00	2.750000e+00	1.486935e+07	4.148017e+05	4.148017e+05
2.750000e+00	2.780000e+00	1.380478e+07	3.996771e+05	3.996771e+05
2.780000e+00	2.810000e+00	1.367749e+07	3.978302e+05	3.978302e+05
2.810000e+00	2.840000e+00	1.313363e+07	3.898404e+05	3.898404e+05
2.840000e+00	2.870000e+00	1.350392e+07	3.952978e+05	3.952978e+05
2.870000e+00	2.900000e+00	1.313363e+07	3.898404e+05	3.898404e+05
2.900000e+00	2.930000e+00	1.298320e+07	3.876015e+05	3.876015e+05
2.930000e+00	2.960000e+00	1.252034e+07	3.806296e+05	3.806296e+05
2.960000e+00	2.990000e+00	1.264763e+07	3.825595e+05	3.825595e+05
2.990000e+00	3.020000e+00	1.225420e+07	3.765624e+05	3.765624e+05
3.020000e+00	3.050000e+00	1.191863e+07	3.713706e+05	3.713706e+05
3.050000e+00	3.080000e+00	1.250877e+07	3.804537e+05	3.804537e+05
3.080000e+00	3.110000e+00	1.183763e+07	3.701066e+05	3.701066e+05
3.110000e+00	3.140000e+00	1.174505e+07	3.686566e+05	3.686566e+05
3.140000e+00	3.170000e+00	1.117805e+07	3.596480e+05	3.596480e+05
3.170000e+00	3.200000e+00	1.168720e+07	3.677475e+05	3.677475e+05
3.200000e+00	3.230000e+00	1.093505e+07	3.557173e+05	3.557173e+05
3.230000e+00	3.260000e+00	1.065733e+07	3.511711e+05	3.511711e+05
3.260000e+00	3.290000e+00	1.128219e+07	3.613193e+05	3.613193e+05
3.290000e+00	3.320000e+00	1.164091e+07	3.670185e+05	3.670185e+05
3.320000e+00	3.350000e+00	1.041433e+07	3.471444e+05	3.471444e+05
3.350000e+00	3.380000e+00	1.072676e+07	3.523131e+05	3.523131e+05
3.380000e+00	3.410000e+00	1.066891e+07	3.513616e+05	3.513616e+05
3.410000e+00	3.440000e+00	1.050691e+07	3.486839e+05	3.486839e+05
3.440000e+00	3.470000e+00	9.916760e+06	3.387500e+05	3.387500e+05
3.470000e+00	3.500000e+00	1.053005e+07	3.490676e+05	3.490676e+05
3.500000e+00	3.530000e+00	9.974617e+06	3.397368e+05	3.397368e+05
3.530000e+00	3.560000e+00	9.442330e+06	3.305476e+05	3.305476e+05
3.560000e+00	3.590000e+00	9.812617e+06	3.369667e+05	3.369667e+05
3.590000e+00	3.620000e+00	8.898470e+06	3.208870e+05	3.208870e+05
3.620000e+00	3.650000e+00	9.500187e+06	3.315588e+05	3.315588e+05
3.650000e+00	3.680000e+00	8.910040e+06	3.210956e+05	3.210956e+05
3.680000e+00	3.710000e+00	8.539753e+06	3.143527e+05	3.143527e+05
3.710000e+00	3.740000e+00	8.505040e+06	3.137131e+05	3.137131e+05
3.740000e+00	3.770000e+00	8.366180e+06	3.111416e+05	3.111416e+05
3.770000e+00	3.800000e+00	8.713327e+06	3.175312e+05	3.175312e+05
3.800000e+00	3.830000e+00	8.655467e+06	3.164753e+05	3.164753e+05
3.830000e+00	3.860000e+00	8.424040e+06	3.122156e+05	3.122156e+05
3.860000e+00	3.890000e+00	7.868607e+06	3.017473e+05	3.017473e+05
3.890000e+00	3.920000e+00	7.637177e+06	2.972768e+05	2.972768e+05
3.920000e+00	3.950000e+00	7.104890e+06	2.867300e+05	2.867300e+05
3.950000e+00	3.980000e+00	7.625607e+06	2.970515e+05	2.970515e+05
3.980000e+00	4.010000e+00	7.278463e+06	2.902113e+05	2.902113e+05
4.010000e+00	4.040000e+00	7.440463e+06	2.934232e+05	2.934232e+05
4.040000e+00	4.070000e+00	7.220603e+06	2.890555e+05	2.890555e+05
4.070000e+00	4.100000e+00	6.850317e+06	2.815463e+05	2.815463e+05
4.100000e+00	4.130000e+00	6.572600e+06	2.757802e+05	2.757802e+05
4.130000e+00	4.160000e+00	6.445317e+06	2.730968e+05	2.730968e+05
4.160000e+00	4.190000e+00	6.757747e+06	2.796375e+05	2.796375e+05
4.190000e+00	4.220000e+00	6.167600e+06	2.671484e+05	2.671484e+05
4.220000e+00	4.250000e+00	6.399030e+06	2.721144e+05	2.721144e+05
4.250000e+00	4.280000e+00	5.855170e+06	2.602940e+05	2.602940e+05
4.280000e+00	4.310000e+00	6.156027e+06	2.668977e+05	2.668977e+05
4.310000e+00	4.340000e+00	5.924600e+06	2.618327e+05	2.618327e+05
4.340000e+00	4.370000e+00	6.190743e+06	2.676491e+05	2.676491e+05
4.370000e+00	4.400000e+00	5.947740e+06	2.623436e+05	2.623436e+05
4.400000e+00	4.430000e+00	5.322880e+06	2.481806e+05	2.481806e+05
4.430000e+00	4.460000e+00	4.952593e+06	2.393927e+05	2.393927e+05
4.460000e+00	4.490000e+00	5.450167e+06	2.511305e+05	2.511305e+05
4.490000e+00	4.520000e+00	1.596864e+06	1.359341e+05	1.359341e+05
4.520000e+00	4.550000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.550000e+00	4.580000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.580000e+00	4.610000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.610000e+00	4.640000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.640000e+00	4.670000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.670000e+00	4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e+00	4.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.730000e+00	4.760000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.760000e+00	4.790000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.790000e+00	4.820000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.820000e+00	4.850000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.850000e+00	4.880000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.880000e+00	4.910000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.910000e+00	4.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.940000e+00	4.970000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.970000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

