# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_B0
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_B0
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_B0
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_B0
ScaledBy=3.47144448181360531e+02
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e+00	4.220000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.220000e+00	4.440000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.440000e+00	4.660000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.660000e+00	4.880000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.880000e+00	5.100000e+00	1.226051e+06	4.398434e+04	4.398434e+04
5.100000e+00	5.320000e+00	2.493128e+06	6.272144e+04	6.272144e+04
5.320000e+00	5.540000e+00	2.493128e+06	6.272144e+04	6.272144e+04
5.540000e+00	5.760000e+00	2.329024e+06	6.062207e+04	6.062207e+04
5.760000e+00	5.980000e+00	2.158607e+06	5.836206e+04	5.836206e+04
5.980000e+00	6.200000e+00	2.223302e+06	5.923019e+04	5.923019e+04
6.200000e+00	6.420000e+00	2.098646e+06	5.754576e+04	5.754576e+04
6.420000e+00	6.640000e+00	1.992925e+06	5.607757e+04	5.607757e+04
6.640000e+00	6.860000e+00	2.029217e+06	5.658587e+04	5.658587e+04
6.860000e+00	7.080000e+00	1.977145e+06	5.585513e+04	5.585513e+04
7.080000e+00	7.300000e+00	1.986613e+06	5.598871e+04	5.598871e+04
7.300000e+00	7.520000e+00	1.850911e+06	5.404264e+04	5.404264e+04
7.520000e+00	7.740000e+00	1.849333e+06	5.401961e+04	5.401961e+04
7.740000e+00	7.960000e+00	1.778326e+06	5.297237e+04	5.297237e+04
7.960000e+00	8.180000e+00	1.877736e+06	5.443284e+04	5.443284e+04
8.180000e+00	8.400000e+00	1.846177e+06	5.397348e+04	5.397348e+04
8.400000e+00	8.620000e+00	1.885625e+06	5.454708e+04	5.454708e+04
8.620000e+00	8.840000e+00	1.942431e+06	5.536261e+04	5.536261e+04
8.840000e+00	9.060000e+00	1.914028e+06	5.495635e+04	5.495635e+04
9.060000e+00	9.280000e+00	1.902983e+06	5.479756e+04	5.479756e+04
9.280000e+00	9.500000e+00	1.898249e+06	5.472935e+04	5.472935e+04
9.500000e+00	9.720000e+00	1.967678e+06	5.572125e+04	5.572125e+04
9.720000e+00	9.940000e+00	1.849333e+06	5.401961e+04	5.401961e+04
9.940000e+00	1.016000e+01	1.947165e+06	5.543002e+04	5.543002e+04
1.016000e+01	1.038000e+01	1.915606e+06	5.497902e+04	5.497902e+04
1.038000e+01	1.060000e+01	1.873002e+06	5.436419e+04	5.436419e+04
1.060000e+01	1.082000e+01	1.803573e+06	5.334708e+04	5.334708e+04
1.082000e+01	1.104000e+01	1.811463e+06	5.346363e+04	5.346363e+04
1.104000e+01	1.126000e+01	1.794105e+06	5.320687e+04	5.320687e+04
1.126000e+01	1.148000e+01	1.611066e+06	5.041973e+04	5.041973e+04
1.148000e+01	1.170000e+01	1.587397e+06	5.004797e+04	5.004797e+04
1.170000e+01	1.192000e+01	1.595286e+06	5.017220e+04	5.017220e+04
1.192000e+01	1.214000e+01	1.450117e+06	4.783494e+04	4.783494e+04
1.214000e+01	1.236000e+01	1.396467e+06	4.694174e+04	4.694174e+04
1.236000e+01	1.258000e+01	1.257610e+06	4.454682e+04	4.454682e+04
1.258000e+01	1.280000e+01	1.333350e+06	4.586864e+04	4.586864e+04
