# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_Bc
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_Bc
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_Bc
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_Bc
ScaledBy=3.47701794098796672e+04
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e+00	4.220000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.220000e+00	4.440000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.440000e+00	4.660000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.660000e+00	4.880000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.880000e+00	5.100000e+00	2.528740e+06	6.321851e+05	6.321851e+05
5.100000e+00	5.320000e+00	5.057482e+06	8.940447e+05	8.940447e+05
5.320000e+00	5.540000e+00	5.057482e+06	8.940447e+05	8.940447e+05
5.540000e+00	5.760000e+00	5.373573e+06	9.215602e+05	9.215602e+05
5.760000e+00	5.980000e+00	5.057482e+06	8.940447e+05	8.940447e+05
5.980000e+00	6.200000e+00	6.321850e+06	9.995724e+05	9.995724e+05
6.200000e+00	6.420000e+00	4.741386e+06	8.656551e+05	8.656551e+05
6.420000e+00	6.640000e+00	5.689664e+06	9.482776e+05	9.482776e+05
6.640000e+00	6.860000e+00	3.793110e+06	7.742654e+05	7.742654e+05
6.860000e+00	7.080000e+00	4.741386e+06	8.656551e+05	8.656551e+05
7.080000e+00	7.300000e+00	6.795991e+06	1.036379e+06	1.036379e+06
7.300000e+00	7.520000e+00	5.215527e+06	9.079067e+05	9.079067e+05
7.520000e+00	7.740000e+00	6.637945e+06	1.024257e+06	1.024257e+06
7.740000e+00	7.960000e+00	3.635064e+06	7.579632e+05	7.579632e+05
7.960000e+00	8.180000e+00	6.005759e+06	9.742626e+05	9.742626e+05
8.180000e+00	8.400000e+00	3.635064e+06	7.579632e+05	7.579632e+05
8.400000e+00	8.620000e+00	6.163805e+06	9.869986e+05	9.869986e+05
8.620000e+00	8.840000e+00	4.583341e+06	8.511053e+05	8.511053e+05
8.840000e+00	9.060000e+00	4.425295e+06	8.363022e+05	8.363022e+05
9.060000e+00	9.280000e+00	5.057482e+06	8.940447e+05	8.940447e+05
9.280000e+00	9.500000e+00	3.477018e+06	7.413027e+05	7.413027e+05
9.500000e+00	9.720000e+00	4.741386e+06	8.656551e+05	8.656551e+05
9.720000e+00	9.940000e+00	4.741386e+06	8.656551e+05	8.656551e+05
9.940000e+00	1.016000e+01	4.267249e+06	8.212326e+05	8.212326e+05
1.016000e+01	1.038000e+01	4.267249e+06	8.212326e+05	8.212326e+05
1.038000e+01	1.060000e+01	3.477018e+06	7.413027e+05	7.413027e+05
1.060000e+01	1.082000e+01	2.054601e+06	5.698439e+05	5.698439e+05
1.082000e+01	1.104000e+01	4.109203e+06	8.058810e+05	8.058810e+05
1.104000e+01	1.126000e+01	3.635064e+06	7.579632e+05	7.579632e+05
1.126000e+01	1.148000e+01	3.635064e+06	7.579632e+05	7.579632e+05
1.148000e+01	1.170000e+01	3.002879e+06	6.889077e+05	6.889077e+05
1.170000e+01	1.192000e+01	3.793110e+06	7.742654e+05	7.742654e+05
1.192000e+01	1.214000e+01	2.528740e+06	6.321851e+05	6.321851e+05
1.214000e+01	1.236000e+01	2.844833e+06	6.705336e+05	6.705336e+05
1.236000e+01	1.258000e+01	1.896555e+06	5.474883e+05	5.474883e+05
1.258000e+01	1.280000e+01	2.054601e+06	5.698439e+05	5.698439e+05
