# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_eta_B0
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_eta_B0
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_eta_B0
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_eta_B0
ScaledBy=3.47188508359692889e+02
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.030000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.030000e+00	2.060000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.060000e+00	2.090000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.090000e+00	2.120000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.120000e+00	2.150000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.150000e+00	2.180000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.180000e+00	2.210000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.210000e+00	2.240000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.240000e+00	2.270000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.270000e+00	2.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+00	2.330000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.330000e+00	2.360000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.360000e+00	2.390000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.390000e+00	2.420000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.420000e+00	2.450000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.450000e+00	2.480000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.480000e+00	2.510000e+00	5.103670e+06	2.430320e+05	2.430320e+05
2.510000e+00	2.540000e+00	1.544989e+07	4.228484e+05	4.228484e+05
2.540000e+00	2.570000e+00	1.468607e+07	4.122635e+05	4.122635e+05
2.570000e+00	2.600000e+00	1.458192e+07	4.107990e+05	4.107990e+05
2.600000e+00	2.630000e+00	1.373709e+07	3.987213e+05	3.987213e+05
2.630000e+00	2.660000e+00	1.426945e+07	4.063737e+05	4.063737e+05
2.660000e+00	2.690000e+00	1.418844e+07	4.052186e+05	4.052186e+05
2.690000e+00	2.720000e+00	1.362136e+07	3.970382e+05	3.970382e+05
2.720000e+00	2.750000e+00	1.454720e+07	4.103096e+05	4.103096e+05
2.750000e+00	2.780000e+00	1.369080e+07	3.980490e+05	3.980490e+05
2.780000e+00	2.810000e+00	1.457034e+07	4.106360e+05	4.106360e+05
2.810000e+00	2.840000e+00	1.349406e+07	3.951786e+05	3.951786e+05
2.840000e+00	2.870000e+00	1.283440e+07	3.853984e+05	3.853984e+05
2.870000e+00	2.900000e+00	1.327417e+07	3.919456e+05	3.919456e+05
2.900000e+00	2.930000e+00	1.223261e+07	3.762543e+05	3.762543e+05
2.930000e+00	2.960000e+00	1.267238e+07	3.829579e+05	3.829579e+05
2.960000e+00	2.990000e+00	1.255665e+07	3.812053e+05	3.812053e+05
2.990000e+00	3.020000e+00	1.209373e+07	3.741126e+05	3.741126e+05
3.020000e+00	3.050000e+00	1.241778e+07	3.790915e+05	3.790915e+05
3.050000e+00	3.080000e+00	1.219789e+07	3.757200e+05	3.757200e+05
3.080000e+00	3.110000e+00	1.192014e+07	3.714179e+05	3.714179e+05
3.110000e+00	3.140000e+00	1.116790e+07	3.595074e+05	3.595074e+05
3.140000e+00	3.170000e+00	1.111003e+07	3.585748e+05	3.585748e+05
3.170000e+00	3.200000e+00	1.186227e+07	3.705153e+05	3.705153e+05
3.200000e+00	3.230000e+00	1.122576e+07	3.604375e+05	3.604375e+05
3.230000e+00	3.260000e+00	1.093644e+07	3.557624e+05	3.557624e+05
3.260000e+00	3.290000e+00	1.042723e+07	3.473813e+05	3.473813e+05
3.290000e+00	3.320000e+00	1.068183e+07	3.515968e+05	3.515968e+05
3.320000e+00	3.350000e+00	1.076284e+07	3.529276e+05	3.529276e+05
3.350000e+00	3.380000e+00	1.084385e+07	3.542532e+05	3.542532e+05
3.380000e+00	3.410000e+00	1.024206e+07	3.442832e+05	3.442832e+05
3.410000e+00	3.440000e+00	9.848580e+06	3.376050e+05	3.376050e+05
3.440000e+00	3.470000e+00	9.744423e+06	3.358151e+05	3.358151e+05
3.470000e+00	3.500000e+00	9.825433e+06	3.372080e+05	3.372080e+05
3.500000e+00	3.530000e+00	9.871727e+06	3.380015e+05	3.380015e+05
3.530000e+00	3.560000e+00	8.911173e+06	3.211363e+05	3.211363e+05
3.560000e+00	3.590000e+00	9.258360e+06	3.273325e+05	3.273325e+05
3.590000e+00	3.620000e+00	1.001060e+07	3.403707e+05	3.403707e+05
3.620000e+00	3.650000e+00	9.061620e+06	3.238359e+05	3.238359e+05
3.650000e+00	3.680000e+00	8.783870e+06	3.188342e+05	3.188342e+05
3.680000e+00	3.710000e+00	8.575557e+06	3.150309e+05	3.150309e+05
3.710000e+00	3.740000e+00	8.216793e+06	3.083708e+05	3.083708e+05
3.740000e+00	3.770000e+00	8.286233e+06	3.096710e+05	3.096710e+05
3.770000e+00	3.800000e+00	7.533990e+06	2.952804e+05	2.952804e+05
3.800000e+00	3.830000e+00	7.684440e+06	2.982141e+05	2.982141e+05
3.830000e+00	3.860000e+00	8.355670e+06	3.109658e+05	3.109658e+05
3.860000e+00	3.890000e+00	7.256240e+06	2.897863e+05	2.897863e+05
3.890000e+00	3.920000e+00	7.765450e+06	2.997819e+05	2.997819e+05
3.920000e+00	3.950000e+00	7.314103e+06	2.909395e+05	2.909395e+05
3.950000e+00	3.980000e+00	7.811740e+06	3.006741e+05	3.006741e+05
3.980000e+00	4.010000e+00	7.175230e+06	2.881641e+05	2.881641e+05
4.010000e+00	4.040000e+00	6.341977e+06	2.709158e+05	2.709158e+05
4.040000e+00	4.070000e+00	6.666020e+06	2.777508e+05	2.777508e+05
4.070000e+00	4.100000e+00	6.862760e+06	2.818198e+05	2.818198e+05
4.100000e+00	4.130000e+00	7.256240e+06	2.897863e+05	2.897863e+05
4.130000e+00	4.160000e+00	6.943770e+06	2.834782e+05	2.834782e+05
4.160000e+00	4.190000e+00	6.365123e+06	2.714097e+05	2.714097e+05
4.190000e+00	4.220000e+00	6.179957e+06	2.674328e+05	2.674328e+05
4.220000e+00	4.250000e+00	6.341977e+06	2.709158e+05	2.709158e+05
4.250000e+00	4.280000e+00	6.272540e+06	2.694286e+05	2.694286e+05
4.280000e+00	4.310000e+00	5.890633e+06	2.610977e+05	2.610977e+05
4.310000e+00	4.340000e+00	5.902203e+06	2.613540e+05	2.613540e+05
4.340000e+00	4.370000e+00	5.531870e+06	2.530218e+05	2.530218e+05
4.370000e+00	4.400000e+00	5.138390e+06	2.438572e+05	2.438572e+05
4.400000e+00	4.430000e+00	5.184683e+06	2.449532e+05	2.449532e+05
4.430000e+00	4.460000e+00	4.976370e+06	2.399818e+05	2.399818e+05
4.460000e+00	4.490000e+00	5.092097e+06	2.427563e+05	2.427563e+05
4.490000e+00	4.520000e+00	1.597067e+06	1.359514e+05	1.359514e+05
4.520000e+00	4.550000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.550000e+00	4.580000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.580000e+00	4.610000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.610000e+00	4.640000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.640000e+00	4.670000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.670000e+00	4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e+00	4.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.730000e+00	4.760000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.760000e+00	4.790000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.790000e+00	4.820000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.820000e+00	4.850000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.850000e+00	4.880000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.880000e+00	4.910000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.910000e+00	4.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.940000e+00	4.970000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.970000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

