# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_eta_ratio
XLabel=$\eta$
YLabel=$\frac{f_{c}}{f_{u}+f_{d}}$
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_eta_ratio
Title=Production Cross section ratio $\frac{f_{c}}{f_{u}+f_{d}}$ against pseudorapidity
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_eta_ratio
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_eta_ratio
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.030000e+00	nan	nan	nan
2.030000e+00	2.060000e+00	nan	nan	nan
2.060000e+00	2.090000e+00	nan	nan	nan
2.090000e+00	2.120000e+00	nan	nan	nan
2.120000e+00	2.150000e+00	nan	nan	nan
2.150000e+00	2.180000e+00	nan	nan	nan
2.180000e+00	2.210000e+00	nan	nan	nan
2.210000e+00	2.240000e+00	nan	nan	nan
2.240000e+00	2.270000e+00	nan	nan	nan
2.270000e+00	2.300000e+00	nan	nan	nan
2.300000e+00	2.330000e+00	nan	nan	nan
2.330000e+00	2.360000e+00	nan	nan	nan
2.360000e+00	2.390000e+00	nan	nan	nan
2.390000e+00	2.420000e+00	nan	nan	nan
2.420000e+00	2.450000e+00	nan	nan	nan
2.450000e+00	2.480000e+00	nan	nan	nan
2.480000e+00	2.510000e+00	1.133787e-02	5.099112e-03	5.099112e-03
2.510000e+00	2.540000e+00	9.737828e-03	2.713906e-03	2.713906e-03
2.540000e+00	2.570000e+00	7.880221e-03	2.501744e-03	2.501744e-03
2.570000e+00	2.600000e+00	8.730159e-03	2.643707e-03	2.643707e-03
2.600000e+00	2.630000e+00	1.432182e-02	3.498337e-03	3.498337e-03
2.630000e+00	2.660000e+00	1.784266e-02	3.837855e-03	3.837855e-03
2.660000e+00	2.690000e+00	1.141925e-02	3.069299e-03	3.069299e-03
2.690000e+00	2.720000e+00	9.345794e-03	2.831000e-03	2.831000e-03
2.720000e+00	2.750000e+00	5.568815e-03	2.110667e-03	2.110667e-03
2.750000e+00	2.780000e+00	1.014370e-02	2.943049e-03	2.943049e-03
2.780000e+00	2.810000e+00	9.531374e-03	2.764552e-03	2.764552e-03
2.810000e+00	2.840000e+00	1.114923e-02	3.109430e-03	3.109430e-03
2.840000e+00	2.870000e+00	8.115419e-03	2.716094e-03	2.716094e-03
2.870000e+00	2.900000e+00	6.974717e-03	2.474519e-03	2.474519e-03
2.900000e+00	2.930000e+00	4.730369e-03	2.120483e-03	2.120483e-03
2.930000e+00	2.960000e+00	1.095890e-02	3.180850e-03	3.180850e-03
2.960000e+00	2.990000e+00	1.382488e-02	3.594160e-03	3.594160e-03
2.990000e+00	3.020000e+00	6.698565e-03	2.540285e-03	2.540285e-03
3.020000e+00	3.050000e+00	1.211556e-02	3.380547e-03	3.380547e-03
3.050000e+00	3.080000e+00	1.138520e-02	3.305280e-03	3.305280e-03
3.080000e+00	3.110000e+00	7.766990e-03	2.756689e-03	2.756689e-03
3.110000e+00	3.140000e+00	1.036269e-02	3.293907e-03	3.293907e-03
3.140000e+00	3.170000e+00	1.041667e-02	3.311151e-03	3.311151e-03
3.170000e+00	3.200000e+00	1.268293e-02	3.539848e-03	3.539848e-03
3.200000e+00	3.230000e+00	9.278351e-03	3.107098e-03	3.107098e-03
3.230000e+00	3.260000e+00	1.058201e-02	3.363984e-03	3.363984e-03
3.260000e+00	3.290000e+00	6.659267e-03	2.727672e-03	2.727672e-03
3.290000e+00	3.320000e+00	1.300108e-02	3.777408e-03	3.777408e-03
3.320000e+00	3.350000e+00	9.677419e-03	3.241378e-03	3.241378e-03
3.350000e+00	3.380000e+00	1.067236e-02	3.392857e-03	3.392857e-03
3.380000e+00	3.410000e+00	1.016949e-02	3.407023e-03	3.407023e-03
3.410000e+00	3.440000e+00	1.292597e-02	3.922434e-03	3.922434e-03
3.440000e+00	3.470000e+00	1.781473e-02	4.640533e-03	4.640533e-03
3.470000e+00	3.500000e+00	1.413428e-02	4.108948e-03	4.108948e-03
3.500000e+00	3.530000e+00	7.033998e-03	2.881699e-03	2.881699e-03
3.530000e+00	3.560000e+00	9.090909e-03	3.451624e-03	3.451624e-03
3.560000e+00	3.590000e+00	6.250000e-03	2.803806e-03	2.803806e-03
3.590000e+00	3.620000e+00	1.040462e-02	3.486204e-03	3.486204e-03
3.620000e+00	3.650000e+00	3.831418e-03	2.216304e-03	2.216304e-03
3.650000e+00	3.680000e+00	6.587615e-03	2.955759e-03	2.955759e-03
3.680000e+00	3.710000e+00	8.097166e-03	3.319010e-03	3.319010e-03
3.710000e+00	3.740000e+00	1.126761e-02	4.006081e-03	4.006081e-03
3.740000e+00	3.770000e+00	2.094972e-02	5.465561e-03	5.465561e-03
3.770000e+00	3.800000e+00	9.216590e-03	3.779957e-03	3.779957e-03
3.800000e+00	3.830000e+00	9.036145e-03	3.705620e-03	3.705620e-03
3.830000e+00	3.860000e+00	1.108033e-02	3.939133e-03	3.939133e-03
3.860000e+00	3.890000e+00	9.569378e-03	3.925330e-03	3.925330e-03
3.890000e+00	3.920000e+00	8.941878e-03	3.666791e-03	3.666791e-03
3.920000e+00	3.950000e+00	9.493671e-03	3.894129e-03	3.894129e-03
3.950000e+00	3.980000e+00	1.481481e-02	4.719431e-03	4.719431e-03
