# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_B0
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_B0
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_B0
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_B0
ScaledBy=3.47188508359692889e+02
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e+00	4.220000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.220000e+00	4.440000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.440000e+00	4.660000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.660000e+00	4.880000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.880000e+00	5.100000e+00	1.208847e+06	4.367743e+04	4.367743e+04
5.100000e+00	5.320000e+00	2.498179e+06	6.278894e+04	6.278894e+04
5.320000e+00	5.540000e+00	2.315116e+06	6.044463e+04	6.044463e+04
5.540000e+00	5.760000e+00	2.313538e+06	6.042402e+04	6.042402e+04
5.760000e+00	5.980000e+00	2.327741e+06	6.060922e+04	6.060922e+04
5.980000e+00	6.200000e+00	2.027896e+06	5.657104e+04	5.657104e+04
6.200000e+00	6.420000e+00	2.114694e+06	5.776903e+04	5.776903e+04
6.420000e+00	6.640000e+00	2.180975e+06	5.866738e+04	5.866738e+04
6.640000e+00	6.860000e+00	2.056303e+06	5.696588e+04	5.696588e+04
6.860000e+00	7.080000e+00	1.983709e+06	5.595131e+04	5.595131e+04
7.080000e+00	7.300000e+00	1.873240e+06	5.437108e+04	5.437108e+04
7.300000e+00	7.520000e+00	1.833786e+06	5.379547e+04	5.379547e+04
7.520000e+00	7.740000e+00	1.814849e+06	5.351697e+04	5.351697e+04
7.740000e+00	7.960000e+00	1.907959e+06	5.487264e+04	5.487264e+04
7.960000e+00	8.180000e+00	1.863771e+06	5.423350e+04	5.423350e+04
8.180000e+00	8.400000e+00	1.901646e+06	5.478178e+04	5.478178e+04
8.400000e+00	8.620000e+00	1.939521e+06	5.532464e+04	5.532464e+04
8.620000e+00	8.840000e+00	1.835365e+06	5.381862e+04	5.381862e+04
8.840000e+00	9.060000e+00	1.791177e+06	5.316680e+04	5.316680e+04
9.060000e+00	9.280000e+00	1.810115e+06	5.344712e+04	5.344712e+04
9.280000e+00	9.500000e+00	1.900068e+06	5.475905e+04	5.475905e+04
9.500000e+00	9.720000e+00	1.881130e+06	5.448548e+04	5.448548e+04
9.720000e+00	9.940000e+00	1.895334e+06	5.469079e+04	5.469079e+04
9.940000e+00	1.016000e+01	1.855880e+06	5.411858e+04	5.411858e+04
1.016000e+01	1.038000e+01	1.778552e+06	5.297910e+04	5.297910e+04
1.038000e+01	1.060000e+01	1.895334e+06	5.469079e+04	5.469079e+04
1.060000e+01	1.082000e+01	1.672817e+06	5.138019e+04	5.138019e+04
1.082000e+01	1.104000e+01	1.627052e+06	5.067246e+04	5.067246e+04
1.104000e+01	1.126000e+01	1.707536e+06	5.191062e+04	5.191062e+04
1.126000e+01	1.148000e+01	1.546567e+06	4.940328e+04	4.940328e+04
1.148000e+01	1.170000e+01	1.567083e+06	4.972987e+04	4.972987e+04
1.170000e+01	1.192000e+01	1.455035e+06	4.791905e+04	4.791905e+04
1.192000e+01	1.214000e+01	1.432942e+06	4.755384e+04	4.755384e+04
1.214000e+01	1.236000e+01	1.330363e+06	4.582014e+04	4.582014e+04
1.236000e+01	1.258000e+01	1.328785e+06	4.579297e+04	4.579297e+04
1.258000e+01	1.280000e+01	1.300379e+06	4.530084e+04	4.530084e+04
