# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_ratio
XLabel=$p_\perp$[GeV]
YLabel=$\frac{f_{c}}{f_{u}+f_{d}}$
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_ratio
Title=Production Cross section ratio $\frac{f_{c}}{f_{u}+f_{d}}$ against transverse momentum
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_ratio
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_ratio
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e+00	4.220000e+00	nan	nan	nan
4.220000e+00	4.440000e+00	nan	nan	nan
4.440000e+00	4.660000e+00	nan	nan	nan
4.660000e+00	4.880000e+00	nan	nan	nan
4.880000e+00	5.100000e+00	1.305483e-02	4.155160e-03	4.155160e-03
5.100000e+00	5.320000e+00	8.212255e-03	2.287003e-03	2.287003e-03
5.320000e+00	5.540000e+00	8.861622e-03	2.468638e-03	2.468638e-03
5.540000e+00	5.760000e+00	7.503411e-03	2.270835e-03	2.270835e-03
5.760000e+00	5.980000e+00	1.016949e-02	2.639069e-03	2.639069e-03
5.980000e+00	6.200000e+00	1.712062e-02	3.681243e-03	3.681243e-03
6.200000e+00	6.420000e+00	8.208955e-03	2.485231e-03	2.485231e-03
6.420000e+00	6.640000e+00	7.235890e-03	2.296453e-03	2.296453e-03
6.640000e+00	6.860000e+00	3.837299e-03	1.719382e-03	1.719382e-03
6.860000e+00	7.080000e+00	1.431981e-02	3.399292e-03	3.399292e-03
7.080000e+00	7.300000e+00	1.347936e-02	3.392476e-03	3.392476e-03
7.300000e+00	7.520000e+00	1.376936e-02	3.465959e-03	3.465959e-03
7.520000e+00	7.740000e+00	1.391304e-02	3.502374e-03	3.502374e-03
7.740000e+00	7.960000e+00	1.075269e-02	2.998250e-03	2.998250e-03
7.960000e+00	8.180000e+00	5.080440e-03	2.079343e-03	2.079343e-03
8.180000e+00	8.400000e+00	1.244813e-02	3.234037e-03	3.234037e-03
8.400000e+00	8.620000e+00	8.950366e-03	2.710687e-03	2.710687e-03
8.620000e+00	8.840000e+00	6.878762e-03	2.440360e-03	2.440360e-03
