# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_B0
XLabel=$p_\perp$ [GeV]
YLabel=Number of Particles
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_B0
Title=Total number of $B^0$ and $B^{+}$ particles present in the simulation against $p_\perp$
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_B0
ConnectBins=0
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_B0
ScaledBy=6.95034909757283231e+02
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e+00	4.220000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.220000e+00	4.440000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.440000e+00	4.660000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.660000e+00	4.880000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.880000e+00	5.100000e+00	1.083623e+06	5.851012e+04	5.851012e+04
5.100000e+00	5.320000e+00	2.555833e+06	8.985830e+04	8.985830e+04
5.320000e+00	5.540000e+00	2.366278e+06	8.646192e+04	8.646192e+04
5.540000e+00	5.760000e+00	2.451578e+06	8.800652e+04	8.800652e+04
5.760000e+00	5.980000e+00	2.157767e+06	8.256468e+04	8.256468e+04
5.980000e+00	6.200000e+00	2.123016e+06	8.189711e+04	8.189711e+04
6.200000e+00	6.420000e+00	2.075627e+06	8.097792e+04	8.097792e+04
6.420000e+00	6.640000e+00	1.977690e+06	7.904440e+04	7.904440e+04
6.640000e+00	6.860000e+00	1.952416e+06	7.853769e+04	7.853769e+04
6.860000e+00	7.080000e+00	1.747065e+06	7.429277e+04	7.429277e+04
7.080000e+00	7.300000e+00	1.873435e+06	7.693275e+04	7.693275e+04
7.300000e+00	7.520000e+00	1.807091e+06	7.555827e+04	7.555827e+04
7.520000e+00	7.740000e+00	1.816569e+06	7.575615e+04	7.575615e+04
7.740000e+00	7.960000e+00	1.908187e+06	7.764302e+04	7.764302e+04
7.960000e+00	8.180000e+00	1.775498e+06	7.489487e+04	7.489487e+04
8.180000e+00	8.400000e+00	1.980850e+06	7.910751e+04	7.910751e+04
8.400000e+00	8.620000e+00	1.762861e+06	7.462786e+04	7.462786e+04
8.620000e+00	8.840000e+00	1.810250e+06	7.562428e+04	7.562428e+04
8.840000e+00	9.060000e+00	2.002964e+06	7.954787e+04	7.954787e+04
9.060000e+00	9.280000e+00	1.762861e+06	7.462786e+04	7.462786e+04
9.280000e+00	9.500000e+00	2.015601e+06	7.979842e+04	7.979842e+04
9.500000e+00	9.720000e+00	1.743906e+06	7.422556e+04	7.422556e+04
9.720000e+00	9.940000e+00	1.898709e+06	7.744996e+04	7.744996e+04
9.940000e+00	1.016000e+01	1.778658e+06	7.496148e+04	7.496148e+04
1.016000e+01	1.038000e+01	1.750224e+06	7.435990e+04	7.435990e+04
1.038000e+01	1.060000e+01	1.854480e+06	7.654257e+04	7.654257e+04
1.060000e+01	1.082000e+01	1.724950e+06	7.382105e+04	7.382105e+04
1.082000e+01	1.104000e+01	1.762861e+06	7.462786e+04	7.462786e+04
1.104000e+01	1.126000e+01	1.544873e+06	6.986158e+04	6.986158e+04
1.126000e+01	1.148000e+01	1.604899e+06	7.120588e+04	7.120588e+04
1.148000e+01	1.170000e+01	1.737587e+06	7.409096e+04	7.409096e+04
1.170000e+01	1.192000e+01	1.538555e+06	6.971856e+04	6.971856e+04
1.192000e+01	1.214000e+01	1.465892e+06	6.805232e+04	6.805232e+04
1.214000e+01	1.236000e+01	1.421662e+06	6.701781e+04	6.701781e+04
