# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_ratio
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_ratio
Title=Production Cross section ratio $\frac{f_{c}}{f_{u}+f_{d}}$ against $p_\perp$
ConnectGaps=0
LogY=0
Legend=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_ratio
ConnectBins=0
ConnectGaps=0
ErrorBars=1
LineColor=red
LineStyle=solid
LogY=0
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c/Comparison/LHC.yoda/MC_BC_comparison/h_pT_ratio
Title=LHC
XLabel=$p_\perp$[GeV]
XMax=15
YLabel=$\frac{f_{c}}{f_{u}+f_{d}}$
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e+00	4.220000e+00	nan	nan	nan
4.220000e+00	4.440000e+00	nan	nan	nan
4.440000e+00	4.660000e+00	nan	nan	nan
4.660000e+00	4.880000e+00	nan	nan	nan
4.880000e+00	5.100000e+00	5.830904e-03	4.135075e-03	4.135075e-03
5.100000e+00	5.320000e+00	1.236094e-03	1.236858e-03	1.236858e-03
5.320000e+00	5.540000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.540000e+00	5.760000e+00	1.288660e-03	1.289490e-03	1.289490e-03
5.760000e+00	5.980000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.980000e+00	6.200000e+00	1.488095e-03	1.489202e-03	1.489202e-03
6.200000e+00	6.420000e+00	1.522070e-03	1.523228e-03	1.523228e-03
6.420000e+00	6.640000e+00	3.194888e-03	2.262733e-03	2.262733e-03
6.640000e+00	6.860000e+00	3.236246e-03	2.292071e-03	2.292071e-03
6.860000e+00	7.080000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.080000e+00	7.300000e+00	1.686341e-03	1.687762e-03	1.687762e-03
7.300000e+00	7.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.520000e+00	7.740000e+00	1.739130e-03	1.740642e-03	1.740642e-03
7.740000e+00	7.960000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.960000e+00	8.180000e+00	1.779359e-03	1.780942e-03	1.780942e-03
8.180000e+00	8.400000e+00	1.594896e-03	1.596168e-03	1.596168e-03
8.400000e+00	8.620000e+00	3.584229e-03	2.538971e-03	2.538971e-03
