# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_pT
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_pT
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_pT
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_pT
ScaledBy=2.32662182172683424e+03
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	3.862192e+05	2.997643e+04	2.997643e+04
1.000000e+00	2.000000e+00	9.702013e+05	4.751097e+04	4.751097e+04
2.000000e+00	3.000000e+00	1.349441e+06	5.603247e+04	5.603247e+04
3.000000e+00	4.000000e+00	1.686801e+06	6.264621e+04	6.264621e+04
4.000000e+00	5.000000e+00	1.986935e+06	6.799151e+04	6.799151e+04
5.000000e+00	6.000000e+00	2.159105e+06	7.087610e+04	7.087610e+04
6.000000e+00	7.000000e+00	2.387114e+06	7.452457e+04	7.452457e+04
7.000000e+00	8.000000e+00	2.354541e+06	7.401437e+04	7.401437e+04
8.000000e+00	9.000000e+00	2.391767e+06	7.459717e+04	7.459717e+04
9.000000e+00	1.000000e+01	2.403400e+06	7.477837e+04	7.477837e+04
1.000000e+01	1.100000e+01	2.212617e+06	7.174903e+04	7.174903e+04
1.100000e+01	1.200000e+01	2.070693e+06	6.940980e+04	6.940980e+04
1.200000e+01	1.300000e+01	2.117226e+06	7.018535e+04	7.018535e+04
1.300000e+01	1.400000e+01	1.903177e+06	6.654301e+04	6.654301e+04
1.400000e+01	1.500000e+01	1.891544e+06	6.633932e+04	6.633932e+04
1.500000e+01	1.600000e+01	1.675168e+06	6.242982e+04	6.242982e+04
1.600000e+01	1.700000e+01	1.684474e+06	6.260299e+04	6.260299e+04
1.700000e+01	1.800000e+01	1.672841e+06	6.238645e+04	6.238645e+04
1.800000e+01	1.900000e+01	1.556510e+06	6.017815e+04	6.017815e+04
1.900000e+01	2.000000e+01	1.407606e+06	5.722733e+04	5.722733e+04
2.000000e+01	2.100000e+01	1.198210e+06	5.279945e+04	5.279945e+04
2.100000e+01	2.200000e+01	1.198210e+06	5.279945e+04	5.279945e+04
2.200000e+01	2.300000e+01	1.105145e+06	5.070754e+04	5.070754e+04
2.300000e+01	2.400000e+01	9.190156e+05	4.624070e+04	4.624070e+04
2.400000e+01	2.500000e+01	8.934228e+05	4.559229e+04	4.559229e+04
2.500000e+01	2.600000e+01	8.608501e+05	4.475347e+04	4.475347e+04
2.600000e+01	2.700000e+01	6.281879e+05	3.823030e+04	3.823030e+04
2.700000e+01	2.800000e+01	6.421476e+05	3.865275e+04	3.865275e+04
2.800000e+01	2.900000e+01	5.700223e+05	3.641739e+04	3.641739e+04
2.900000e+01	3.000000e+01	5.304698e+05	3.513123e+04	3.513123e+04
3.000000e+01	3.100000e+01	4.676510e+05	3.298556e+04	3.298556e+04
3.100000e+01	3.200000e+01	3.978523e+05	3.042453e+04	3.042453e+04
3.200000e+01	3.300000e+01	4.234452e+05	3.138784e+04	3.138784e+04
3.300000e+01	3.400000e+01	3.769127e+05	2.961306e+04	2.961306e+04
3.400000e+01	3.500000e+01	2.768680e+05	2.538045e+04	2.538045e+04
