# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC.yoda/LHCB_2019_I1762092/h_eta_B0
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC.yoda/LHCB_2019_I1762092/h_eta_B0
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC.yoda/LHCB_2019_I1762092/h_eta_B0
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC.yoda/LHCB_2019_I1762092/h_eta_B0
ScaledBy=3.46726478969111758e+03
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.030000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.030000e+00	2.060000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.060000e+00	2.090000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.090000e+00	2.120000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.120000e+00	2.150000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.150000e+00	2.180000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.180000e+00	2.210000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.210000e+00	2.240000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.240000e+00	2.270000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.270000e+00	2.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+00	2.330000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.330000e+00	2.360000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.360000e+00	2.390000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.390000e+00	2.420000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.420000e+00	2.450000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.450000e+00	2.480000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.480000e+00	2.510000e+00	4.045143e+06	6.837539e+05	6.837539e+05
2.510000e+00	2.540000e+00	1.213543e+07	1.184296e+06	1.184296e+06
2.540000e+00	2.570000e+00	1.421579e+07	1.281794e+06	1.281794e+06
2.570000e+00	2.600000e+00	1.525597e+07	1.327861e+06	1.327861e+06
2.600000e+00	2.630000e+00	1.306003e+07	1.228585e+06	1.228585e+06
2.630000e+00	2.660000e+00	1.583384e+07	1.352777e+06	1.352777e+06
2.660000e+00	2.690000e+00	1.548712e+07	1.337883e+06	1.337883e+06
2.690000e+00	2.720000e+00	1.444694e+07	1.292173e+06	1.292173e+06
2.720000e+00	2.750000e+00	1.352233e+07	1.250140e+06	1.250140e+06
2.750000e+00	2.780000e+00	1.444694e+07	1.292173e+06	1.292173e+06
2.780000e+00	2.810000e+00	1.490924e+07	1.312685e+06	1.312685e+06
2.810000e+00	2.840000e+00	1.236658e+07	1.195522e+06	1.195522e+06
2.840000e+00	2.870000e+00	1.329118e+07	1.239409e+06	1.239409e+06
2.870000e+00	2.900000e+00	1.121082e+07	1.138287e+06	1.138287e+06
2.900000e+00	2.930000e+00	1.121082e+07	1.138287e+06	1.138287e+06
2.930000e+00	2.960000e+00	1.410021e+07	1.276573e+06	1.276573e+06
2.960000e+00	2.990000e+00	1.074852e+07	1.114570e+06	1.114570e+06
2.990000e+00	3.020000e+00	1.109525e+07	1.132404e+06	1.132404e+06
3.020000e+00	3.050000e+00	1.340676e+07	1.244786e+06	1.244786e+06
3.050000e+00	3.080000e+00	1.144197e+07	1.149962e+06	1.149962e+06
3.080000e+00	3.110000e+00	1.225100e+07	1.189922e+06	1.189922e+06
3.110000e+00	3.140000e+00	1.271330e+07	1.212166e+06	1.212166e+06
3.140000e+00	3.170000e+00	1.456251e+07	1.297332e+06	1.297332e+06
3.170000e+00	3.200000e+00	1.144197e+07	1.149962e+06	1.149962e+06
3.200000e+00	3.230000e+00	1.040179e+07	1.096445e+06	1.096445e+06
3.230000e+00	3.260000e+00	1.236658e+07	1.195522e+06	1.195522e+06
3.260000e+00	3.290000e+00	1.178870e+07	1.167255e+06	1.167255e+06
3.290000e+00	3.320000e+00	1.109525e+07	1.132404e+06	1.132404e+06
3.320000e+00	3.350000e+00	1.306003e+07	1.228585e+06	1.228585e+06
3.350000e+00	3.380000e+00	1.109525e+07	1.132404e+06	1.132404e+06
3.380000e+00	3.410000e+00	9.246040e+06	1.033739e+06	1.033739e+06
3.410000e+00	3.440000e+00	1.074852e+07	1.114570e+06	1.114570e+06
3.440000e+00	3.470000e+00	8.668163e+06	1.000913e+06	1.000913e+06
3.470000e+00	3.500000e+00	9.477190e+06	1.046581e+06	1.046581e+06
3.500000e+00	3.530000e+00	6.934530e+06	8.952439e+05	8.952439e+05
3.530000e+00	3.560000e+00	8.552587e+06	9.942180e+05	9.942180e+05
3.560000e+00	3.590000e+00	7.743557e+06	9.460262e+05	9.460262e+05
3.590000e+00	3.620000e+00	9.823917e+06	1.065554e+06	1.065554e+06
3.620000e+00	3.650000e+00	9.592767e+06	1.052943e+06	1.052943e+06
3.650000e+00	3.680000e+00	9.014890e+06	1.020735e+06	1.020735e+06
3.680000e+00	3.710000e+00	9.708340e+06	1.059267e+06	1.059267e+06
3.710000e+00	3.740000e+00	7.743557e+06	9.460262e+05	9.460262e+05
3.740000e+00	3.770000e+00	8.783737e+06	1.007564e+06	1.007564e+06
3.770000e+00	3.800000e+00	7.512407e+06	9.317994e+05	9.317994e+05
3.800000e+00	3.830000e+00	8.437010e+06	9.874774e+05	9.874774e+05
3.830000e+00	3.860000e+00	9.246040e+06	1.033739e+06	1.033739e+06
3.860000e+00	3.890000e+00	8.437010e+06	9.874774e+05	9.874774e+05
3.890000e+00	3.920000e+00	6.241077e+06	8.493030e+05	8.493030e+05
3.920000e+00	3.950000e+00	8.205860e+06	9.738564e+05	9.738564e+05
3.950000e+00	3.980000e+00	7.050107e+06	9.026734e+05	9.026734e+05
3.980000e+00	4.010000e+00	6.587803e+06	8.725758e+05	8.725758e+05
4.010000e+00	4.040000e+00	8.668163e+06	1.000913e+06	1.000913e+06
4.040000e+00	4.070000e+00	5.547623e+06	8.007305e+05	8.007305e+05
4.070000e+00	4.100000e+00	7.165680e+06	9.100424e+05	9.100424e+05
4.100000e+00	4.130000e+00	7.743557e+06	9.460262e+05	9.460262e+05
4.130000e+00	4.160000e+00	7.165680e+06	9.100424e+05	9.100424e+05
4.160000e+00	4.190000e+00	6.241077e+06	8.493030e+05	8.493030e+05
4.190000e+00	4.220000e+00	6.472227e+06	8.648878e+05	8.648878e+05
4.220000e+00	4.250000e+00	7.859133e+06	9.530599e+05	9.530599e+05
4.250000e+00	4.280000e+00	5.663200e+06	8.090284e+05	8.090284e+05
4.280000e+00	4.310000e+00	6.241077e+06	8.493030e+05	8.493030e+05
4.310000e+00	4.340000e+00	5.432047e+06	7.923457e+05	7.923457e+05
4.340000e+00	4.370000e+00	7.165680e+06	9.100424e+05	9.100424e+05
4.370000e+00	4.400000e+00	6.356653e+06	8.571308e+05	8.571308e+05
4.400000e+00	4.430000e+00	5.085323e+06	7.666411e+05	7.666411e+05
4.430000e+00	4.460000e+00	4.969747e+06	7.578792e+05	7.578792e+05
4.460000e+00	4.490000e+00	4.854170e+06	7.490148e+05	7.490148e+05
4.490000e+00	4.520000e+00	1.618057e+06	4.324440e+05	4.324440e+05
4.520000e+00	4.550000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.550000e+00	4.580000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.580000e+00	4.610000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.610000e+00	4.640000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.640000e+00	4.670000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.670000e+00	4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e+00	4.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.730000e+00	4.760000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.760000e+00	4.790000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.790000e+00	4.820000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.820000e+00	4.850000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.850000e+00	4.880000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.880000e+00	4.910000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.910000e+00	4.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.940000e+00	4.970000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.970000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

