# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC.yoda/LHCB_2019_I1762092/h_eta_ratio
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC.yoda/LHCB_2019_I1762092/h_eta_ratio
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC.yoda/LHCB_2019_I1762092/h_eta_ratio
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC.yoda/LHCB_2019_I1762092/h_eta_ratio
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.030000e+00	nan	nan	nan
2.030000e+00	2.060000e+00	nan	nan	nan
2.060000e+00	2.090000e+00	nan	nan	nan
2.090000e+00	2.120000e+00	nan	nan	nan
2.120000e+00	2.150000e+00	nan	nan	nan
2.150000e+00	2.180000e+00	nan	nan	nan
2.180000e+00	2.210000e+00	nan	nan	nan
2.210000e+00	2.240000e+00	nan	nan	nan
2.240000e+00	2.270000e+00	nan	nan	nan
2.270000e+00	2.300000e+00	nan	nan	nan
2.300000e+00	2.330000e+00	nan	nan	nan
2.330000e+00	2.360000e+00	nan	nan	nan
2.360000e+00	2.390000e+00	nan	nan	nan
2.390000e+00	2.420000e+00	nan	nan	nan
2.420000e+00	2.450000e+00	nan	nan	nan
2.450000e+00	2.480000e+00	nan	nan	nan
2.480000e+00	2.510000e+00	7.025761e-03	4.070550e-03	4.070550e-03
2.510000e+00	2.540000e+00	4.531722e-03	1.854255e-03	1.854255e-03
2.540000e+00	2.570000e+00	1.562500e-03	1.105717e-03	1.105717e-03
2.570000e+00	2.600000e+00	1.557632e-03	1.102270e-03	1.102270e-03
2.600000e+00	2.630000e+00	4.058442e-03	1.818670e-03	1.818670e-03
2.630000e+00	2.660000e+00	1.520913e-03	1.076265e-03	1.076265e-03
2.660000e+00	2.690000e+00	1.549187e-03	1.096289e-03	1.096289e-03
2.690000e+00	2.720000e+00	4.874086e-03	1.994681e-03	1.994681e-03
2.720000e+00	2.750000e+00	8.169935e-04	8.173271e-04	8.173271e-04
2.750000e+00	2.780000e+00	3.333333e-03	1.669442e-03	1.669442e-03
2.780000e+00	2.810000e+00	8.210181e-04	8.213550e-04	8.213550e-04
2.810000e+00	2.840000e+00	2.657219e-03	1.536183e-03	1.536183e-03
2.840000e+00	2.870000e+00	3.472222e-03	1.739123e-03	1.739123e-03
2.870000e+00	2.900000e+00	2.647838e-03	1.530752e-03	1.530752e-03
2.900000e+00	2.930000e+00	4.549591e-03	2.039262e-03	2.039262e-03
2.930000e+00	2.960000e+00	7.985803e-03	2.672542e-03	2.672542e-03
2.960000e+00	2.990000e+00	1.923077e-03	1.361128e-03	1.361128e-03
2.990000e+00	3.020000e+00	2.881844e-03	1.666229e-03	1.666229e-03
3.020000e+00	3.050000e+00	3.656307e-03	1.831493e-03	1.831493e-03
3.050000e+00	3.080000e+00	5.607477e-03	2.295652e-03	2.295652e-03
3.080000e+00	3.110000e+00	1.939864e-03	1.373021e-03	1.373021e-03
3.110000e+00	3.140000e+00	4.868549e-03	2.182575e-03	2.182575e-03
3.140000e+00	3.170000e+00	1.908397e-03	1.350727e-03	1.350727e-03
3.170000e+00	3.200000e+00	4.028197e-03	2.018151e-03	2.018151e-03
3.200000e+00	3.230000e+00	1.118568e-03	1.119194e-03	1.119194e-03
3.230000e+00	3.260000e+00	1.028807e-03	1.029336e-03	1.029336e-03
3.260000e+00	3.290000e+00	4.028197e-03	2.018151e-03	2.018151e-03
3.290000e+00	3.320000e+00	1.006036e-03	1.006542e-03	1.006542e-03
3.320000e+00	3.350000e+00	1.042753e-03	1.043296e-03	1.043296e-03
3.350000e+00	3.380000e+00	2.232143e-03	1.580124e-03	1.580124e-03
3.380000e+00	3.410000e+00	2.159827e-03	1.528877e-03	1.528877e-03
3.410000e+00	3.440000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.440000e+00	3.470000e+00	2.389486e-03	1.691639e-03	1.691639e-03
3.470000e+00	3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+00	3.530000e+00	3.623188e-03	2.095635e-03	2.095635e-03
3.530000e+00	3.560000e+00	2.469136e-03	1.748097e-03	1.748097e-03
3.560000e+00	3.590000e+00	3.802281e-03	2.199418e-03	2.199418e-03
3.590000e+00	3.620000e+00	1.261034e-03	1.261829e-03	1.261829e-03
3.620000e+00	3.650000e+00	5.148005e-03	2.580620e-03	2.580620e-03
3.650000e+00	3.680000e+00	1.358696e-03	1.359618e-03	1.359618e-03
3.680000e+00	3.710000e+00	2.614379e-03	1.851060e-03	1.851060e-03
3.710000e+00	3.740000e+00	2.861230e-03	2.026088e-03	2.026088e-03
3.740000e+00	3.770000e+00	5.434783e-03	2.724766e-03	2.724766e-03
3.770000e+00	3.800000e+00	1.396648e-03	1.397623e-03	1.397623e-03
3.800000e+00	3.830000e+00	2.721088e-03	1.926716e-03	1.926716e-03
3.830000e+00	3.860000e+00	1.402525e-03	1.403508e-03	1.403508e-03
3.860000e+00	3.890000e+00	4.545455e-03	2.630277e-03	2.630277e-03
3.890000e+00	3.920000e+00	1.531394e-03	1.532566e-03	1.532566e-03
3.920000e+00	3.950000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.950000e+00	3.980000e+00	3.327787e-03	2.357013e-03	2.357013e-03
3.980000e+00	4.010000e+00	0.000000e+00	0.000000e+00	0.000000e+00
