# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC3.yoda/LHCB_2019_I1762092/h_eta_ratio
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC3.yoda/LHCB_2019_I1762092/h_eta_ratio
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC3.yoda/LHCB_2019_I1762092/h_eta_ratio
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC3.yoda/LHCB_2019_I1762092/h_eta_ratio
Title=LHC3
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.030000e+00	nan	nan	nan
2.030000e+00	2.060000e+00	nan	nan	nan
2.060000e+00	2.090000e+00	nan	nan	nan
2.090000e+00	2.120000e+00	nan	nan	nan
2.120000e+00	2.150000e+00	nan	nan	nan
2.150000e+00	2.180000e+00	nan	nan	nan
2.180000e+00	2.210000e+00	nan	nan	nan
2.210000e+00	2.240000e+00	nan	nan	nan
2.240000e+00	2.270000e+00	nan	nan	nan
2.270000e+00	2.300000e+00	nan	nan	nan
2.300000e+00	2.330000e+00	nan	nan	nan
2.330000e+00	2.360000e+00	nan	nan	nan
2.360000e+00	2.390000e+00	nan	nan	nan
2.390000e+00	2.420000e+00	nan	nan	nan
2.420000e+00	2.450000e+00	nan	nan	nan
2.450000e+00	2.480000e+00	nan	nan	nan
2.480000e+00	2.510000e+00	2.619048e-02	2.867565e-02	2.867565e-02
2.510000e+00	2.540000e+00	2.740693e-02	7.871937e-03	7.871937e-03
2.540000e+00	2.570000e+00	9.607142e-03	3.885253e-03	3.885253e-03
2.570000e+00	2.600000e+00	1.807540e-02	5.614366e-03	5.614366e-03
2.600000e+00	2.630000e+00	3.261186e-02	7.574231e-03	7.574231e-03
2.630000e+00	2.660000e+00	2.978003e-02	9.417459e-03	9.417459e-03
2.660000e+00	2.690000e+00	2.682093e-02	9.223482e-03	9.223482e-03
2.690000e+00	2.720000e+00	3.367647e-02	1.004261e-02	1.004261e-02
2.720000e+00	2.750000e+00	1.569445e-02	6.711297e-03	6.711297e-03
2.750000e+00	2.780000e+00	3.507490e-02	9.068397e-03	9.068397e-03
2.780000e+00	2.810000e+00	3.347165e-02	8.712077e-03	8.712077e-03
2.810000e+00	2.840000e+00	2.420578e-02	7.436328e-03	7.436328e-03
2.840000e+00	2.870000e+00	3.887729e-02	1.044932e-02	1.044932e-02
2.870000e+00	2.900000e+00	3.623038e-02	1.043303e-02	1.043303e-02
2.900000e+00	2.930000e+00	2.617669e-02	7.436219e-03	7.436219e-03
2.930000e+00	2.960000e+00	3.464014e-02	9.000288e-03	9.000288e-03
2.960000e+00	2.990000e+00	4.512843e-02	1.378822e-02	1.378822e-02
2.990000e+00	3.020000e+00	1.589236e-02	5.300423e-03	5.300423e-03
3.020000e+00	3.050000e+00	3.945188e-02	1.099810e-02	1.099810e-02
3.050000e+00	3.080000e+00	3.067134e-02	8.483793e-03	8.483793e-03
3.080000e+00	3.110000e+00	2.135592e-02	7.066879e-03	7.066879e-03
3.110000e+00	3.140000e+00	2.541414e-02	1.066384e-02	1.066384e-02
3.140000e+00	3.170000e+00	2.423759e-02	9.471253e-03	9.471253e-03
3.170000e+00	3.200000e+00	1.861977e-02	6.681804e-03	6.681804e-03
3.200000e+00	3.230000e+00	2.225347e-02	7.203175e-03	7.203175e-03
3.230000e+00	3.260000e+00	3.512770e-02	1.070408e-02	1.070408e-02
3.260000e+00	3.290000e+00	4.889682e-02	2.989305e-02	2.989305e-02
3.290000e+00	3.320000e+00	1.876934e-02	6.882035e-03	6.882035e-03
3.320000e+00	3.350000e+00	1.215151e-02	5.299748e-03	5.299748e-03
3.350000e+00	3.380000e+00	1.798313e-02	7.193864e-03	7.193864e-03
3.380000e+00	3.410000e+00	3.141941e-02	1.053696e-02	1.053696e-02
3.410000e+00	3.440000e+00	1.581818e-02	7.681074e-03	7.681074e-03
3.440000e+00	3.470000e+00	1.877778e-02	7.848528e-03	7.848528e-03
3.470000e+00	3.500000e+00	3.950866e-02	1.407054e-02	1.407054e-02
3.500000e+00	3.530000e+00	5.535714e-02	1.568915e-02	1.568915e-02
3.530000e+00	3.560000e+00	3.503052e-02	2.907138e-02	2.907138e-02
3.560000e+00	3.590000e+00	2.744467e-02	9.422047e-03	9.422047e-03
3.590000e+00	3.620000e+00	3.241026e-02	1.232493e-02	1.232493e-02
3.620000e+00	3.650000e+00	1.706227e-02	7.836090e-03	7.836090e-03
3.650000e+00	3.680000e+00	nan	nan	nan
3.680000e+00	3.710000e+00	1.202381e-02	6.502817e-03	6.502817e-03
3.710000e+00	3.740000e+00	3.704712e-02	1.556732e-02	1.556732e-02
3.740000e+00	3.770000e+00	1.877778e-02	7.848528e-03	7.848528e-03
3.770000e+00	3.800000e+00	2.885714e-02	1.331818e-02	1.331818e-02
3.800000e+00	3.830000e+00	2.685714e-02	1.143619e-02	1.143619e-02
3.830000e+00	3.860000e+00	5.809596e-02	2.282843e-02	2.282843e-02
3.860000e+00	3.890000e+00	2.566667e-02	1.114087e-02	1.114087e-02
3.890000e+00	3.920000e+00	3.654040e-02	1.770160e-02	1.770160e-02
3.920000e+00	3.950000e+00	1.835714e-02	9.613048e-03	9.613048e-03
3.950000e+00	3.980000e+00	nan	nan	nan
3.980000e+00	4.010000e+00	3.556421e-02	1.374424e-02	1.374424e-02
4.010000e+00	4.040000e+00	2.183333e-02	1.337084e-02	1.337084e-02
