# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC2.yoda/LHCB_2019_I1762092/h_eta_B0
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC2.yoda/LHCB_2019_I1762092/h_eta_B0
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC2.yoda/LHCB_2019_I1762092/h_eta_B0
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC2.yoda/LHCB_2019_I1762092/h_eta_B0
ScaledBy=6.93215696301439948e+02
Title=LHC2
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.030000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.030000e+00	2.060000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.060000e+00	2.090000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.090000e+00	2.120000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.120000e+00	2.150000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.150000e+00	2.180000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.180000e+00	2.210000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.210000e+00	2.240000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.240000e+00	2.270000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.270000e+00	2.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+00	2.330000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.330000e+00	2.360000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.360000e+00	2.390000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.390000e+00	2.420000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.420000e+00	2.450000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.450000e+00	2.480000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.480000e+00	2.510000e+00	5.106690e+06	3.435131e+05	3.435131e+05
2.510000e+00	2.540000e+00	1.474239e+07	5.836567e+05	5.836567e+05
2.540000e+00	2.570000e+00	1.476549e+07	5.841140e+05	5.841140e+05
2.570000e+00	2.600000e+00	1.404917e+07	5.697692e+05	5.697692e+05
2.600000e+00	2.630000e+00	1.460374e+07	5.809057e+05	5.809057e+05
2.630000e+00	2.660000e+00	1.391053e+07	5.669508e+05	5.669508e+05
2.660000e+00	2.690000e+00	1.441889e+07	5.772175e+05	5.772175e+05
2.690000e+00	2.720000e+00	1.335596e+07	5.555345e+05	5.555345e+05
2.720000e+00	2.750000e+00	1.421092e+07	5.730397e+05	5.730397e+05
2.750000e+00	2.780000e+00	1.275517e+07	5.428960e+05	5.428960e+05
2.780000e+00	2.810000e+00	1.340217e+07	5.564948e+05	5.564948e+05
2.810000e+00	2.840000e+00	1.349460e+07	5.584104e+05	5.584104e+05
2.840000e+00	2.870000e+00	1.319421e+07	5.521603e+05	5.521603e+05
2.870000e+00	2.900000e+00	1.319421e+07	5.521603e+05	5.521603e+05
2.900000e+00	2.930000e+00	1.250099e+07	5.374596e+05	5.374596e+05
2.930000e+00	2.960000e+00	1.238545e+07	5.349701e+05	5.349701e+05
2.960000e+00	2.990000e+00	1.240856e+07	5.354690e+05	5.354690e+05
2.990000e+00	3.020000e+00	1.294003e+07	5.468159e+05	5.468159e+05
3.020000e+00	3.050000e+00	1.194642e+07	5.254028e+05	5.254028e+05
3.050000e+00	3.080000e+00	1.173845e+07	5.208096e+05	5.208096e+05
3.080000e+00	3.110000e+00	1.097592e+07	5.036095e+05	5.036095e+05
3.110000e+00	3.140000e+00	1.139184e+07	5.130629e+05	5.130629e+05
3.140000e+00	3.170000e+00	1.012095e+07	4.835976e+05	4.835976e+05
3.170000e+00	3.200000e+00	1.079106e+07	4.993506e+05	4.993506e+05
3.200000e+00	3.230000e+00	1.055999e+07	4.939753e+05	4.939753e+05
3.230000e+00	3.260000e+00	1.012095e+07	4.835976e+05	4.835976e+05
3.260000e+00	3.290000e+00	1.109145e+07	5.062531e+05	5.062531e+05
3.290000e+00	3.320000e+00	9.520163e+06	4.690248e+05	4.690248e+05
3.320000e+00	3.350000e+00	1.007473e+07	4.824923e+05	4.824923e+05
3.350000e+00	3.380000e+00	1.116077e+07	5.078328e+05	5.078328e+05
3.380000e+00	3.410000e+00	1.007473e+07	4.824923e+05	4.824923e+05
3.410000e+00	3.440000e+00	9.889877e+06	4.780452e+05	4.780452e+05
3.440000e+00	3.470000e+00	9.728127e+06	4.741199e+05	4.741199e+05
3.470000e+00	3.500000e+00	9.543270e+06	4.695936e+05	4.695936e+05
3.500000e+00	3.530000e+00	9.543270e+06	4.695936e+05	4.695936e+05
3.530000e+00	3.560000e+00	9.497053e+06	4.684551e+05	4.684551e+05
3.560000e+00	3.590000e+00	8.549660e+06	4.444757e+05	4.444757e+05
3.590000e+00	3.620000e+00	8.688303e+06	4.480651e+05	4.480651e+05
3.620000e+00	3.650000e+00	9.127340e+06	4.592464e+05	4.592464e+05
3.650000e+00	3.680000e+00	8.757623e+06	4.498490e+05	4.498490e+05
3.680000e+00	3.710000e+00	8.896267e+06	4.533958e+05	4.533958e+05
3.710000e+00	3.740000e+00	8.387910e+06	4.402511e+05	4.402511e+05
3.740000e+00	3.770000e+00	8.087517e+06	4.322959e+05	4.322959e+05
3.770000e+00	3.800000e+00	7.764017e+06	4.235617e+05	4.235617e+05
3.800000e+00	3.830000e+00	8.064410e+06	4.316779e+05	4.316779e+05
3.830000e+00	3.860000e+00	7.602267e+06	4.191265e+05	4.191265e+05
3.860000e+00	3.890000e+00	7.255657e+06	4.094605e+05	4.094605e+05
3.890000e+00	3.920000e+00	6.839727e+06	3.975511e+05	3.975511e+05
3.920000e+00	3.950000e+00	7.856443e+06	4.260755e+05	4.260755e+05
3.950000e+00	3.980000e+00	7.348087e+06	4.120603e+05	4.120603e+05
3.980000e+00	4.010000e+00	6.816620e+06	3.968791e+05	3.968791e+05
4.010000e+00	4.040000e+00	7.417407e+06	4.139993e+05	4.139993e+05
4.040000e+00	4.070000e+00	6.007870e+06	3.725923e+05	3.725923e+05
4.070000e+00	4.100000e+00	6.377583e+06	3.838855e+05	3.838855e+05
4.100000e+00	4.130000e+00	7.047693e+06	4.035497e+05	4.035497e+05
4.130000e+00	4.160000e+00	5.823013e+06	3.668153e+05	3.668153e+05
4.160000e+00	4.190000e+00	5.545727e+06	3.579750e+05	3.579750e+05
4.190000e+00	4.220000e+00	6.677977e+06	3.928223e+05	3.928223e+05
4.220000e+00	4.250000e+00	5.638153e+06	3.609458e+05	3.609458e+05
4.250000e+00	4.280000e+00	5.776797e+06	3.653568e+05	3.653568e+05
4.280000e+00	4.310000e+00	5.476403e+06	3.557307e+05	3.557307e+05
4.310000e+00	4.340000e+00	5.060473e+06	3.419552e+05	3.419552e+05
4.340000e+00	4.370000e+00	4.783190e+06	3.324546e+05	3.324546e+05
4.370000e+00	4.400000e+00	5.314653e+06	3.504378e+05	3.504378e+05
4.400000e+00	4.430000e+00	5.545727e+06	3.579750e+05	3.579750e+05
4.430000e+00	4.460000e+00	5.083583e+06	3.427351e+05	3.427351e+05
4.460000e+00	4.490000e+00	5.360867e+06	3.519582e+05	3.519582e+05
4.490000e+00	4.520000e+00	1.525074e+06	1.877237e+05	1.877237e+05
4.520000e+00	4.550000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.550000e+00	4.580000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.580000e+00	4.610000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.610000e+00	4.640000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.640000e+00	4.670000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.670000e+00	4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e+00	4.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.730000e+00	4.760000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.760000e+00	4.790000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.790000e+00	4.820000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.820000e+00	4.850000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.850000e+00	4.880000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.880000e+00	4.910000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.910000e+00	4.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.940000e+00	4.970000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.970000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

