# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC2.yoda/LHCB_2019_I1762092/h_eta_ratio
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC2.yoda/LHCB_2019_I1762092/h_eta_ratio
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC2.yoda/LHCB_2019_I1762092/h_eta_ratio
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC2.yoda/LHCB_2019_I1762092/h_eta_ratio
Title=LHC2
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.030000e+00	nan	nan	nan
2.030000e+00	2.060000e+00	nan	nan	nan
2.060000e+00	2.090000e+00	nan	nan	nan
2.090000e+00	2.120000e+00	nan	nan	nan
2.120000e+00	2.150000e+00	nan	nan	nan
2.150000e+00	2.180000e+00	nan	nan	nan
2.180000e+00	2.210000e+00	nan	nan	nan
2.210000e+00	2.240000e+00	nan	nan	nan
2.240000e+00	2.270000e+00	nan	nan	nan
2.270000e+00	2.300000e+00	nan	nan	nan
2.300000e+00	2.330000e+00	nan	nan	nan
2.330000e+00	2.360000e+00	nan	nan	nan
2.360000e+00	2.390000e+00	nan	nan	nan
2.390000e+00	2.420000e+00	nan	nan	nan
2.420000e+00	2.450000e+00	nan	nan	nan
2.450000e+00	2.480000e+00	nan	nan	nan
2.480000e+00	2.510000e+00	nan	nan	nan
2.510000e+00	2.540000e+00	6.580360e-02	1.391997e-02	1.391997e-02
2.540000e+00	2.570000e+00	6.267558e-02	1.170829e-02	1.170829e-02
2.570000e+00	2.600000e+00	5.028864e-02	1.024993e-02	1.024993e-02
2.600000e+00	2.630000e+00	4.795027e-02	1.003772e-02	1.003772e-02
2.630000e+00	2.660000e+00	5.979144e-02	1.115383e-02	1.115383e-02
2.660000e+00	2.690000e+00	4.544631e-02	9.638723e-03	9.638723e-03
2.690000e+00	2.720000e+00	4.584099e-02	1.034009e-02	1.034009e-02
2.720000e+00	2.750000e+00	4.975022e-02	1.094504e-02	1.094504e-02
2.750000e+00	2.780000e+00	5.886833e-02	1.157663e-02	1.157663e-02
2.780000e+00	2.810000e+00	5.522696e-02	1.137587e-02	1.137587e-02
2.810000e+00	2.840000e+00	5.297800e-02	1.136471e-02	1.136471e-02
2.840000e+00	2.870000e+00	5.505519e-02	1.138879e-02	1.138879e-02
2.870000e+00	2.900000e+00	6.060264e-02	1.375578e-02	1.375578e-02
2.900000e+00	2.930000e+00	4.667261e-02	1.080267e-02	1.080267e-02
2.930000e+00	2.960000e+00	6.924259e-02	1.489248e-02	1.489248e-02
2.960000e+00	2.990000e+00	5.291800e-02	1.161875e-02	1.161875e-02
2.990000e+00	3.020000e+00	4.481558e-02	1.171674e-02	1.171674e-02
3.020000e+00	3.050000e+00	3.562995e-02	9.697606e-03	9.697606e-03
3.050000e+00	3.080000e+00	4.951245e-02	1.354737e-02	1.354737e-02
3.080000e+00	3.110000e+00	3.944198e-02	1.094945e-02	1.094945e-02
3.110000e+00	3.140000e+00	7.252125e-02	1.490600e-02	1.490600e-02
3.140000e+00	3.170000e+00	6.786480e-02	1.793094e-02	1.793094e-02
3.170000e+00	3.200000e+00	4.811652e-02	1.218747e-02	1.218747e-02
3.200000e+00	3.230000e+00	5.699229e-02	1.441593e-02	1.441593e-02
3.230000e+00	3.260000e+00	5.595427e-02	1.447115e-02	1.447115e-02
3.260000e+00	3.290000e+00	4.975816e-02	1.217440e-02	1.217440e-02
3.290000e+00	3.320000e+00	3.410073e-02	9.342042e-03	9.342042e-03
3.320000e+00	3.350000e+00	5.032900e-02	1.279859e-02	1.279859e-02
3.350000e+00	3.380000e+00	2.473088e-02	8.097786e-03	8.097786e-03
3.380000e+00	3.410000e+00	4.706177e-02	1.302721e-02	1.302721e-02
3.410000e+00	3.440000e+00	3.704112e-02	1.087094e-02	1.087094e-02
3.440000e+00	3.470000e+00	6.679315e-02	1.736000e-02	1.736000e-02
3.470000e+00	3.500000e+00	3.858008e-02	1.145084e-02	1.145084e-02
3.500000e+00	3.530000e+00	nan	nan	nan
3.530000e+00	3.560000e+00	2.896248e-02	1.058531e-02	1.058531e-02
3.560000e+00	3.590000e+00	7.838766e-02	2.338088e-02	2.338088e-02
3.590000e+00	3.620000e+00	6.048485e-02	1.804115e-02	1.804115e-02
3.620000e+00	3.650000e+00	3.035808e-02	1.104542e-02	1.104542e-02
3.650000e+00	3.680000e+00	4.541342e-02	1.309284e-02	1.309284e-02
3.680000e+00	3.710000e+00	5.195382e-02	1.544128e-02	1.544128e-02
3.710000e+00	3.740000e+00	3.789755e-02	1.105927e-02	1.105927e-02
3.740000e+00	3.770000e+00	nan	nan	nan
3.770000e+00	3.800000e+00	5.024554e-02	1.740271e-02	1.740271e-02
3.800000e+00	3.830000e+00	8.365079e-02	2.016175e-02	2.016175e-02
3.830000e+00	3.860000e+00	4.977778e-02	1.818383e-02	1.818383e-02
3.860000e+00	3.890000e+00	5.279365e-02	1.498856e-02	1.498856e-02
3.890000e+00	3.920000e+00	8.146969e-02	3.295369e-02	3.295369e-02
3.920000e+00	3.950000e+00	3.330952e-02	1.396453e-02	1.396453e-02
3.950000e+00	3.980000e+00	8.741270e-02	2.208085e-02	2.208085e-02
3.980000e+00	4.010000e+00	6.612698e-02	2.031833e-02	2.031833e-02
4.010000e+00	4.040000e+00	4.995310e-02	1.612764e-02	1.612764e-02
