# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/LHC5.yoda/LHCB_2019_I1762092/h_eta_B0
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/LHC5.yoda/LHCB_2019_I1762092/h_eta_B0
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/LHC5.yoda/LHCB_2019_I1762092/h_eta_B0
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/LHC5.yoda/LHCB_2019_I1762092/h_eta_B0
ScaledBy=6.94420957505113165e+02
Title=LHC5
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.030000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.030000e+00	2.060000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.060000e+00	2.090000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.090000e+00	2.120000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.120000e+00	2.150000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.150000e+00	2.180000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.180000e+00	2.210000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.210000e+00	2.240000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.240000e+00	2.270000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.270000e+00	2.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+00	2.330000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.330000e+00	2.360000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.360000e+00	2.390000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.390000e+00	2.420000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.420000e+00	2.450000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.450000e+00	2.480000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.480000e+00	2.510000e+00	5.995167e+06	3.725216e+05	3.725216e+05
2.510000e+00	2.540000e+00	1.611057e+07	6.106694e+05	6.106694e+05
2.540000e+00	2.570000e+00	1.641148e+07	6.163461e+05	6.163461e+05
2.570000e+00	2.600000e+00	1.726793e+07	6.322240e+05	6.322240e+05
2.600000e+00	2.630000e+00	1.641148e+07	6.163461e+05	6.163461e+05
2.630000e+00	2.660000e+00	1.597168e+07	6.080315e+05	6.080315e+05
2.660000e+00	2.690000e+00	1.564762e+07	6.018315e+05	6.018315e+05
2.690000e+00	2.720000e+00	1.539300e+07	5.969148e+05	5.969148e+05
2.720000e+00	2.750000e+00	1.562447e+07	6.013862e+05	6.013862e+05
2.750000e+00	2.780000e+00	1.532356e+07	5.955669e+05	5.955669e+05
2.780000e+00	2.810000e+00	1.643463e+07	6.167806e+05	6.167806e+05
2.810000e+00	2.840000e+00	1.604112e+07	6.093519e+05	6.093519e+05
2.840000e+00	2.870000e+00	1.502264e+07	5.896902e+05	5.896902e+05
2.870000e+00	2.900000e+00	1.488376e+07	5.869581e+05	5.869581e+05
2.900000e+00	2.930000e+00	1.409675e+07	5.712290e+05	5.712290e+05
2.930000e+00	2.960000e+00	1.493005e+07	5.878702e+05	5.878702e+05
2.960000e+00	2.990000e+00	1.372639e+07	5.636751e+05	5.636751e+05
2.990000e+00	3.020000e+00	1.425878e+07	5.745025e+05	5.745025e+05
3.020000e+00	3.050000e+00	1.340232e+07	5.569815e+05	5.569815e+05
3.050000e+00	3.080000e+00	1.337918e+07	5.565004e+05	5.565004e+05
3.080000e+00	3.110000e+00	1.300882e+07	5.487439e+05	5.487439e+05
3.110000e+00	3.140000e+00	1.326344e+07	5.540881e+05	5.540881e+05
3.140000e+00	3.170000e+00	1.296252e+07	5.477667e+05	5.477667e+05
3.170000e+00	3.200000e+00	1.252272e+07	5.383940e+05	5.383940e+05
3.200000e+00	3.230000e+00	1.277735e+07	5.438399e+05	5.438399e+05
3.230000e+00	3.260000e+00	1.349491e+07	5.589022e+05	5.589022e+05
3.260000e+00	3.290000e+00	1.330974e+07	5.550544e+05	5.550544e+05
3.290000e+00	3.320000e+00	1.259217e+07	5.398847e+05	5.398847e+05
3.320000e+00	3.350000e+00	1.145795e+07	5.149963e+05	5.149963e+05
3.350000e+00	3.380000e+00	1.178201e+07	5.222283e+05	5.222283e+05
3.380000e+00	3.410000e+00	1.108759e+07	5.066048e+05	5.066048e+05
3.410000e+00	3.440000e+00	1.166627e+07	5.196570e+05	5.196570e+05
3.440000e+00	3.470000e+00	1.152739e+07	5.165546e+05	5.165546e+05
3.470000e+00	3.500000e+00	1.180516e+07	5.227411e+05	5.227411e+05
3.500000e+00	3.530000e+00	1.101815e+07	5.050160e+05	5.050160e+05
3.530000e+00	3.560000e+00	1.006910e+07	4.827766e+05	4.827766e+05
3.560000e+00	3.590000e+00	9.768187e+06	4.755079e+05	4.755079e+05
3.590000e+00	3.620000e+00	9.675600e+06	4.732489e+05	4.732489e+05
3.620000e+00	3.650000e+00	1.115703e+07	5.081887e+05	5.081887e+05
3.650000e+00	3.680000e+00	1.023114e+07	4.866454e+05	4.866454e+05
3.680000e+00	3.710000e+00	1.048576e+07	4.926638e+05	4.926638e+05
3.710000e+00	3.740000e+00	1.037002e+07	4.899374e+05	4.899374e+05
3.740000e+00	3.770000e+00	1.016169e+07	4.849912e+05	4.849912e+05
3.770000e+00	3.800000e+00	8.796000e+06	4.512252e+05	4.512252e+05
3.800000e+00	3.830000e+00	9.328387e+06	4.646802e+05	4.646802e+05
3.830000e+00	3.860000e+00	9.698747e+06	4.738148e+05	4.738148e+05
3.860000e+00	3.890000e+00	8.657113e+06	4.476488e+05	4.476488e+05
3.890000e+00	3.920000e+00	8.796000e+06	4.512252e+05	4.512252e+05
3.920000e+00	3.950000e+00	9.189503e+06	4.612080e+05	4.612080e+05
3.950000e+00	3.980000e+00	8.911737e+06	4.541841e+05	4.541841e+05
3.980000e+00	4.010000e+00	8.263610e+06	4.373566e+05	4.373566e+05
4.010000e+00	4.040000e+00	8.448787e+06	4.422298e+05	4.422298e+05
4.040000e+00	4.070000e+00	8.032137e+06	4.311876e+05	4.311876e+05
4.070000e+00	4.100000e+00	8.171020e+06	4.348995e+05	4.348995e+05
4.100000e+00	4.130000e+00	7.754367e+06	4.236664e+05	4.236664e+05
4.130000e+00	4.160000e+00	7.083093e+06	4.049136e+05	4.049136e+05
4.160000e+00	4.190000e+00	7.592337e+06	4.192166e+05	4.192166e+05
4.190000e+00	4.220000e+00	7.985840e+06	4.299433e+05	4.299433e+05
4.220000e+00	4.250000e+00	7.800663e+06	4.249291e+05	4.249291e+05
4.250000e+00	4.280000e+00	7.083093e+06	4.049136e+05	4.049136e+05
4.280000e+00	4.310000e+00	7.291420e+06	4.108249e+05	4.108249e+05
4.310000e+00	4.340000e+00	7.175683e+06	4.075514e+05	4.075514e+05
4.340000e+00	4.370000e+00	7.013653e+06	4.029238e+05	4.029238e+05
4.370000e+00	4.400000e+00	6.157200e+06	3.775220e+05	3.775220e+05
4.400000e+00	4.430000e+00	6.504410e+06	3.880205e+05	3.880205e+05
4.430000e+00	4.460000e+00	5.509073e+06	3.571002e+05	3.571002e+05
4.460000e+00	4.490000e+00	5.972020e+06	3.718018e+05	3.718018e+05
4.490000e+00	4.520000e+00	2.361031e+06	2.337769e+05	2.337769e+05
4.520000e+00	4.550000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.550000e+00	4.580000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.580000e+00	4.610000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.610000e+00	4.640000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.640000e+00	4.670000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.670000e+00	4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e+00	4.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.730000e+00	4.760000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.760000e+00	4.790000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.790000e+00	4.820000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.820000e+00	4.850000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.850000e+00	4.880000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.880000e+00	4.910000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.910000e+00	4.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.940000e+00	4.970000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.970000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

