# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/LHC5.yoda/LHCB_2019_I1762092/h_eta_ratio
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/LHC5.yoda/LHCB_2019_I1762092/h_eta_ratio
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/LHC5.yoda/LHCB_2019_I1762092/h_eta_ratio
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/LHC5.yoda/LHCB_2019_I1762092/h_eta_ratio
Title=LHC5
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.030000e+00	nan	nan	nan
2.030000e+00	2.060000e+00	nan	nan	nan
2.060000e+00	2.090000e+00	nan	nan	nan
2.090000e+00	2.120000e+00	nan	nan	nan
2.120000e+00	2.150000e+00	nan	nan	nan
2.150000e+00	2.180000e+00	nan	nan	nan
2.180000e+00	2.210000e+00	nan	nan	nan
2.210000e+00	2.240000e+00	nan	nan	nan
2.240000e+00	2.270000e+00	nan	nan	nan
2.270000e+00	2.300000e+00	nan	nan	nan
2.300000e+00	2.330000e+00	nan	nan	nan
2.330000e+00	2.360000e+00	nan	nan	nan
2.360000e+00	2.390000e+00	nan	nan	nan
2.390000e+00	2.420000e+00	nan	nan	nan
2.420000e+00	2.450000e+00	nan	nan	nan
2.450000e+00	2.480000e+00	nan	nan	nan
2.480000e+00	2.510000e+00	3.507936e-02	1.967330e-02	1.967330e-02
2.510000e+00	2.540000e+00	2.837872e-02	7.282767e-03	7.282767e-03
2.540000e+00	2.570000e+00	1.059596e-02	4.681744e-03	4.681744e-03
2.570000e+00	2.600000e+00	2.066911e-02	5.927272e-03	5.927272e-03
2.600000e+00	2.630000e+00	1.643901e-02	5.327554e-03	5.327554e-03
2.630000e+00	2.660000e+00	1.329692e-02	5.412256e-03	5.412256e-03
2.660000e+00	2.690000e+00	1.272641e-02	4.477090e-03	4.477090e-03
2.690000e+00	2.720000e+00	1.586744e-02	5.161606e-03	5.161606e-03
2.720000e+00	2.750000e+00	3.508958e-02	8.902557e-03	8.902557e-03
2.750000e+00	2.780000e+00	3.183530e-02	7.824643e-03	7.824643e-03
2.780000e+00	2.810000e+00	3.632035e-02	8.291031e-03	8.291031e-03
2.810000e+00	2.840000e+00	2.734310e-02	6.832640e-03	6.832640e-03
2.840000e+00	2.870000e+00	3.174660e-02	8.014129e-03	8.014129e-03
2.870000e+00	2.900000e+00	4.151034e-02	9.859222e-03	9.859222e-03
2.900000e+00	2.930000e+00	3.598157e-02	9.250987e-03	9.250987e-03
2.930000e+00	2.960000e+00	3.735913e-02	8.993099e-03	8.993099e-03
2.960000e+00	2.990000e+00	3.643420e-02	9.304003e-03	9.304003e-03
2.990000e+00	3.020000e+00	7.743506e-03	3.679334e-03	3.679334e-03
3.020000e+00	3.050000e+00	2.120932e-02	6.554604e-03	6.554604e-03
3.050000e+00	3.080000e+00	2.280512e-02	6.819479e-03	6.819479e-03
3.080000e+00	3.110000e+00	1.822211e-02	6.233956e-03	6.233956e-03
3.110000e+00	3.140000e+00	1.799756e-02	6.296526e-03	6.296526e-03
3.140000e+00	3.170000e+00	2.705772e-02	8.007342e-03	8.007342e-03
3.170000e+00	3.200000e+00	2.731024e-02	8.140160e-03	8.140160e-03
3.200000e+00	3.230000e+00	3.246992e-02	8.275607e-03	8.275607e-03
3.230000e+00	3.260000e+00	3.072916e-02	7.821566e-03	7.821566e-03
3.260000e+00	3.290000e+00	2.274351e-02	9.386537e-03	9.386537e-03
3.290000e+00	3.320000e+00	2.066026e-02	1.002759e-02	1.002759e-02
3.320000e+00	3.350000e+00	2.824553e-02	1.079346e-02	1.079346e-02
3.350000e+00	3.380000e+00	3.027793e-02	8.799903e-03	8.799903e-03
3.380000e+00	3.410000e+00	3.399675e-02	1.214457e-02	1.214457e-02
3.410000e+00	3.440000e+00	3.300255e-02	9.220158e-03	9.220158e-03
3.440000e+00	3.470000e+00	1.486580e-02	6.946605e-03	6.946605e-03
3.470000e+00	3.500000e+00	3.085054e-02	8.903040e-03	8.903040e-03
3.500000e+00	3.530000e+00	2.939560e-02	9.721378e-03	9.721378e-03
3.530000e+00	3.560000e+00	1.970513e-02	9.271252e-03	9.271252e-03
3.560000e+00	3.590000e+00	2.532684e-02	9.787047e-03	9.787047e-03
3.590000e+00	3.620000e+00	3.008153e-02	1.013353e-02	1.013353e-02
3.620000e+00	3.650000e+00	1.630708e-02	5.958478e-03	5.958478e-03
3.650000e+00	3.680000e+00	2.091270e-02	9.057199e-03	9.057199e-03
3.680000e+00	3.710000e+00	1.554834e-02	6.423097e-03	6.423097e-03
3.710000e+00	3.740000e+00	4.085592e-02	1.174010e-02	1.174010e-02
3.740000e+00	3.770000e+00	2.412648e-02	7.982675e-03	7.982675e-03
3.770000e+00	3.800000e+00	6.675324e-03	4.163623e-03	4.163623e-03
3.800000e+00	3.830000e+00	1.924603e-02	9.992843e-03	9.992843e-03
3.830000e+00	3.860000e+00	2.444467e-02	8.033041e-03	8.033041e-03
3.860000e+00	3.890000e+00	4.109596e-02	1.350389e-02	1.350389e-02
3.890000e+00	3.920000e+00	1.975275e-02	1.335062e-02	1.335062e-02
3.920000e+00	3.950000e+00	3.624026e-02	1.114688e-02	1.114688e-02
3.950000e+00	3.980000e+00	1.919048e-02	9.588660e-03	9.588660e-03
3.980000e+00	4.010000e+00	1.756421e-02	9.842865e-03	9.842865e-03
4.010000e+00	4.040000e+00	1.544192e-02	6.625405e-03	6.625405e-03
