# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/Cornell/LHC2.yoda/LHCB_2019_I1762092/h_eta_B0
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/Cornell/LHC2.yoda/LHCB_2019_I1762092/h_eta_B0
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/Cornell/LHC2.yoda/LHCB_2019_I1762092/h_eta_B0
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/Cornell/LHC2.yoda/LHCB_2019_I1762092/h_eta_B0
ScaledBy=6.94300069931695930e+02
Title=Cornell potential
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.030000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.030000e+00	2.060000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.060000e+00	2.090000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.090000e+00	2.120000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.120000e+00	2.150000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.150000e+00	2.180000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.180000e+00	2.210000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.210000e+00	2.240000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.240000e+00	2.270000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.270000e+00	2.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+00	2.330000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.330000e+00	2.360000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.360000e+00	2.390000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.390000e+00	2.420000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.420000e+00	2.450000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.450000e+00	2.480000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.480000e+00	2.510000e+00	5.137820e+06	3.448280e+05	3.448280e+05
2.510000e+00	2.540000e+00	1.441830e+07	5.776570e+05	5.776570e+05
2.540000e+00	2.570000e+00	1.462659e+07	5.818144e+05	5.818144e+05
2.570000e+00	2.600000e+00	1.416372e+07	5.725345e+05	5.725345e+05
2.600000e+00	2.630000e+00	1.282141e+07	5.447294e+05	5.447294e+05
2.630000e+00	2.660000e+00	1.381657e+07	5.654746e+05	5.654746e+05
2.660000e+00	2.690000e+00	1.333056e+07	5.554401e+05	5.554401e+05
2.690000e+00	2.720000e+00	1.328427e+07	5.544749e+05	5.544749e+05
2.720000e+00	2.750000e+00	1.404800e+07	5.701909e+05	5.701909e+05
2.750000e+00	2.780000e+00	1.337685e+07	5.564035e+05	5.564035e+05
2.780000e+00	2.810000e+00	1.335371e+07	5.559220e+05	5.559220e+05
2.810000e+00	2.840000e+00	1.319170e+07	5.525396e+05	5.525396e+05
2.840000e+00	2.870000e+00	1.330742e+07	5.549577e+05	5.549577e+05
2.870000e+00	2.900000e+00	1.247426e+07	5.373043e+05	5.373043e+05
2.900000e+00	2.930000e+00	1.256683e+07	5.392944e+05	5.392944e+05
2.930000e+00	2.960000e+00	1.198825e+07	5.267333e+05	5.267333e+05
2.960000e+00	2.990000e+00	1.208082e+07	5.287632e+05	5.287632e+05
2.990000e+00	3.020000e+00	1.196510e+07	5.262247e+05	5.262247e+05
3.020000e+00	3.050000e+00	1.212711e+07	5.297751e+05	5.297751e+05
3.050000e+00	3.080000e+00	1.136338e+07	5.128220e+05	5.128220e+05
3.080000e+00	3.110000e+00	1.212711e+07	5.297752e+05	5.297752e+05
3.110000e+00	3.140000e+00	1.233540e+07	5.343054e+05	5.343054e+05
3.140000e+00	3.170000e+00	1.143281e+07	5.143864e+05	5.143864e+05
3.170000e+00	3.200000e+00	1.201139e+07	5.272416e+05	5.272416e+05
3.200000e+00	3.230000e+00	1.039136e+07	4.903985e+05	4.903985e+05
3.230000e+00	3.260000e+00	9.997920e+06	4.810252e+05	4.810252e+05
3.260000e+00	3.290000e+00	1.020621e+07	4.860101e+05	4.860101e+05
3.290000e+00	3.320000e+00	1.004421e+07	4.821374e+05	4.821374e+05
3.320000e+00	3.350000e+00	1.053022e+07	4.936642e+05	4.936642e+05
3.350000e+00	3.380000e+00	9.951633e+06	4.799104e+05	4.799104e+05
3.380000e+00	3.410000e+00	1.043764e+07	4.914895e+05	4.914895e+05
3.410000e+00	3.440000e+00	9.697057e+06	4.737322e+05	4.737322e+05
3.440000e+00	3.470000e+00	9.627627e+06	4.720333e+05	4.720333e+05
3.470000e+00	3.500000e+00	1.004421e+07	4.821374e+05	4.821374e+05
3.500000e+00	3.530000e+00	8.678750e+06	4.481687e+05	4.481687e+05
3.530000e+00	3.560000e+00	8.748180e+06	4.499579e+05	4.499579e+05
3.560000e+00	3.590000e+00	8.169597e+06	4.348238e+05	4.348238e+05
3.590000e+00	3.620000e+00	9.743343e+06	4.748615e+05	4.748615e+05
3.620000e+00	3.650000e+00	9.419337e+06	4.668992e+05	4.668992e+05
3.650000e+00	3.680000e+00	7.891877e+06	4.273691e+05	4.273691e+05
3.680000e+00	3.710000e+00	8.354743e+06	4.397234e+05	4.397234e+05
3.710000e+00	3.740000e+00	8.609320e+06	4.463725e+05	4.463725e+05
3.740000e+00	3.770000e+00	7.660443e+06	4.210561e+05	4.210561e+05
3.770000e+00	3.800000e+00	8.215883e+06	4.360539e+05	4.360539e+05
3.800000e+00	3.830000e+00	8.794467e+06	4.511467e+05	4.511467e+05
3.830000e+00	3.860000e+00	7.243863e+06	4.094475e+05	4.094475e+05
3.860000e+00	3.890000e+00	7.868733e+06	4.267421e+05	4.267421e+05
3.890000e+00	3.920000e+00	7.915020e+06	4.279953e+05	4.279953e+05
3.920000e+00	3.950000e+00	7.521583e+06	4.172224e+05	4.172224e+05
3.950000e+00	3.980000e+00	6.503277e+06	3.879530e+05	3.879530e+05
3.980000e+00	4.010000e+00	7.382723e+06	4.133532e+05	4.133532e+05
4.010000e+00	4.040000e+00	7.405867e+06	4.140005e+05	4.140005e+05
4.040000e+00	4.070000e+00	6.387560e+06	3.844859e+05	3.844859e+05
4.070000e+00	4.100000e+00	6.850427e+06	3.981731e+05	3.981731e+05
4.100000e+00	4.130000e+00	6.943000e+06	4.008544e+05	4.008544e+05
4.130000e+00	4.160000e+00	6.248700e+06	3.802838e+05	3.802838e+05
4.160000e+00	4.190000e+00	6.017267e+06	3.731751e+05	3.731751e+05
4.190000e+00	4.220000e+00	6.456990e+06	3.865700e+05	3.865700e+05
4.220000e+00	4.250000e+00	6.017267e+06	3.731751e+05	3.731751e+05
4.250000e+00	4.280000e+00	5.901550e+06	3.695694e+05	3.695694e+05
4.280000e+00	4.310000e+00	5.531257e+06	3.577873e+05	3.577873e+05
4.310000e+00	4.340000e+00	6.642137e+06	3.920730e+05	3.920730e+05
4.340000e+00	4.370000e+00	5.600687e+06	3.600258e+05	3.600258e+05
4.370000e+00	4.400000e+00	5.160963e+06	3.456037e+05	3.456037e+05
4.400000e+00	4.430000e+00	5.230393e+06	3.479206e+05	3.479206e+05
4.430000e+00	4.460000e+00	4.952673e+06	3.385579e+05	3.385579e+05
4.460000e+00	4.490000e+00	5.808977e+06	3.666594e+05	3.666594e+05
4.490000e+00	4.520000e+00	1.712607e+06	1.990865e+05	1.990865e+05
4.520000e+00	4.550000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.550000e+00	4.580000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.580000e+00	4.610000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.610000e+00	4.640000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.640000e+00	4.670000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.670000e+00	4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e+00	4.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.730000e+00	4.760000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.760000e+00	4.790000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.790000e+00	4.820000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.820000e+00	4.850000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.850000e+00	4.880000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.880000e+00	4.910000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.910000e+00	4.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.940000e+00	4.970000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.970000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

