# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/Cornell/LHC2.yoda/LHCB_2019_I1762092/h_eta_Bc
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/Cornell/LHC2.yoda/LHCB_2019_I1762092/h_eta_Bc
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/Cornell/LHC2.yoda/LHCB_2019_I1762092/h_eta_Bc
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/Cornell/LHC2.yoda/LHCB_2019_I1762092/h_eta_Bc
ScaledBy=6.94300069931695930e+02
Title=Cornell potential
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.030000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.030000e+00	2.060000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.060000e+00	2.090000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.090000e+00	2.120000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.120000e+00	2.150000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.150000e+00	2.180000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.180000e+00	2.210000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.210000e+00	2.240000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.240000e+00	2.270000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.270000e+00	2.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+00	2.330000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.330000e+00	2.360000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.360000e+00	2.390000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.390000e+00	2.420000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.420000e+00	2.450000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.450000e+00	2.480000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.480000e+00	2.510000e+00	1.851467e+05	6.545924e+04	6.545924e+04
2.510000e+00	2.540000e+00	6.017267e+05	1.180083e+05	1.180083e+05
2.540000e+00	2.570000e+00	4.860100e+05	1.060561e+05	1.060561e+05
2.570000e+00	2.600000e+00	7.405867e+05	1.309185e+05	1.309185e+05
2.600000e+00	2.630000e+00	7.868733e+05	1.349477e+05	1.349477e+05
2.630000e+00	2.660000e+00	9.025900e+05	1.445301e+05	1.445301e+05
2.660000e+00	2.690000e+00	7.405867e+05	1.309185e+05	1.309185e+05
2.690000e+00	2.720000e+00	3.934367e+05	9.542242e+04	9.542242e+04
2.720000e+00	2.750000e+00	6.017267e+05	1.180083e+05	1.180083e+05
2.750000e+00	2.780000e+00	6.480133e+05	1.224630e+05	1.224630e+05
2.780000e+00	2.810000e+00	5.785833e+05	1.157167e+05	1.157167e+05
2.810000e+00	2.840000e+00	5.554400e+05	1.133787e+05	1.133787e+05
2.840000e+00	2.870000e+00	8.100167e+05	1.369178e+05	1.369178e+05
2.870000e+00	2.900000e+00	8.331600e+05	1.388600e+05	1.388600e+05
2.900000e+00	2.930000e+00	7.174433e+05	1.288566e+05	1.288566e+05
2.930000e+00	2.960000e+00	8.100167e+05	1.369178e+05	1.369178e+05
2.960000e+00	2.990000e+00	5.785833e+05	1.157167e+05	1.157167e+05
2.990000e+00	3.020000e+00	5.322967e+05	1.109915e+05	1.109915e+05
3.020000e+00	3.050000e+00	6.017267e+05	1.180083e+05	1.180083e+05
3.050000e+00	3.080000e+00	5.554400e+05	1.133787e+05	1.133787e+05
3.080000e+00	3.110000e+00	5.091533e+05	1.085519e+05	1.085519e+05
3.110000e+00	3.140000e+00	6.943000e+05	1.267613e+05	1.267613e+05
3.140000e+00	3.170000e+00	5.091533e+05	1.085519e+05	1.085519e+05
3.170000e+00	3.200000e+00	3.471500e+05	8.963375e+04	8.963375e+04
3.200000e+00	3.230000e+00	3.934367e+05	9.542242e+04	9.542242e+04
3.230000e+00	3.260000e+00	2.777200e+05	8.017087e+04	8.017087e+04
3.260000e+00	3.290000e+00	2.777200e+05	8.017087e+04	8.017087e+04
3.290000e+00	3.320000e+00	3.240067e+05	8.659443e+04	8.659443e+04
3.320000e+00	3.350000e+00	3.008634e+05	8.344449e+04	8.344449e+04
3.350000e+00	3.380000e+00	4.628667e+05	1.035001e+05	1.035001e+05
3.380000e+00	3.410000e+00	4.397233e+05	1.008795e+05	1.008795e+05
3.410000e+00	3.440000e+00	4.397233e+05	1.008795e+05	1.008795e+05
3.440000e+00	3.470000e+00	4.397233e+05	1.008795e+05	1.008795e+05
3.470000e+00	3.500000e+00	5.322967e+05	1.109915e+05	1.109915e+05
3.500000e+00	3.530000e+00	4.860100e+05	1.060561e+05	1.060561e+05
3.530000e+00	3.560000e+00	4.628667e+05	1.035001e+05	1.035001e+05
3.560000e+00	3.590000e+00	3.240067e+05	8.659444e+04	8.659444e+04
3.590000e+00	3.620000e+00	2.314334e+05	7.318565e+04	7.318565e+04
3.620000e+00	3.650000e+00	3.240067e+05	8.659444e+04	8.659444e+04
3.650000e+00	3.680000e+00	3.008634e+05	8.344449e+04	8.344449e+04
3.680000e+00	3.710000e+00	3.240067e+05	8.659443e+04	8.659443e+04
3.710000e+00	3.740000e+00	4.628667e+05	1.035001e+05	1.035001e+05
3.740000e+00	3.770000e+00	2.777200e+05	8.017087e+04	8.017087e+04
3.770000e+00	3.800000e+00	3.934367e+05	9.542242e+04	9.542242e+04
3.800000e+00	3.830000e+00	3.240067e+05	8.659444e+04	8.659444e+04
3.830000e+00	3.860000e+00	3.008634e+05	8.344449e+04	8.344449e+04
3.860000e+00	3.890000e+00	3.008634e+05	8.344448e+04	8.344448e+04
3.890000e+00	3.920000e+00	3.240067e+05	8.659443e+04	8.659443e+04
3.920000e+00	3.950000e+00	2.545767e+05	7.675776e+04	7.675776e+04
3.950000e+00	3.980000e+00	3.471500e+05	8.963375e+04	8.963375e+04
3.980000e+00	4.010000e+00	3.240067e+05	8.659443e+04	8.659443e+04
4.010000e+00	4.040000e+00	3.702933e+05	9.257335e+04	9.257335e+04
4.040000e+00	4.070000e+00	1.851467e+05	6.545924e+04	6.545924e+04
4.070000e+00	4.100000e+00	3.008634e+05	8.344449e+04	8.344449e+04
4.100000e+00	4.130000e+00	3.934367e+05	9.542242e+04	9.542242e+04
4.130000e+00	4.160000e+00	2.314333e+05	7.318565e+04	7.318565e+04
4.160000e+00	4.190000e+00	2.545767e+05	7.675776e+04	7.675776e+04
4.190000e+00	4.220000e+00	3.471500e+05	8.963376e+04	8.963376e+04
4.220000e+00	4.250000e+00	3.702933e+05	9.257334e+04	9.257334e+04
4.250000e+00	4.280000e+00	1.620033e+05	6.123151e+04	6.123151e+04
4.280000e+00	4.310000e+00	3.934367e+05	9.542242e+04	9.542242e+04
4.310000e+00	4.340000e+00	3.008634e+05	8.344448e+04	8.344448e+04
4.340000e+00	4.370000e+00	2.314334e+05	7.318565e+04	7.318565e+04
4.370000e+00	4.400000e+00	1.388600e+05	5.668936e+04	5.668936e+04
4.400000e+00	4.430000e+00	3.008634e+05	8.344448e+04	8.344448e+04
4.430000e+00	4.460000e+00	2.314334e+05	7.318565e+04	7.318565e+04
4.460000e+00	4.490000e+00	1.851467e+05	6.545924e+04	6.545924e+04
4.490000e+00	4.520000e+00	2.314333e+04	2.314333e+04	2.314333e+04
4.520000e+00	4.550000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.550000e+00	4.580000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.580000e+00	4.610000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.610000e+00	4.640000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.640000e+00	4.670000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.670000e+00	4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e+00	4.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.730000e+00	4.760000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.760000e+00	4.790000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.790000e+00	4.820000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.820000e+00	4.850000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.850000e+00	4.880000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.880000e+00	4.910000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.910000e+00	4.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.940000e+00	4.970000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.970000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

