# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/Cornell/LHC2.yoda/LHCB_2019_I1762092/h_eta_ratio
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/Cornell/LHC2.yoda/LHCB_2019_I1762092/h_eta_ratio
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/Cornell/LHC2.yoda/LHCB_2019_I1762092/h_eta_ratio
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/Cornell/LHC2.yoda/LHCB_2019_I1762092/h_eta_ratio
Title=Cornell potential
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.030000e+00	nan	nan	nan
2.030000e+00	2.060000e+00	nan	nan	nan
2.060000e+00	2.090000e+00	nan	nan	nan
2.090000e+00	2.120000e+00	nan	nan	nan
2.120000e+00	2.150000e+00	nan	nan	nan
2.150000e+00	2.180000e+00	nan	nan	nan
2.180000e+00	2.210000e+00	nan	nan	nan
2.210000e+00	2.240000e+00	nan	nan	nan
2.240000e+00	2.270000e+00	nan	nan	nan
2.270000e+00	2.300000e+00	nan	nan	nan
2.300000e+00	2.330000e+00	nan	nan	nan
2.330000e+00	2.360000e+00	nan	nan	nan
2.360000e+00	2.390000e+00	nan	nan	nan
2.390000e+00	2.420000e+00	nan	nan	nan
2.420000e+00	2.450000e+00	nan	nan	nan
2.450000e+00	2.480000e+00	nan	nan	nan
2.480000e+00	2.510000e+00	nan	nan	nan
2.510000e+00	2.540000e+00	4.490143e-02	9.798239e-03	9.798239e-03
2.540000e+00	2.570000e+00	4.563200e-02	1.170598e-02	1.170598e-02
2.570000e+00	2.600000e+00	5.317182e-02	1.058267e-02	1.058267e-02
2.600000e+00	2.630000e+00	6.255545e-02	1.208965e-02	1.208965e-02
2.630000e+00	2.660000e+00	7.364812e-02	1.370460e-02	1.370460e-02
2.660000e+00	2.690000e+00	6.358190e-02	1.344775e-02	1.344775e-02
2.690000e+00	2.720000e+00	4.291769e-02	1.569974e-02	1.569974e-02
2.720000e+00	2.750000e+00	5.496938e-02	1.299653e-02	1.299653e-02
2.750000e+00	2.780000e+00	5.219906e-02	1.114394e-02	1.114394e-02
2.780000e+00	2.810000e+00	5.021854e-02	1.202831e-02	1.202831e-02
2.810000e+00	2.840000e+00	4.264533e-02	9.589131e-03	9.589131e-03
2.840000e+00	2.870000e+00	6.800055e-02	1.394998e-02	1.394998e-02
2.870000e+00	2.900000e+00	7.782843e-02	1.507260e-02	1.507260e-02
2.900000e+00	2.930000e+00	5.092103e-02	1.011809e-02	1.011809e-02
2.930000e+00	2.960000e+00	9.112588e-02	2.442088e-02	2.442088e-02
2.960000e+00	2.990000e+00	5.858530e-02	1.410998e-02	1.410998e-02
2.990000e+00	3.020000e+00	4.490894e-02	1.052834e-02	1.052834e-02
3.020000e+00	3.050000e+00	5.973880e-02	1.419981e-02	1.419981e-02
3.050000e+00	3.080000e+00	4.409596e-02	1.005024e-02	1.005024e-02
3.080000e+00	3.110000e+00	5.094741e-02	1.273799e-02	1.273799e-02
3.110000e+00	3.140000e+00	6.474011e-02	1.413291e-02	1.413291e-02
3.140000e+00	3.170000e+00	5.204581e-02	1.312158e-02	1.312158e-02
3.170000e+00	3.200000e+00	3.613492e-02	1.155717e-02	1.155717e-02
3.200000e+00	3.230000e+00	3.802331e-02	1.044698e-02	1.044698e-02
3.230000e+00	3.260000e+00	3.625541e-02	1.346333e-02	1.346333e-02
3.260000e+00	3.290000e+00	3.011977e-02	9.638765e-03	9.638765e-03
3.290000e+00	3.320000e+00	3.646970e-02	1.455197e-02	1.455197e-02
3.320000e+00	3.350000e+00	2.758874e-02	8.225087e-03	8.225087e-03
3.350000e+00	3.380000e+00	5.699634e-02	1.452820e-02	1.452820e-02
3.380000e+00	3.410000e+00	4.672294e-02	1.240857e-02	1.240857e-02
3.410000e+00	3.440000e+00	5.132540e-02	1.410626e-02	1.410626e-02
3.440000e+00	3.470000e+00	5.124675e-02	1.371057e-02	1.371057e-02
3.470000e+00	3.500000e+00	5.525968e-02	1.353246e-02	1.353246e-02
3.500000e+00	3.530000e+00	7.324770e-02	3.159374e-02	3.159374e-02
3.530000e+00	3.560000e+00	1.132071e-01	7.091310e-02	7.091310e-02
3.560000e+00	3.590000e+00	4.082684e-02	1.341959e-02	1.341959e-02
3.590000e+00	3.620000e+00	nan	nan	nan
3.620000e+00	3.650000e+00	3.748557e-02	1.155649e-02	1.155649e-02
3.650000e+00	3.680000e+00	3.915945e-02	1.294731e-02	1.294731e-02
3.680000e+00	3.710000e+00	4.374603e-02	1.324613e-02	1.324613e-02
3.710000e+00	3.740000e+00	5.374553e-02	1.381576e-02	1.381576e-02
3.740000e+00	3.770000e+00	5.288889e-02	1.953609e-02	1.953609e-02
3.770000e+00	3.800000e+00	5.547836e-02	1.689663e-02	1.689663e-02
3.800000e+00	3.830000e+00	3.597042e-02	1.105649e-02	1.105649e-02
3.830000e+00	3.860000e+00	5.260317e-02	1.880144e-02	1.880144e-02
3.860000e+00	3.890000e+00	7.354762e-02	3.450037e-02	3.450037e-02
3.890000e+00	3.920000e+00	4.488095e-02	1.432231e-02	1.432231e-02
3.920000e+00	3.950000e+00	nan	nan	nan
3.950000e+00	3.980000e+00	6.488889e-02	2.119753e-02	2.119753e-02
3.980000e+00	4.010000e+00	4.838961e-02	1.723161e-02	1.723161e-02
4.010000e+00	4.040000e+00	8.149206e-02	2.723314e-02	2.723314e-02
