# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/Logarithmic/LHC.yoda/LHCB_2019_I1762092/h_eta_Bc
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/Logarithmic/LHC.yoda/LHCB_2019_I1762092/h_eta_Bc
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/Logarithmic/LHC.yoda/LHCB_2019_I1762092/h_eta_Bc
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/Logarithmic/LHC.yoda/LHCB_2019_I1762092/h_eta_Bc
ScaledBy=6.94020746792876253e+02
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.030000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.030000e+00	2.060000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.060000e+00	2.090000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.090000e+00	2.120000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.120000e+00	2.150000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.150000e+00	2.180000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.180000e+00	2.210000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.210000e+00	2.240000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.240000e+00	2.270000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.270000e+00	2.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+00	2.330000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.330000e+00	2.360000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.360000e+00	2.390000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.390000e+00	2.420000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.420000e+00	2.450000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.450000e+00	2.480000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.480000e+00	2.510000e+00	2.544743e+05	7.672687e+04	7.672687e+04
2.510000e+00	2.540000e+00	8.328250e+05	1.388041e+05	1.388041e+05
2.540000e+00	2.570000e+00	7.171547e+05	1.288048e+05	1.288048e+05
2.570000e+00	2.600000e+00	5.552167e+05	1.133331e+05	1.133331e+05
2.600000e+00	2.630000e+00	7.865570e+05	1.348934e+05	1.348934e+05
2.630000e+00	2.660000e+00	6.014847e+05	1.179608e+05	1.179608e+05
2.660000e+00	2.690000e+00	7.865570e+05	1.348934e+05	1.348934e+05
2.690000e+00	2.720000e+00	6.477527e+05	1.224137e+05	1.224137e+05
2.720000e+00	2.750000e+00	5.783507e+05	1.156701e+05	1.156701e+05
2.750000e+00	2.780000e+00	9.253610e+05	1.463124e+05	1.463124e+05
2.780000e+00	2.810000e+00	5.552167e+05	1.133331e+05	1.133331e+05
2.810000e+00	2.840000e+00	7.402887e+05	1.308658e+05	1.308658e+05
2.840000e+00	2.870000e+00	3.932783e+05	9.538402e+04	9.538402e+04
2.870000e+00	2.900000e+00	6.708867e+05	1.245805e+05	1.245805e+05
2.900000e+00	2.930000e+00	4.626803e+05	1.034585e+05	1.034585e+05
2.930000e+00	2.960000e+00	6.246187e+05	1.202079e+05	1.202079e+05
2.960000e+00	2.990000e+00	6.940207e+05	1.267103e+05	1.267103e+05
2.990000e+00	3.020000e+00	5.089487e+05	1.085082e+05	1.085082e+05
3.020000e+00	3.050000e+00	5.552167e+05	1.133331e+05	1.133331e+05
3.050000e+00	3.080000e+00	4.164123e+05	9.814935e+04	9.814935e+04
3.080000e+00	3.110000e+00	4.395463e+05	1.008389e+05	1.008389e+05
3.110000e+00	3.140000e+00	4.164123e+05	9.814935e+04	9.814935e+04
3.140000e+00	3.170000e+00	5.552167e+05	1.133331e+05	1.133331e+05
3.170000e+00	3.200000e+00	3.701443e+05	9.253610e+04	9.253610e+04
3.200000e+00	3.230000e+00	4.858147e+05	1.060134e+05	1.060134e+05
3.230000e+00	3.260000e+00	4.164123e+05	9.814936e+04	9.814936e+04
3.260000e+00	3.290000e+00	4.164123e+05	9.814935e+04	9.814935e+04
3.290000e+00	3.320000e+00	6.246187e+05	1.202079e+05	1.202079e+05
3.320000e+00	3.350000e+00	5.320827e+05	1.109469e+05	1.109469e+05
3.350000e+00	3.380000e+00	3.932783e+05	9.538402e+04	9.538402e+04
3.380000e+00	3.410000e+00	3.932783e+05	9.538402e+04	9.538402e+04
3.410000e+00	3.440000e+00	4.858147e+05	1.060134e+05	1.060134e+05
3.440000e+00	3.470000e+00	6.477527e+05	1.224137e+05	1.224137e+05
3.470000e+00	3.500000e+00	5.320827e+05	1.109469e+05	1.109469e+05
3.500000e+00	3.530000e+00	3.701443e+05	9.253610e+04	9.253610e+04
3.530000e+00	3.560000e+00	4.858147e+05	1.060134e+05	1.060134e+05
3.560000e+00	3.590000e+00	3.470103e+05	8.959769e+04	8.959769e+04
3.590000e+00	3.620000e+00	2.082062e+05	6.940207e+04	6.940207e+04
3.620000e+00	3.650000e+00	4.164123e+05	9.814935e+04	9.814935e+04
3.650000e+00	3.680000e+00	3.701443e+05	9.253610e+04	9.253610e+04
3.680000e+00	3.710000e+00	4.164123e+05	9.814935e+04	9.814935e+04
3.710000e+00	3.740000e+00	3.701443e+05	9.253610e+04	9.253610e+04
3.740000e+00	3.770000e+00	5.089487e+05	1.085082e+05	1.085082e+05
3.770000e+00	3.800000e+00	3.007423e+05	8.341091e+04	8.341091e+04
3.800000e+00	3.830000e+00	4.164123e+05	9.814935e+04	9.814935e+04
3.830000e+00	3.860000e+00	3.007423e+05	8.341091e+04	8.341091e+04
3.860000e+00	3.890000e+00	3.238764e+05	8.655959e+04	8.655959e+04
3.890000e+00	3.920000e+00	3.470103e+05	8.959769e+04	8.959769e+04
3.920000e+00	3.950000e+00	2.776083e+05	8.013862e+04	8.013862e+04
3.950000e+00	3.980000e+00	2.544743e+05	7.672688e+04	7.672688e+04
3.980000e+00	4.010000e+00	2.544743e+05	7.672688e+04	7.672688e+04
4.010000e+00	4.040000e+00	1.619382e+05	6.120687e+04	6.120687e+04
4.040000e+00	4.070000e+00	2.776083e+05	8.013861e+04	8.013861e+04
4.070000e+00	4.100000e+00	1.156701e+05	5.172925e+04	5.172925e+04
4.100000e+00	4.130000e+00	2.544743e+05	7.672688e+04	7.672688e+04
4.130000e+00	4.160000e+00	3.238763e+05	8.655959e+04	8.655959e+04
4.160000e+00	4.190000e+00	3.238763e+05	8.655959e+04	8.655959e+04
4.190000e+00	4.220000e+00	2.313403e+05	7.315620e+04	7.315620e+04
4.220000e+00	4.250000e+00	1.850722e+05	6.543290e+04	6.543290e+04
4.250000e+00	4.280000e+00	3.470103e+05	8.959769e+04	8.959769e+04
4.280000e+00	4.310000e+00	2.776083e+05	8.013862e+04	8.013862e+04
4.310000e+00	4.340000e+00	3.007423e+05	8.341091e+04	8.341091e+04
4.340000e+00	4.370000e+00	1.850722e+05	6.543290e+04	6.543290e+04
4.370000e+00	4.400000e+00	9.253610e+04	4.626805e+04	4.626805e+04
4.400000e+00	4.430000e+00	1.619382e+05	6.120687e+04	6.120687e+04
4.430000e+00	4.460000e+00	1.619382e+05	6.120687e+04	6.120687e+04
4.460000e+00	4.490000e+00	2.082062e+05	6.940207e+04	6.940207e+04
4.490000e+00	4.520000e+00	1.156701e+05	5.172925e+04	5.172925e+04
4.520000e+00	4.550000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.550000e+00	4.580000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.580000e+00	4.610000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.610000e+00	4.640000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.640000e+00	4.670000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.670000e+00	4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e+00	4.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.730000e+00	4.760000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.760000e+00	4.790000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.790000e+00	4.820000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.820000e+00	4.850000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.850000e+00	4.880000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.880000e+00	4.910000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.910000e+00	4.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.940000e+00	4.970000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.970000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

