# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/Logarithmic/LHC.yoda/LHCB_2019_I1762092/h_eta_ratio
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/Logarithmic/LHC.yoda/LHCB_2019_I1762092/h_eta_ratio
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/Logarithmic/LHC.yoda/LHCB_2019_I1762092/h_eta_ratio
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/Logarithmic/LHC.yoda/LHCB_2019_I1762092/h_eta_ratio
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.030000e+00	nan	nan	nan
2.030000e+00	2.060000e+00	nan	nan	nan
2.060000e+00	2.090000e+00	nan	nan	nan
2.090000e+00	2.120000e+00	nan	nan	nan
2.120000e+00	2.150000e+00	nan	nan	nan
2.150000e+00	2.180000e+00	nan	nan	nan
2.180000e+00	2.210000e+00	nan	nan	nan
2.210000e+00	2.240000e+00	nan	nan	nan
2.240000e+00	2.270000e+00	nan	nan	nan
2.270000e+00	2.300000e+00	nan	nan	nan
2.300000e+00	2.330000e+00	nan	nan	nan
2.330000e+00	2.360000e+00	nan	nan	nan
2.360000e+00	2.390000e+00	nan	nan	nan
2.390000e+00	2.420000e+00	nan	nan	nan
2.420000e+00	2.450000e+00	nan	nan	nan
2.450000e+00	2.480000e+00	nan	nan	nan
2.480000e+00	2.510000e+00	6.083333e-02	3.226456e-02	3.226456e-02
2.510000e+00	2.540000e+00	5.838515e-02	1.100880e-02	1.100880e-02
2.540000e+00	2.570000e+00	4.867494e-02	1.027795e-02	1.027795e-02
2.570000e+00	2.600000e+00	3.328547e-02	7.374696e-03	7.374696e-03
2.600000e+00	2.630000e+00	4.973870e-02	9.333479e-03	9.333479e-03
2.630000e+00	2.660000e+00	3.560664e-02	7.559693e-03	7.559693e-03
2.660000e+00	2.690000e+00	5.497619e-02	1.027312e-02	1.027312e-02
2.690000e+00	2.720000e+00	4.503789e-02	9.183419e-03	9.183419e-03
2.720000e+00	2.750000e+00	4.058092e-02	9.463390e-03	9.463390e-03
2.750000e+00	2.780000e+00	7.202076e-02	1.404713e-02	1.404713e-02
2.780000e+00	2.810000e+00	4.369863e-02	1.041179e-02	1.041179e-02
2.810000e+00	2.840000e+00	5.071893e-02	9.800773e-03	9.800773e-03
2.840000e+00	2.870000e+00	2.952412e-02	7.703059e-03	7.703059e-03
2.870000e+00	2.900000e+00	5.361580e-02	1.112390e-02	1.112390e-02
2.900000e+00	2.930000e+00	3.265254e-02	7.978762e-03	7.978762e-03
2.930000e+00	2.960000e+00	4.742308e-02	1.034828e-02	1.034828e-02
2.960000e+00	2.990000e+00	5.991192e-02	1.259112e-02	1.259112e-02
2.990000e+00	3.020000e+00	3.910913e-02	9.058179e-03	9.058179e-03
3.020000e+00	3.050000e+00	4.449812e-02	1.021744e-02	1.021744e-02
3.050000e+00	3.080000e+00	3.265479e-02	8.691875e-03	8.691875e-03
3.080000e+00	3.110000e+00	3.914929e-02	1.066377e-02	1.066377e-02
3.110000e+00	3.140000e+00	3.195123e-02	8.114543e-03	8.114543e-03
3.140000e+00	3.170000e+00	4.400287e-02	1.050464e-02	1.050464e-02
3.170000e+00	3.200000e+00	3.225419e-02	8.948868e-03	8.948868e-03
3.200000e+00	3.230000e+00	4.453459e-02	1.110259e-02	1.110259e-02
3.230000e+00	3.260000e+00	3.412206e-02	9.068593e-03	9.068593e-03
3.260000e+00	3.290000e+00	4.800166e-02	1.519292e-02	1.519292e-02
3.290000e+00	3.320000e+00	5.204495e-02	1.084760e-02	1.084760e-02
3.320000e+00	3.350000e+00	5.532965e-02	1.451268e-02	1.451268e-02
3.350000e+00	3.380000e+00	3.049018e-02	8.368986e-03	8.368986e-03
3.380000e+00	3.410000e+00	3.323435e-02	8.944765e-03	8.944765e-03
3.410000e+00	3.440000e+00	3.958297e-02	9.427245e-03	9.427245e-03
3.440000e+00	3.470000e+00	6.361327e-02	1.412966e-02	1.412966e-02
3.470000e+00	3.500000e+00	5.588478e-02	1.349947e-02	1.349947e-02
3.500000e+00	3.530000e+00	3.294726e-02	9.049063e-03	9.049063e-03
3.530000e+00	3.560000e+00	4.769741e-02	1.207911e-02	1.207911e-02
3.560000e+00	3.590000e+00	3.684199e-02	1.063460e-02	1.063460e-02
3.590000e+00	3.620000e+00	2.008752e-02	7.360175e-03	7.360175e-03
3.620000e+00	3.650000e+00	4.987251e-02	1.357408e-02	1.357408e-02
3.650000e+00	3.680000e+00	5.013045e-02	1.907677e-02	1.907677e-02
3.680000e+00	3.710000e+00	4.299279e-02	1.165547e-02	1.165547e-02
3.710000e+00	3.740000e+00	3.926862e-02	1.143913e-02	1.143913e-02
3.740000e+00	3.770000e+00	4.956799e-02	1.200136e-02	1.200136e-02
3.770000e+00	3.800000e+00	3.486183e-02	1.187734e-02	1.187734e-02
3.800000e+00	3.830000e+00	6.044516e-02	1.841218e-02	1.841218e-02
3.830000e+00	3.860000e+00	3.300419e-02	1.059284e-02	1.059284e-02
3.860000e+00	3.890000e+00	3.463523e-02	1.086332e-02	1.086332e-02
3.890000e+00	3.920000e+00	5.124603e-02	1.779327e-02	1.779327e-02
3.920000e+00	3.950000e+00	5.631746e-02	3.108054e-02	3.108054e-02
3.950000e+00	3.980000e+00	3.405555e-02	1.178372e-02	1.178372e-02
3.980000e+00	4.010000e+00	4.555556e-02	2.238863e-02	2.238863e-02
