# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC_output.yoda/LHCB_2019_I1762092/h_eta_ratio
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC_output.yoda/LHCB_2019_I1762092/h_eta_ratio
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC_output.yoda/LHCB_2019_I1762092/h_eta_ratio
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC_output.yoda/LHCB_2019_I1762092/h_eta_ratio
Title=LHC_output
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.030000e+00	nan	nan	nan
2.030000e+00	2.060000e+00	nan	nan	nan
2.060000e+00	2.090000e+00	nan	nan	nan
2.090000e+00	2.120000e+00	nan	nan	nan
2.120000e+00	2.150000e+00	nan	nan	nan
2.150000e+00	2.180000e+00	nan	nan	nan
2.180000e+00	2.210000e+00	nan	nan	nan
2.210000e+00	2.240000e+00	nan	nan	nan
2.240000e+00	2.270000e+00	nan	nan	nan
2.270000e+00	2.300000e+00	nan	nan	nan
2.300000e+00	2.330000e+00	nan	nan	nan
2.330000e+00	2.360000e+00	nan	nan	nan
2.360000e+00	2.390000e+00	nan	nan	nan
2.390000e+00	2.420000e+00	nan	nan	nan
2.420000e+00	2.450000e+00	nan	nan	nan
2.450000e+00	2.480000e+00	nan	nan	nan
2.480000e+00	2.510000e+00	nan	nan	nan
2.510000e+00	2.540000e+00	2.970828e-02	7.667582e-03	7.667582e-03
2.540000e+00	2.570000e+00	3.207096e-02	7.673218e-03	7.673218e-03
2.570000e+00	2.600000e+00	2.370557e-02	6.763258e-03	6.763258e-03
2.600000e+00	2.630000e+00	1.803651e-02	5.594344e-03	5.594344e-03
2.630000e+00	2.660000e+00	1.911400e-02	6.146795e-03	6.146795e-03
2.660000e+00	2.690000e+00	2.132644e-02	7.274630e-03	7.274630e-03
2.690000e+00	2.720000e+00	4.751226e-02	1.736664e-02	1.736664e-02
2.720000e+00	2.750000e+00	2.763831e-02	8.310151e-03	8.310151e-03
2.750000e+00	2.780000e+00	2.299351e-02	6.999955e-03	6.999955e-03
2.780000e+00	2.810000e+00	3.008053e-02	8.409174e-03	8.409174e-03
2.810000e+00	2.840000e+00	2.226868e-02	6.371856e-03	6.371856e-03
2.840000e+00	2.870000e+00	3.599589e-02	9.202270e-03	9.202270e-03
2.870000e+00	2.900000e+00	1.420822e-02	6.103863e-03	6.103863e-03
2.900000e+00	2.930000e+00	3.112648e-02	9.166563e-03	9.166563e-03
2.930000e+00	2.960000e+00	3.073515e-02	1.042472e-02	1.042472e-02
2.960000e+00	2.990000e+00	3.574259e-02	1.094276e-02	1.094276e-02
2.990000e+00	3.020000e+00	2.540620e-02	8.762300e-03	8.762300e-03
3.020000e+00	3.050000e+00	2.932296e-02	9.012288e-03	9.012288e-03
3.050000e+00	3.080000e+00	3.469048e-02	1.050351e-02	1.050351e-02
3.080000e+00	3.110000e+00	1.002331e-02	4.297680e-03	4.297680e-03
3.110000e+00	3.140000e+00	3.727071e-02	1.182982e-02	1.182982e-02
3.140000e+00	3.170000e+00	2.902231e-02	9.613916e-03	9.613916e-03
3.170000e+00	3.200000e+00	4.130844e-02	1.004728e-02	1.004728e-02
3.200000e+00	3.230000e+00	2.884343e-02	1.059595e-02	1.059595e-02
3.230000e+00	3.260000e+00	2.131047e-02	8.043739e-03	8.043739e-03
3.260000e+00	3.290000e+00	2.195138e-02	7.574336e-03	7.574336e-03
3.290000e+00	3.320000e+00	2.441891e-02	9.100228e-03	9.100228e-03
3.320000e+00	3.350000e+00	3.005578e-02	9.225648e-03	9.225648e-03
3.350000e+00	3.380000e+00	2.696320e-02	8.807881e-03	8.807881e-03
3.380000e+00	3.410000e+00	2.622601e-02	8.068036e-03	8.068036e-03
3.410000e+00	3.440000e+00	1.669863e-02	6.368889e-03	6.368889e-03
3.440000e+00	3.470000e+00	1.950866e-02	7.838082e-03	7.838082e-03
3.470000e+00	3.500000e+00	1.354040e-02	6.342719e-03	6.342719e-03
3.500000e+00	3.530000e+00	5.833334e-03	4.471489e-03	4.471489e-03
3.530000e+00	3.560000e+00	1.485714e-02	7.506775e-03	7.506775e-03
3.560000e+00	3.590000e+00	1.935664e-02	7.732397e-03	7.732397e-03
3.590000e+00	3.620000e+00	2.590476e-02	8.874912e-03	8.874912e-03
3.620000e+00	3.650000e+00	3.160317e-02	1.254591e-02	1.254591e-02
3.650000e+00	3.680000e+00	2.909596e-02	1.020523e-02	1.020523e-02
3.680000e+00	3.710000e+00	1.821429e-02	8.036108e-03	8.036108e-03
3.710000e+00	3.740000e+00	1.207936e-02	7.103972e-03	7.103972e-03
3.740000e+00	3.770000e+00	2.998291e-02	1.600133e-02	1.600133e-02
3.770000e+00	3.800000e+00	2.534199e-02	1.177358e-02	1.177358e-02
3.800000e+00	3.830000e+00	2.888889e-02	1.179938e-02	1.179938e-02
3.830000e+00	3.860000e+00	9.333334e-03	6.046732e-03	6.046732e-03
3.860000e+00	3.890000e+00	1.730159e-02	7.943763e-03	7.943763e-03
3.890000e+00	3.920000e+00	4.173810e-02	1.626463e-02	1.626463e-02
3.920000e+00	3.950000e+00	1.261183e-02	6.089468e-03	6.089468e-03
3.950000e+00	3.980000e+00	3.121429e-02	1.132227e-02	1.132227e-02
3.980000e+00	4.010000e+00	3.071428e-02	1.474853e-02	1.474853e-02
4.010000e+00	4.040000e+00	4.533333e-02	2.308816e-02	2.308816e-02
