# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC.yoda/LHCB_2019_I1762092/h_eta_B0
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC.yoda/LHCB_2019_I1762092/h_eta_B0
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC.yoda/LHCB_2019_I1762092/h_eta_B0
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC.yoda/LHCB_2019_I1762092/h_eta_B0
ScaledBy=3.47016231012822459e+02
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.030000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.030000e+00	2.060000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.060000e+00	2.090000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.090000e+00	2.120000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.120000e+00	2.150000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.150000e+00	2.180000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.180000e+00	2.210000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.210000e+00	2.240000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.240000e+00	2.270000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.270000e+00	2.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+00	2.330000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.330000e+00	2.360000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.360000e+00	2.390000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.390000e+00	2.420000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.420000e+00	2.450000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.450000e+00	2.480000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.480000e+00	2.510000e+00	4.939197e+06	2.390245e+05	2.390245e+05
2.510000e+00	2.540000e+00	1.531498e+07	4.208938e+05	4.208938e+05
2.540000e+00	2.570000e+00	1.480603e+07	4.138410e+05	4.138410e+05
2.570000e+00	2.600000e+00	1.485229e+07	4.144871e+05	4.144871e+05
2.600000e+00	2.630000e+00	1.425080e+07	4.060074e+05	4.060074e+05
2.630000e+00	2.660000e+00	1.521088e+07	4.194608e+05	4.194608e+05
2.660000e+00	2.690000e+00	1.493327e+07	4.156155e+05	4.156155e+05
2.690000e+00	2.720000e+00	1.423923e+07	4.058425e+05	4.058425e+05
2.720000e+00	2.750000e+00	1.415826e+07	4.046870e+05	4.046870e+05
2.750000e+00	2.780000e+00	1.388065e+07	4.006998e+05	4.006998e+05
2.780000e+00	2.810000e+00	1.408886e+07	4.036939e+05	4.036939e+05
2.810000e+00	2.840000e+00	1.305938e+07	3.886651e+05	3.886651e+05
2.840000e+00	2.870000e+00	1.332542e+07	3.926040e+05	3.926040e+05
2.870000e+00	2.900000e+00	1.310565e+07	3.893530e+05	3.893530e+05
2.900000e+00	2.930000e+00	1.271236e+07	3.834665e+05	3.834665e+05
2.930000e+00	2.960000e+00	1.303624e+07	3.883206e+05	3.883206e+05
2.960000e+00	2.990000e+00	1.202990e+07	3.730313e+05	3.730313e+05
2.990000e+00	3.020000e+00	1.204146e+07	3.732105e+05	3.732105e+05
3.020000e+00	3.050000e+00	1.265453e+07	3.825932e+05	3.825932e+05
3.050000e+00	3.080000e+00	1.237691e+07	3.783733e+05	3.783733e+05
3.080000e+00	3.110000e+00	1.192579e+07	3.714137e+05	3.714137e+05
3.110000e+00	3.140000e+00	1.187952e+07	3.706924e+05	3.706924e+05
3.140000e+00	3.170000e+00	1.212243e+07	3.744632e+05	3.744632e+05
3.170000e+00	3.200000e+00	1.148624e+07	3.645047e+05	3.645047e+05
3.200000e+00	3.230000e+00	1.034108e+07	3.458575e+05	3.458575e+05
3.230000e+00	3.260000e+00	1.124333e+07	3.606299e+05	3.606299e+05
3.260000e+00	3.290000e+00	1.148624e+07	3.645047e+05	3.645047e+05
3.290000e+00	3.320000e+00	1.149780e+07	3.646881e+05	3.646881e+05
3.320000e+00	3.350000e+00	1.109295e+07	3.582101e+05	3.582101e+05
3.350000e+00	3.380000e+00	1.036422e+07	3.462443e+05	3.462443e+05
3.380000e+00	3.410000e+00	1.071123e+07	3.519931e+05	3.519931e+05
3.410000e+00	3.440000e+00	9.970933e+06	3.396114e+05	3.396114e+05
3.440000e+00	3.470000e+00	9.681753e+06	3.346504e+05	3.346504e+05
3.470000e+00	3.500000e+00	1.013287e+07	3.423582e+05	3.423582e+05
3.500000e+00	3.530000e+00	9.577647e+06	3.328463e+05	3.328463e+05
3.530000e+00	3.560000e+00	9.369437e+06	3.292085e+05	3.292085e+05
3.560000e+00	3.590000e+00	9.126527e+06	3.249130e+05	3.249130e+05
3.590000e+00	3.620000e+00	9.172797e+06	3.257355e+05	3.257355e+05
3.620000e+00	3.650000e+00	8.987720e+06	3.224327e+05	3.224327e+05
3.650000e+00	3.680000e+00	8.513463e+06	3.138105e+05	3.138105e+05
3.680000e+00	3.710000e+00	8.848913e+06	3.199332e+05	3.199332e+05
3.710000e+00	3.740000e+00	8.085477e+06	3.058209e+05	3.058209e+05
3.740000e+00	3.770000e+00	8.513463e+06	3.138105e+05	3.138105e+05
3.770000e+00	3.800000e+00	8.282120e+06	3.095174e+05	3.095174e+05
3.800000e+00	3.830000e+00	8.501897e+06	3.135972e+05	3.135972e+05
3.830000e+00	3.860000e+00	8.247420e+06	3.088683e+05	3.088683e+05
3.860000e+00	3.890000e+00	7.634357e+06	2.971669e+05	2.971669e+05
3.890000e+00	3.920000e+00	7.553387e+06	2.955869e+05	2.955869e+05
3.920000e+00	3.950000e+00	8.097047e+06	3.060396e+05	3.060396e+05
3.950000e+00	3.980000e+00	6.951893e+06	2.835736e+05	2.835736e+05
3.980000e+00	4.010000e+00	7.368310e+06	2.919431e+05	2.919431e+05
4.010000e+00	4.040000e+00	7.611223e+06	2.967163e+05	2.967163e+05
4.040000e+00	4.070000e+00	6.408233e+06	2.722597e+05	2.722597e+05
4.070000e+00	4.100000e+00	7.217937e+06	2.889488e+05	2.889488e+05
4.100000e+00	4.130000e+00	6.755250e+06	2.795342e+05	2.795342e+05
4.130000e+00	4.160000e+00	6.223157e+06	2.682994e+05	2.682994e+05
4.160000e+00	4.190000e+00	6.003380e+06	2.635192e+05	2.635192e+05
4.190000e+00	4.220000e+00	6.165323e+06	2.670497e+05	2.670497e+05
4.220000e+00	4.250000e+00	6.373530e+06	2.715216e+05	2.715216e+05
4.250000e+00	4.280000e+00	5.980247e+06	2.630109e+05	2.630109e+05
4.280000e+00	4.310000e+00	5.945543e+06	2.622467e+05	2.622467e+05
4.310000e+00	4.340000e+00	6.338830e+06	2.707814e+05	2.707814e+05
4.340000e+00	4.370000e+00	5.748903e+06	2.578735e+05	2.578735e+05
4.370000e+00	4.400000e+00	5.818307e+06	2.594254e+05	2.594254e+05
4.400000e+00	4.430000e+00	5.367183e+06	2.491653e+05	2.491653e+05
4.430000e+00	4.460000e+00	5.274647e+06	2.470080e+05	2.470080e+05
4.460000e+00	4.490000e+00	5.390320e+06	2.497017e+05	2.497017e+05
4.490000e+00	4.520000e+00	1.607842e+06	1.363754e+05	1.363754e+05
4.520000e+00	4.550000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.550000e+00	4.580000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.580000e+00	4.610000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.610000e+00	4.640000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.640000e+00	4.670000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.670000e+00	4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e+00	4.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.730000e+00	4.760000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.760000e+00	4.790000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.790000e+00	4.820000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.820000e+00	4.850000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.850000e+00	4.880000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.880000e+00	4.910000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.910000e+00	4.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.940000e+00	4.970000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.970000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

