# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/average/LHC2.yoda/LHCB_2019_I1762092/h_eta_B0
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/average/LHC2.yoda/LHCB_2019_I1762092/h_eta_B0
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/average/LHC2.yoda/LHCB_2019_I1762092/h_eta_B0
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/average/LHC2.yoda/LHCB_2019_I1762092/h_eta_B0
ScaledBy=6.93228619459933611e+02
Title=LHC2
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.030000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.030000e+00	2.060000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.060000e+00	2.090000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.090000e+00	2.120000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.120000e+00	2.150000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.150000e+00	2.180000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.180000e+00	2.210000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.210000e+00	2.240000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.240000e+00	2.270000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.270000e+00	2.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+00	2.330000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.330000e+00	2.360000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.360000e+00	2.390000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.390000e+00	2.420000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.420000e+00	2.450000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.450000e+00	2.480000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.480000e+00	2.510000e+00	5.800013e+06	3.660935e+05	3.660935e+05
2.510000e+00	2.540000e+00	1.652195e+07	6.178858e+05	6.178858e+05
2.540000e+00	2.570000e+00	1.605980e+07	6.091828e+05	6.091828e+05
2.570000e+00	2.600000e+00	1.666059e+07	6.204729e+05	6.204729e+05
2.600000e+00	2.630000e+00	1.709964e+07	6.285953e+05	6.285953e+05
2.630000e+00	2.660000e+00	1.575940e+07	6.034586e+05	6.034586e+05
2.660000e+00	2.690000e+00	1.636020e+07	6.148538e+05	6.148538e+05
2.690000e+00	2.720000e+00	1.474266e+07	5.836676e+05	5.836676e+05
2.720000e+00	2.750000e+00	1.585183e+07	6.052256e+05	6.052256e+05
2.750000e+00	2.780000e+00	1.465023e+07	5.818350e+05	5.818350e+05
2.780000e+00	2.810000e+00	1.525103e+07	5.936455e+05	5.936455e+05
2.810000e+00	2.840000e+00	1.559764e+07	6.003536e+05	6.003536e+05
2.840000e+00	2.870000e+00	1.395700e+07	5.679024e+05	5.679024e+05
2.870000e+00	2.900000e+00	1.367971e+07	5.622327e+05	5.622327e+05
2.900000e+00	2.930000e+00	1.453469e+07	5.795362e+05	5.795362e+05
2.930000e+00	2.960000e+00	1.324067e+07	5.531368e+05	5.531368e+05
2.960000e+00	2.990000e+00	1.483509e+07	5.854944e+05	5.854944e+05
2.990000e+00	3.020000e+00	1.446537e+07	5.781525e+05	5.781525e+05
3.020000e+00	3.050000e+00	1.374903e+07	5.636554e+05	5.636554e+05
3.050000e+00	3.080000e+00	1.349485e+07	5.584209e+05	5.584209e+05
3.080000e+00	3.110000e+00	1.384146e+07	5.655469e+05	5.655469e+05
3.110000e+00	3.140000e+00	1.294027e+07	5.468261e+05	5.468261e+05
3.140000e+00	3.170000e+00	1.326377e+07	5.536192e+05	5.536192e+05
3.170000e+00	3.200000e+00	1.178489e+07	5.218435e+05	5.218435e+05
3.200000e+00	3.230000e+00	1.400322e+07	5.688419e+05	5.688419e+05
3.230000e+00	3.260000e+00	1.213150e+07	5.294621e+05	5.294621e+05
3.260000e+00	3.290000e+00	1.250122e+07	5.374696e+05	5.374696e+05
3.290000e+00	3.320000e+00	1.125341e+07	5.099407e+05	5.099407e+05
3.320000e+00	3.350000e+00	1.277851e+07	5.433977e+05	5.433977e+05
3.350000e+00	3.380000e+00	1.190042e+07	5.243954e+05	5.243954e+05
3.380000e+00	3.410000e+00	1.270919e+07	5.419218e+05	5.419218e+05
3.410000e+00	3.440000e+00	1.185421e+07	5.233761e+05	5.233761e+05
3.440000e+00	3.470000e+00	1.150760e+07	5.156676e+05	5.156676e+05
3.470000e+00	3.500000e+00	1.141516e+07	5.135926e+05	5.135926e+05
3.500000e+00	3.530000e+00	1.169246e+07	5.197931e+05	5.197931e+05
3.530000e+00	3.560000e+00	1.123030e+07	5.094169e+05	5.094169e+05
3.560000e+00	3.590000e+00	1.118409e+07	5.083676e+05	5.083676e+05
3.590000e+00	3.620000e+00	1.009803e+07	4.830543e+05	4.830543e+05
3.620000e+00	3.650000e+00	1.035221e+07	4.890961e+05	4.890961e+05
3.650000e+00	3.680000e+00	9.797630e+06	4.758150e+05	4.758150e+05
3.680000e+00	3.710000e+00	1.019046e+07	4.852601e+05	4.852601e+05
3.710000e+00	3.740000e+00	9.566557e+06	4.701705e+05	4.701705e+05
3.740000e+00	3.770000e+00	9.728307e+06	4.741288e+05	4.741288e+05
3.770000e+00	3.800000e+00	9.543447e+06	4.696023e+05	4.696023e+05
3.800000e+00	3.830000e+00	9.866953e+06	4.774953e+05	4.774953e+05
3.830000e+00	3.860000e+00	9.104403e+06	4.586732e+05	4.586732e+05
3.860000e+00	3.890000e+00	9.843847e+06	4.769359e+05	4.769359e+05
3.890000e+00	3.920000e+00	8.180097e+06	4.347672e+05	4.347672e+05
3.920000e+00	3.950000e+00	8.272527e+06	4.372167e+05	4.372167e+05
3.950000e+00	3.980000e+00	8.988863e+06	4.557535e+05	4.557535e+05
3.980000e+00	4.010000e+00	8.642250e+06	4.468800e+05	4.468800e+05
4.010000e+00	4.040000e+00	7.556193e+06	4.178584e+05	4.178584e+05
4.040000e+00	4.070000e+00	8.434280e+06	4.414705e+05	4.414705e+05
4.070000e+00	4.100000e+00	7.417547e+06	4.140071e+05	4.140071e+05
4.100000e+00	4.130000e+00	8.110773e+06	4.329211e+05	4.329211e+05
4.130000e+00	4.160000e+00	6.909180e+06	3.995681e+05	3.995681e+05
4.160000e+00	4.190000e+00	8.295637e+06	4.378270e+05	4.378270e+05
4.190000e+00	4.220000e+00	7.463760e+06	4.152948e+05	4.152948e+05
4.220000e+00	4.250000e+00	7.070933e+06	4.042183e+05	4.042183e+05
4.250000e+00	4.280000e+00	6.724317e+06	3.941865e+05	3.941865e+05
4.280000e+00	4.310000e+00	7.047823e+06	4.035572e+05	4.035572e+05
4.310000e+00	4.340000e+00	7.486870e+06	4.159372e+05	4.159372e+05
4.340000e+00	4.370000e+00	6.493240e+06	3.873543e+05	3.873543e+05
4.370000e+00	4.400000e+00	6.747427e+06	3.948631e+05	3.948631e+05
4.400000e+00	4.430000e+00	6.354597e+06	3.831965e+05	3.831965e+05
4.430000e+00	4.460000e+00	6.678103e+06	3.928295e+05	3.928295e+05
4.460000e+00	4.490000e+00	5.707583e+06	3.631648e+05	3.631648e+05
4.490000e+00	4.520000e+00	2.218332e+06	2.264075e+05	2.264075e+05
4.520000e+00	4.550000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.550000e+00	4.580000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.580000e+00	4.610000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.610000e+00	4.640000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.640000e+00	4.670000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.670000e+00	4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e+00	4.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.730000e+00	4.760000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.760000e+00	4.790000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.790000e+00	4.820000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.820000e+00	4.850000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.850000e+00	4.880000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.880000e+00	4.910000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.910000e+00	4.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.940000e+00	4.970000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.970000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

