# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/average/LHC2.yoda/LHCB_2019_I1762092/h_eta_ratio
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/average/LHC2.yoda/LHCB_2019_I1762092/h_eta_ratio
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/average/LHC2.yoda/LHCB_2019_I1762092/h_eta_ratio
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/average/LHC2.yoda/LHCB_2019_I1762092/h_eta_ratio
Title=LHC2
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.030000e+00	nan	nan	nan
2.030000e+00	2.060000e+00	nan	nan	nan
2.060000e+00	2.090000e+00	nan	nan	nan
2.090000e+00	2.120000e+00	nan	nan	nan
2.120000e+00	2.150000e+00	nan	nan	nan
2.150000e+00	2.180000e+00	nan	nan	nan
2.180000e+00	2.210000e+00	nan	nan	nan
2.210000e+00	2.240000e+00	nan	nan	nan
2.240000e+00	2.270000e+00	nan	nan	nan
2.270000e+00	2.300000e+00	nan	nan	nan
2.300000e+00	2.330000e+00	nan	nan	nan
2.330000e+00	2.360000e+00	nan	nan	nan
2.360000e+00	2.390000e+00	nan	nan	nan
2.390000e+00	2.420000e+00	nan	nan	nan
2.420000e+00	2.450000e+00	nan	nan	nan
2.450000e+00	2.480000e+00	nan	nan	nan
2.480000e+00	2.510000e+00	nan	nan	nan
2.510000e+00	2.540000e+00	3.196774e-02	7.472025e-03	7.472025e-03
2.540000e+00	2.570000e+00	1.660178e-02	5.064700e-03	5.064700e-03
2.570000e+00	2.600000e+00	2.969129e-02	7.171231e-03	7.171231e-03
2.600000e+00	2.630000e+00	2.275913e-02	6.307428e-03	6.307428e-03
2.630000e+00	2.660000e+00	3.685002e-02	8.463014e-03	8.463014e-03
2.660000e+00	2.690000e+00	2.888149e-02	6.829267e-03	6.829267e-03
2.690000e+00	2.720000e+00	2.443718e-02	7.203307e-03	7.203307e-03
2.720000e+00	2.750000e+00	3.414498e-02	7.806188e-03	7.806188e-03
2.750000e+00	2.780000e+00	3.590647e-02	8.614948e-03	8.614948e-03
2.780000e+00	2.810000e+00	2.920996e-02	8.578190e-03	8.578190e-03
2.810000e+00	2.840000e+00	3.917946e-02	8.896758e-03	8.896758e-03
2.840000e+00	2.870000e+00	2.479712e-02	7.720340e-03	7.720340e-03
2.870000e+00	2.900000e+00	3.739427e-02	1.002063e-02	1.002063e-02
2.900000e+00	2.930000e+00	2.697463e-02	7.218042e-03	7.218042e-03
2.930000e+00	2.960000e+00	4.216446e-02	1.088272e-02	1.088272e-02
2.960000e+00	2.990000e+00	2.133314e-02	6.506827e-03	6.506827e-03
2.990000e+00	3.020000e+00	1.530506e-02	5.206717e-03	5.206717e-03
3.020000e+00	3.050000e+00	2.153796e-02	7.116922e-03	7.116922e-03
3.050000e+00	3.080000e+00	2.216495e-02	6.982701e-03	6.982701e-03
3.080000e+00	3.110000e+00	3.240905e-02	8.309341e-03	8.309341e-03
3.110000e+00	3.140000e+00	4.625914e-02	1.208543e-02	1.208543e-02
3.140000e+00	3.170000e+00	2.343423e-02	7.257292e-03	7.257292e-03
3.170000e+00	3.200000e+00	4.823060e-02	1.176731e-02	1.176731e-02
3.200000e+00	3.230000e+00	4.095090e-02	1.196812e-02	1.196812e-02
3.230000e+00	3.260000e+00	3.191342e-02	1.020553e-02	1.020553e-02
3.260000e+00	3.290000e+00	2.250000e-02	7.743602e-03	7.743602e-03
3.290000e+00	3.320000e+00	2.197835e-02	6.801541e-03	6.801541e-03
3.320000e+00	3.350000e+00	3.777006e-02	1.001453e-02	1.001453e-02
3.350000e+00	3.380000e+00	3.989105e-02	1.170628e-02	1.170628e-02
3.380000e+00	3.410000e+00	1.264957e-02	4.820932e-03	4.820932e-03
3.410000e+00	3.440000e+00	2.378789e-02	7.531475e-03	7.531475e-03
3.440000e+00	3.470000e+00	2.735714e-02	9.915553e-03	9.915553e-03
3.470000e+00	3.500000e+00	3.287720e-02	9.077679e-03	9.077679e-03
3.500000e+00	3.530000e+00	7.954545e-03	4.224947e-03	4.224947e-03
3.530000e+00	3.560000e+00	2.301010e-02	9.231764e-03	9.231764e-03
3.560000e+00	3.590000e+00	3.339705e-02	1.059841e-02	1.059841e-02
3.590000e+00	3.620000e+00	1.869048e-02	9.428232e-03	9.428232e-03
3.620000e+00	3.650000e+00	2.105555e-02	7.866751e-03	7.866751e-03
3.650000e+00	3.680000e+00	2.832417e-02	9.230870e-03	9.230870e-03
3.680000e+00	3.710000e+00	3.546032e-02	9.995164e-03	9.995164e-03
3.710000e+00	3.740000e+00	3.523377e-02	1.083959e-02	1.083959e-02
3.740000e+00	3.770000e+00	3.931746e-02	1.532469e-02	1.532469e-02
3.770000e+00	3.800000e+00	1.970707e-02	7.288674e-03	7.288674e-03
3.800000e+00	3.830000e+00	1.591414e-02	6.849463e-03	6.849463e-03
3.830000e+00	3.860000e+00	3.646428e-02	1.553456e-02	1.553456e-02
3.860000e+00	3.890000e+00	2.182684e-02	7.567898e-03	7.567898e-03
3.890000e+00	3.920000e+00	2.796031e-02	1.013735e-02	1.013735e-02
3.920000e+00	3.950000e+00	2.100866e-02	8.358884e-03	8.358884e-03
3.950000e+00	3.980000e+00	6.000000e-03	4.857983e-03	4.857983e-03
3.980000e+00	4.010000e+00	1.638095e-02	8.131248e-03	8.131248e-03
4.010000e+00	4.040000e+00	3.003247e-02	1.318108e-02	1.318108e-02
