# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC2.yoda/LHCB_2019_I1762092/h_eta_Bc
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC2.yoda/LHCB_2019_I1762092/h_eta_Bc
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC2.yoda/LHCB_2019_I1762092/h_eta_Bc
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC2.yoda/LHCB_2019_I1762092/h_eta_Bc
ScaledBy=6.93215696301439948e+02
Title=LHC2
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.030000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.030000e+00	2.060000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.060000e+00	2.090000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.090000e+00	2.120000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.120000e+00	2.150000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.150000e+00	2.180000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.180000e+00	2.210000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.210000e+00	2.240000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.240000e+00	2.270000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.270000e+00	2.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+00	2.330000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.330000e+00	2.360000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.360000e+00	2.390000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.390000e+00	2.420000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.420000e+00	2.450000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.450000e+00	2.480000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.480000e+00	2.510000e+00	2.310719e+05	7.307135e+04	7.307135e+04
2.510000e+00	2.540000e+00	8.087517e+05	1.367040e+05	1.367040e+05
2.540000e+00	2.570000e+00	8.780733e+05	1.424423e+05	1.424423e+05
2.570000e+00	2.600000e+00	6.932157e+05	1.265633e+05	1.265633e+05
2.600000e+00	2.630000e+00	6.701087e+05	1.244360e+05	1.244360e+05
2.630000e+00	2.660000e+00	8.087517e+05	1.367040e+05	1.367040e+05
2.660000e+00	2.690000e+00	6.007870e+05	1.178240e+05	1.178240e+05
2.690000e+00	2.720000e+00	5.545727e+05	1.132016e+05	1.132016e+05
2.720000e+00	2.750000e+00	6.238940e+05	1.200685e+05	1.200685e+05
2.750000e+00	2.780000e+00	7.394300e+05	1.307140e+05	1.307140e+05
2.780000e+00	2.810000e+00	6.932157e+05	1.265633e+05	1.265633e+05
2.810000e+00	2.840000e+00	6.701083e+05	1.244360e+05	1.244360e+05
2.840000e+00	2.870000e+00	6.701087e+05	1.244360e+05	1.244360e+05
2.870000e+00	2.900000e+00	6.470013e+05	1.222717e+05	1.222717e+05
2.900000e+00	2.930000e+00	5.545727e+05	1.132016e+05	1.132016e+05
2.930000e+00	2.960000e+00	7.163230e+05	1.286554e+05	1.286554e+05
2.960000e+00	2.990000e+00	6.238940e+05	1.200685e+05	1.200685e+05
2.990000e+00	3.020000e+00	4.852510e+05	1.058905e+05	1.058905e+05
3.020000e+00	3.050000e+00	3.928223e+05	9.527338e+04	9.527338e+04
3.050000e+00	3.080000e+00	4.852510e+05	1.058905e+05	1.058905e+05
3.080000e+00	3.110000e+00	3.928223e+05	9.527338e+04	9.527338e+04
3.110000e+00	3.140000e+00	7.625373e+05	1.327407e+05	1.327407e+05
3.140000e+00	3.170000e+00	5.545727e+05	1.132016e+05	1.132016e+05
3.170000e+00	3.200000e+00	4.621437e+05	1.033385e+05	1.033385e+05
3.200000e+00	3.230000e+00	5.083583e+05	1.083823e+05	1.083823e+05
3.230000e+00	3.260000e+00	5.314653e+05	1.108182e+05	1.108182e+05
3.260000e+00	3.290000e+00	5.083583e+05	1.083823e+05	1.083823e+05
3.290000e+00	3.320000e+00	3.697150e+05	9.242876e+04	9.242876e+04
3.320000e+00	3.350000e+00	4.621437e+05	1.033385e+05	1.033385e+05
3.350000e+00	3.380000e+00	2.541791e+05	7.663788e+04	7.663788e+04
3.380000e+00	3.410000e+00	3.928223e+05	9.527338e+04	9.527338e+04
3.410000e+00	3.440000e+00	3.466080e+05	8.949376e+04	8.949376e+04
3.440000e+00	3.470000e+00	5.314653e+05	1.108182e+05	1.108182e+05
3.470000e+00	3.500000e+00	3.235006e+05	8.645919e+04	8.645919e+04
3.500000e+00	3.530000e+00	5.545727e+05	1.132016e+05	1.132016e+05
3.530000e+00	3.560000e+00	2.772863e+05	8.004565e+04	8.004565e+04
3.560000e+00	3.590000e+00	5.083583e+05	1.083823e+05	1.083823e+05
3.590000e+00	3.620000e+00	3.928223e+05	9.527339e+04	9.527339e+04
3.620000e+00	3.650000e+00	2.541791e+05	7.663788e+04	7.663788e+04
3.650000e+00	3.680000e+00	3.697150e+05	9.242876e+04	9.242876e+04
3.680000e+00	3.710000e+00	4.390367e+05	1.007219e+05	1.007219e+05
3.710000e+00	3.740000e+00	3.466080e+05	8.949376e+04	8.949376e+04
3.740000e+00	3.770000e+00	4.852510e+05	1.058905e+05	1.058905e+05
3.770000e+00	3.800000e+00	3.466080e+05	8.949376e+04	8.949376e+04
3.800000e+00	3.830000e+00	5.776797e+05	1.155359e+05	1.155359e+05
3.830000e+00	3.860000e+00	3.003935e+05	8.331416e+04	8.331416e+04
3.860000e+00	3.890000e+00	3.697150e+05	9.242875e+04	9.242875e+04
3.890000e+00	3.920000e+00	4.621437e+05	1.033385e+05	1.033385e+05
3.920000e+00	3.950000e+00	2.079647e+05	6.932157e+04	6.932157e+04
3.950000e+00	3.980000e+00	5.314653e+05	1.108182e+05	1.108182e+05
3.980000e+00	4.010000e+00	3.697150e+05	9.242876e+04	9.242876e+04
4.010000e+00	4.040000e+00	3.466077e+05	8.949376e+04	8.949376e+04
4.040000e+00	4.070000e+00	2.772863e+05	8.004565e+04	8.004565e+04
4.070000e+00	4.100000e+00	3.235007e+05	8.645919e+04	8.645919e+04
4.100000e+00	4.130000e+00	3.003935e+05	8.331416e+04	8.331416e+04
4.130000e+00	4.160000e+00	2.541791e+05	7.663788e+04	7.663788e+04
4.160000e+00	4.190000e+00	4.390367e+05	1.007219e+05	1.007219e+05
4.190000e+00	4.220000e+00	3.235007e+05	8.645919e+04	8.645919e+04
4.220000e+00	4.250000e+00	2.772863e+05	8.004566e+04	8.004566e+04
4.250000e+00	4.280000e+00	2.079647e+05	6.932158e+04	6.932158e+04
4.280000e+00	4.310000e+00	2.310719e+05	7.307135e+04	7.307135e+04
4.310000e+00	4.340000e+00	1.848575e+05	6.535700e+04	6.535700e+04
4.340000e+00	4.370000e+00	2.079647e+05	6.932157e+04	6.932157e+04
4.370000e+00	4.400000e+00	9.242877e+04	4.621438e+04	4.621438e+04
4.400000e+00	4.430000e+00	2.541791e+05	7.663788e+04	7.663788e+04
4.430000e+00	4.460000e+00	3.003935e+05	8.331416e+04	8.331416e+04
4.460000e+00	4.490000e+00	1.848575e+05	6.535701e+04	6.535701e+04
4.490000e+00	4.520000e+00	6.932157e+04	4.002283e+04	4.002283e+04
4.520000e+00	4.550000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.550000e+00	4.580000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.580000e+00	4.610000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.610000e+00	4.640000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.640000e+00	4.670000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.670000e+00	4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e+00	4.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.730000e+00	4.760000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.760000e+00	4.790000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.790000e+00	4.820000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.820000e+00	4.850000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.850000e+00	4.880000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.880000e+00	4.910000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.910000e+00	4.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.940000e+00	4.970000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.970000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

