# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC_100k_newWFO.yoda/LHCB_2019_I1762092/h_eta_B0
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC_100k_newWFO.yoda/LHCB_2019_I1762092/h_eta_B0
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC_100k_newWFO.yoda/LHCB_2019_I1762092/h_eta_B0
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC_100k_newWFO.yoda/LHCB_2019_I1762092/h_eta_B0
ScaledBy=3.47861239892081812e+03
Title=LHC_100k_newWFO
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.030000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.030000e+00	2.060000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.060000e+00	2.090000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.090000e+00	2.120000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.120000e+00	2.150000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.150000e+00	2.180000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.180000e+00	2.210000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.210000e+00	2.240000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.240000e+00	2.270000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.270000e+00	2.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+00	2.330000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.330000e+00	2.360000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.360000e+00	2.390000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.390000e+00	2.420000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.420000e+00	2.450000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.450000e+00	2.480000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.480000e+00	2.510000e+00	4.986010e+06	7.603596e+05	7.603596e+05
2.510000e+00	2.540000e+00	1.530589e+07	1.332207e+06	1.332207e+06
2.540000e+00	2.570000e+00	1.553780e+07	1.342262e+06	1.342262e+06
2.570000e+00	2.600000e+00	1.379850e+07	1.264906e+06	1.264906e+06
2.600000e+00	2.630000e+00	1.275491e+07	1.216133e+06	1.216133e+06
2.630000e+00	2.660000e+00	1.426231e+07	1.285989e+06	1.285989e+06
2.660000e+00	2.690000e+00	1.739306e+07	1.420138e+06	1.420138e+06
2.690000e+00	2.720000e+00	1.368254e+07	1.259580e+06	1.259580e+06
2.720000e+00	2.750000e+00	1.437826e+07	1.291206e+06	1.291206e+06
2.750000e+00	2.780000e+00	1.113156e+07	1.136110e+06	1.136110e+06
2.780000e+00	2.810000e+00	1.252300e+07	1.205027e+06	1.205027e+06
2.810000e+00	2.840000e+00	1.089965e+07	1.124213e+06	1.124213e+06
2.840000e+00	2.870000e+00	1.310277e+07	1.232605e+06	1.232605e+06
2.870000e+00	2.900000e+00	1.147942e+07	1.153725e+06	1.153725e+06
2.900000e+00	2.930000e+00	1.495803e+07	1.316981e+06	1.316981e+06
2.930000e+00	2.960000e+00	1.298682e+07	1.227139e+06	1.227139e+06
2.960000e+00	2.990000e+00	1.147942e+07	1.153725e+06	1.153725e+06
2.990000e+00	3.020000e+00	1.124751e+07	1.142012e+06	1.142012e+06
3.020000e+00	3.050000e+00	1.252300e+07	1.205027e+06	1.205027e+06
3.050000e+00	3.080000e+00	1.136347e+07	1.147884e+06	1.147884e+06
3.080000e+00	3.110000e+00	1.147942e+07	1.153725e+06	1.153725e+06
3.110000e+00	3.140000e+00	1.147942e+07	1.153725e+06	1.153725e+06
3.140000e+00	3.170000e+00	9.972023e+06	1.075311e+06	1.075311e+06
3.170000e+00	3.200000e+00	1.240705e+07	1.199435e+06	1.199435e+06
3.200000e+00	3.230000e+00	1.066774e+07	1.112189e+06	1.112189e+06
3.230000e+00	3.260000e+00	1.310277e+07	1.232605e+06	1.232605e+06
3.260000e+00	3.290000e+00	1.217514e+07	1.188172e+06	1.188172e+06
3.290000e+00	3.320000e+00	1.066774e+07	1.112189e+06	1.112189e+06
3.320000e+00	3.350000e+00	1.275491e+07	1.216133e+06	1.216133e+06
3.350000e+00	3.380000e+00	1.008798e+07	1.081545e+06	1.081545e+06
3.380000e+00	3.410000e+00	1.182728e+07	1.171075e+06	1.171075e+06
3.410000e+00	3.440000e+00	1.078370e+07	1.118217e+06	1.118217e+06
3.440000e+00	3.470000e+00	9.276300e+06	1.037122e+06	1.037122e+06
3.470000e+00	3.500000e+00	1.031988e+07	1.093905e+06	1.093905e+06
3.500000e+00	3.530000e+00	9.740113e+06	1.062734e+06	1.062734e+06
3.530000e+00	3.560000e+00	7.421040e+06	9.276300e+05	9.276300e+05
3.560000e+00	3.590000e+00	1.055179e+07	1.106128e+06	1.106128e+06
3.590000e+00	3.620000e+00	9.624160e+06	1.056389e+06	1.056389e+06
3.620000e+00	3.650000e+00	9.508207e+06	1.050006e+06	1.050006e+06
3.650000e+00	3.680000e+00	8.464623e+06	9.907092e+05	9.907092e+05
3.680000e+00	3.710000e+00	9.160347e+06	1.030619e+06	1.030619e+06
3.710000e+00	3.740000e+00	9.856070e+06	1.069041e+06	1.069041e+06
3.740000e+00	3.770000e+00	7.536993e+06	9.348490e+05	9.348490e+05
3.770000e+00	3.800000e+00	8.116763e+06	9.701386e+05	9.701386e+05
3.800000e+00	3.830000e+00	7.421040e+06	9.276300e+05	9.276300e+05
3.830000e+00	3.860000e+00	8.696530e+06	1.004189e+06	1.004189e+06
3.860000e+00	3.890000e+00	8.116763e+06	9.701386e+05	9.701386e+05
3.890000e+00	3.920000e+00	6.493410e+06	8.677184e+05	8.677184e+05
3.920000e+00	3.950000e+00	9.044393e+06	1.024076e+06	1.024076e+06
3.950000e+00	3.980000e+00	7.073180e+06	9.056277e+05	9.056277e+05
3.980000e+00	4.010000e+00	8.696530e+06	1.004189e+06	1.004189e+06
4.010000e+00	4.040000e+00	8.812483e+06	1.010861e+06	1.010861e+06
4.040000e+00	4.070000e+00	6.029593e+06	8.361544e+05	8.361544e+05
4.070000e+00	4.100000e+00	5.681733e+06	8.116762e+05	8.116762e+05
4.100000e+00	4.130000e+00	6.609363e+06	8.754316e+05	8.754316e+05
4.130000e+00	4.160000e+00	4.870057e+06	7.514662e+05	7.514662e+05
4.160000e+00	4.190000e+00	8.000810e+06	9.631842e+05	9.631842e+05
4.190000e+00	4.220000e+00	5.217920e+06	7.778414e+05	7.778414e+05
4.220000e+00	4.250000e+00	7.305087e+06	9.203543e+05	9.203543e+05
4.250000e+00	4.280000e+00	5.449827e+06	7.949389e+05	7.949389e+05
4.280000e+00	4.310000e+00	6.609363e+06	8.754316e+05	8.754316e+05
4.310000e+00	4.340000e+00	5.565780e+06	8.033511e+05	8.033511e+05
4.340000e+00	4.370000e+00	5.449827e+06	7.949389e+05	7.949389e+05
4.370000e+00	4.400000e+00	7.652947e+06	9.420127e+05	9.420127e+05
4.400000e+00	4.430000e+00	5.913640e+06	8.280754e+05	8.280754e+05
4.430000e+00	4.460000e+00	6.377457e+06	8.599360e+05	8.599360e+05
4.460000e+00	4.490000e+00	5.101963e+06	7.691501e+05	7.691501e+05
4.490000e+00	4.520000e+00	1.043584e+06	3.478612e+05	3.478612e+05
4.520000e+00	4.550000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.550000e+00	4.580000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.580000e+00	4.610000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.610000e+00	4.640000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.640000e+00	4.670000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.670000e+00	4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e+00	4.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.730000e+00	4.760000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.760000e+00	4.790000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.790000e+00	4.820000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.820000e+00	4.850000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.850000e+00	4.880000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.880000e+00	4.910000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.910000e+00	4.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.940000e+00	4.970000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.970000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

