# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC_100k_newWFO.yoda/LHCB_2019_I1762092/h_eta_ratio
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC_100k_newWFO.yoda/LHCB_2019_I1762092/h_eta_ratio
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC_100k_newWFO.yoda/LHCB_2019_I1762092/h_eta_ratio
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/analysis_1/LHC_100k_newWFO.yoda/LHCB_2019_I1762092/h_eta_ratio
Title=LHC_100k_newWFO
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.030000e+00	nan	nan	nan
2.030000e+00	2.060000e+00	nan	nan	nan
2.060000e+00	2.090000e+00	nan	nan	nan
2.090000e+00	2.120000e+00	nan	nan	nan
2.120000e+00	2.150000e+00	nan	nan	nan
2.150000e+00	2.180000e+00	nan	nan	nan
2.180000e+00	2.210000e+00	nan	nan	nan
2.210000e+00	2.240000e+00	nan	nan	nan
2.240000e+00	2.270000e+00	nan	nan	nan
2.270000e+00	2.300000e+00	nan	nan	nan
2.300000e+00	2.330000e+00	nan	nan	nan
2.330000e+00	2.360000e+00	nan	nan	nan
2.360000e+00	2.390000e+00	nan	nan	nan
2.390000e+00	2.420000e+00	nan	nan	nan
2.420000e+00	2.450000e+00	nan	nan	nan
2.450000e+00	2.480000e+00	nan	nan	nan
2.480000e+00	2.510000e+00	4.651163e-02	3.364485e-02	3.364485e-02
2.510000e+00	2.540000e+00	2.272727e-02	1.326987e-02	1.326987e-02
2.540000e+00	2.570000e+00	2.238806e-02	1.306964e-02	1.306964e-02
2.570000e+00	2.600000e+00	2.521008e-02	1.473737e-02	1.473737e-02
2.600000e+00	2.630000e+00	1.818182e-02	1.297284e-02	1.297284e-02
2.630000e+00	2.660000e+00	4.878049e-02	2.039449e-02	2.039449e-02
2.660000e+00	2.690000e+00	2.666667e-02	1.350994e-02	1.350994e-02
2.690000e+00	2.720000e+00	2.542373e-02	1.486382e-02	1.486382e-02
2.720000e+00	2.750000e+00	4.032258e-02	1.839278e-02	1.839278e-02
2.750000e+00	2.780000e+00	6.250000e-02	2.630079e-02	2.630079e-02
2.780000e+00	2.810000e+00	2.777778e-02	1.625872e-02	1.625872e-02
2.810000e+00	2.840000e+00	3.191489e-02	1.871780e-02	1.871780e-02
2.840000e+00	2.870000e+00	1.769912e-02	1.262543e-02	1.262543e-02
2.870000e+00	2.900000e+00	3.030303e-02	1.775857e-02	1.775857e-02
2.900000e+00	2.930000e+00	4.651163e-02	1.942486e-02	1.942486e-02
2.930000e+00	2.960000e+00	2.678571e-02	1.567049e-02	1.567049e-02
2.960000e+00	2.990000e+00	2.020202e-02	1.442856e-02	1.442856e-02
2.990000e+00	3.020000e+00	1.030928e-02	1.036228e-02	1.036228e-02
3.020000e+00	3.050000e+00	2.777778e-02	1.625872e-02	1.625872e-02
3.050000e+00	3.080000e+00	2.040816e-02	1.457726e-02	1.457726e-02
3.080000e+00	3.110000e+00	1.010101e-02	1.015190e-02	1.015190e-02
3.110000e+00	3.140000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.140000e+00	3.170000e+00	4.651163e-02	2.379050e-02	2.379050e-02
3.170000e+00	3.200000e+00	9.345794e-03	9.389365e-03	9.389365e-03
3.200000e+00	3.230000e+00	4.347826e-02	2.220669e-02	2.220669e-02
3.230000e+00	3.260000e+00	8.849558e-03	8.888629e-03	8.888629e-03
3.260000e+00	3.290000e+00	9.523810e-03	9.569054e-03	9.569054e-03
3.290000e+00	3.320000e+00	3.260870e-02	1.913113e-02	1.913113e-02
3.320000e+00	3.350000e+00	1.818182e-02	1.297284e-02	1.297284e-02
3.350000e+00	3.380000e+00	3.448276e-02	2.024897e-02	2.024897e-02
3.380000e+00	3.410000e+00	5.882353e-02	2.471083e-02	2.471083e-02
3.410000e+00	3.440000e+00	2.150538e-02	1.536924e-02	1.536924e-02
3.440000e+00	3.470000e+00	2.500000e-02	1.789728e-02	1.789728e-02
3.470000e+00	3.500000e+00	3.370787e-02	1.978653e-02	1.978653e-02
3.500000e+00	3.530000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.530000e+00	3.560000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.560000e+00	3.590000e+00	2.197802e-02	1.571066e-02	1.571066e-02
3.590000e+00	3.620000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.620000e+00	3.650000e+00	2.439024e-02	1.745556e-02	1.745556e-02
3.650000e+00	3.680000e+00	5.479452e-02	2.813786e-02	2.813786e-02
3.680000e+00	3.710000e+00	1.265823e-02	1.273809e-02	1.273809e-02
3.710000e+00	3.740000e+00	2.352941e-02	1.683241e-02	1.683241e-02
3.740000e+00	3.770000e+00	6.153846e-02	3.170184e-02	3.170184e-02
3.770000e+00	3.800000e+00	1.428571e-02	1.438739e-02	1.438739e-02
3.800000e+00	3.830000e+00	1.562500e-02	1.574660e-02	1.574660e-02
3.830000e+00	3.860000e+00	1.333333e-02	1.342193e-02	1.342193e-02
3.860000e+00	3.890000e+00	2.857143e-02	2.048963e-02	2.048963e-02
3.890000e+00	3.920000e+00	7.142857e-02	3.696780e-02	3.696780e-02
3.920000e+00	3.950000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.950000e+00	3.980000e+00	3.278689e-02	2.356083e-02	2.356083e-02
