# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/LHC.yoda/MC_BC_comparison/h_eta_B0
XLabel=$\eta$
YLabel=Number of particles
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/LHC.yoda/MC_BC_comparison/h_eta_B0
Title=Total number of $B^0$ and $B^{+}$ particles present in the simulation against $\eta$
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/LHC.yoda/MC_BC_comparison/h_eta_B0
ConnectBins=0
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/LHC.yoda/MC_BC_comparison/h_eta_B0
ScaledBy=6.95142476011543749e+02
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.030000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.030000e+00	2.060000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.060000e+00	2.090000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.090000e+00	2.120000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.120000e+00	2.150000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.150000e+00	2.180000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.180000e+00	2.210000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.210000e+00	2.240000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.240000e+00	2.270000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.270000e+00	2.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+00	2.330000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.330000e+00	2.360000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.360000e+00	2.390000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.390000e+00	2.420000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.420000e+00	2.450000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.450000e+00	2.480000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.480000e+00	2.510000e+00	4.865997e+06	3.357856e+05	3.357856e+05
2.510000e+00	2.540000e+00	1.436628e+07	5.769636e+05	5.769636e+05
2.540000e+00	2.570000e+00	1.394919e+07	5.685267e+05	5.685267e+05
2.570000e+00	2.600000e+00	1.459799e+07	5.815979e+05	5.815979e+05
2.600000e+00	2.630000e+00	1.436628e+07	5.769636e+05	5.769636e+05
2.630000e+00	2.660000e+00	1.473702e+07	5.843609e+05	5.843609e+05
2.660000e+00	2.690000e+00	1.369431e+07	5.633085e+05	5.633085e+05
2.690000e+00	2.720000e+00	1.464433e+07	5.825204e+05	5.825204e+05
2.720000e+00	2.750000e+00	1.427359e+07	5.750994e+05	5.750994e+05
2.750000e+00	2.780000e+00	1.524679e+07	5.943818e+05	5.943818e+05
2.780000e+00	2.810000e+00	1.360162e+07	5.613989e+05	5.613989e+05
2.810000e+00	2.840000e+00	1.355528e+07	5.604418e+05	5.604418e+05
2.840000e+00	2.870000e+00	1.286014e+07	5.458824e+05	5.458824e+05
2.870000e+00	2.900000e+00	1.385651e+07	5.666347e+05	5.666347e+05
2.900000e+00	2.930000e+00	1.262842e+07	5.409422e+05	5.409422e+05
2.930000e+00	2.960000e+00	1.283696e+07	5.453904e+05	5.453904e+05
2.960000e+00	2.990000e+00	1.274428e+07	5.434179e+05	5.434179e+05
2.990000e+00	3.020000e+00	1.292965e+07	5.473558e+05	5.473558e+05
3.020000e+00	3.050000e+00	1.241988e+07	5.364571e+05	5.364571e+05
3.050000e+00	3.080000e+00	1.286014e+07	5.458824e+05	5.458824e+05
3.080000e+00	3.110000e+00	1.265159e+07	5.414382e+05	5.414382e+05
3.110000e+00	3.140000e+00	1.167839e+07	5.201970e+05	5.201970e+05
3.140000e+00	3.170000e+00	1.184059e+07	5.237970e+05	5.237970e+05
3.170000e+00	3.200000e+00	1.172474e+07	5.212281e+05	5.212281e+05
3.200000e+00	3.230000e+00	1.186376e+07	5.243093e+05	5.243093e+05
3.230000e+00	3.260000e+00	1.165522e+07	5.196807e+05	5.196807e+05
3.260000e+00	3.290000e+00	1.089057e+07	5.023443e+05	5.023443e+05
3.290000e+00	3.320000e+00	1.123814e+07	5.102975e+05	5.102975e+05
3.320000e+00	3.350000e+00	1.098325e+07	5.044774e+05	5.044774e+05
3.350000e+00	3.380000e+00	1.047348e+07	4.926310e+05	4.926310e+05
3.380000e+00	3.410000e+00	1.089057e+07	5.023443e+05	5.023443e+05
3.410000e+00	3.440000e+00	9.592967e+06	4.714685e+05	4.714685e+05
3.440000e+00	3.470000e+00	9.940537e+06	4.799337e+05	4.799337e+05
3.470000e+00	3.500000e+00	9.361253e+06	4.657397e+05	4.657397e+05
3.500000e+00	3.530000e+00	9.384423e+06	4.663157e+05	4.663157e+05
3.530000e+00	3.560000e+00	9.801510e+06	4.765657e+05	4.765657e+05
3.560000e+00	3.590000e+00	8.920997e+06	4.546560e+05	4.546560e+05
3.590000e+00	3.620000e+00	9.523453e+06	4.697573e+05	4.697573e+05
3.620000e+00	3.650000e+00	7.623397e+06	4.202914e+05	4.202914e+05
3.650000e+00	3.680000e+00	8.527080e+06	4.445048e+05	4.445048e+05
3.680000e+00	3.710000e+00	8.318537e+06	4.390357e+05	4.390357e+05
3.710000e+00	3.740000e+00	9.036853e+06	4.575988e+05	4.575988e+05
3.740000e+00	3.770000e+00	8.411223e+06	4.414748e+05	4.414748e+05
3.770000e+00	3.800000e+00	7.762423e+06	4.241065e+05	4.241065e+05
3.800000e+00	3.830000e+00	7.878280e+06	4.272597e+05	4.272597e+05
3.830000e+00	3.860000e+00	8.503910e+06	4.439005e+05	4.439005e+05
3.860000e+00	3.890000e+00	7.229483e+06	4.092888e+05	4.092888e+05
3.890000e+00	3.920000e+00	7.716080e+06	4.228387e+05	4.228387e+05
3.920000e+00	3.950000e+00	7.345340e+06	4.125553e+05	4.125553e+05
3.950000e+00	3.980000e+00	7.507540e+06	4.170855e+05	4.170855e+05
3.980000e+00	4.010000e+00	7.368510e+06	4.132055e+05	4.132055e+05
4.010000e+00	4.040000e+00	7.113623e+06	4.059960e+05	4.059960e+05
4.040000e+00	4.070000e+00	7.067283e+06	4.046713e+05	4.046713e+05
4.070000e+00	4.100000e+00	6.881910e+06	3.993289e+05	3.993289e+05
4.100000e+00	4.130000e+00	6.997767e+06	4.026763e+05	4.026763e+05
4.130000e+00	4.160000e+00	6.372140e+06	3.842544e+05	3.842544e+05
4.160000e+00	4.190000e+00	6.441653e+06	3.863447e+05	3.863447e+05
4.190000e+00	4.220000e+00	6.603853e+06	3.911786e+05	3.911786e+05
4.220000e+00	4.250000e+00	6.279453e+06	3.814496e+05	3.814496e+05
4.250000e+00	4.280000e+00	5.607483e+06	3.604627e+05	3.604627e+05
4.280000e+00	4.310000e+00	5.792853e+06	3.663723e+05	3.663723e+05
4.310000e+00	4.340000e+00	6.140427e+06	3.772033e+05	3.772033e+05
4.340000e+00	4.370000e+00	6.117253e+06	3.764910e+05	3.764910e+05
4.370000e+00	4.400000e+00	6.163597e+06	3.779143e+05	3.779143e+05
4.400000e+00	4.430000e+00	5.120883e+06	3.444679e+05	3.444679e+05
4.430000e+00	4.460000e+00	4.750140e+06	3.317642e+05	3.317642e+05
4.460000e+00	4.490000e+00	5.236740e+06	3.483427e+05	3.483427e+05
4.490000e+00	4.520000e+00	1.621999e+06	1.938660e+05	1.938660e+05
4.520000e+00	4.550000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.550000e+00	4.580000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.580000e+00	4.610000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.610000e+00	4.640000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.640000e+00	4.670000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.670000e+00	4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e+00	4.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.730000e+00	4.760000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.760000e+00	4.790000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.790000e+00	4.820000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.820000e+00	4.850000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.850000e+00	4.880000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.880000e+00	4.910000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.910000e+00	4.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.940000e+00	4.970000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.970000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

