# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/LHC.yoda/MC_BC_comparison/h_pT_B0
XLabel=$p_\perp$ [GeV]
YLabel=Number of Particles
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/LHC.yoda/MC_BC_comparison/h_pT_B0
Title=Total number of $B^0$ and $B^{+}$ particles present in the simulation against $p_\perp$
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/LHC.yoda/MC_BC_comparison/h_pT_B0
ConnectBins=0
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/LHC.yoda/MC_BC_comparison/h_pT_B0
ScaledBy=6.95142476011543749e+02
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e+00	4.220000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.220000e+00	4.440000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.440000e+00	4.660000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.660000e+00	4.880000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.880000e+00	5.100000e+00	1.235458e+06	6.247978e+04	6.247978e+04
5.100000e+00	5.320000e+00	2.606784e+06	9.075658e+04	9.075658e+04
5.320000e+00	5.540000e+00	2.287651e+06	8.501987e+04	8.501987e+04
5.540000e+00	5.760000e+00	2.300290e+06	8.525441e+04	8.525441e+04
5.760000e+00	5.980000e+00	2.192859e+06	8.323977e+04	8.323977e+04
5.980000e+00	6.200000e+00	2.164421e+06	8.269827e+04	8.269827e+04
6.200000e+00	6.420000e+00	2.101226e+06	8.148205e+04	8.148205e+04
6.420000e+00	6.640000e+00	1.936920e+06	7.823145e+04	7.823145e+04
6.640000e+00	6.860000e+00	1.899003e+06	7.746195e+04	7.746195e+04
6.860000e+00	7.080000e+00	1.933760e+06	7.816761e+04	7.816761e+04
7.080000e+00	7.300000e+00	1.908482e+06	7.765503e+04	7.765503e+04
7.300000e+00	7.520000e+00	1.854766e+06	7.655440e+04	7.655440e+04
7.520000e+00	7.740000e+00	1.880045e+06	7.707430e+04	7.707430e+04
7.740000e+00	7.960000e+00	1.977996e+06	7.905663e+04	7.905663e+04
7.960000e+00	8.180000e+00	1.911642e+06	7.771930e+04	7.771930e+04
8.180000e+00	8.400000e+00	1.880045e+06	7.707430e+04	7.707430e+04
8.400000e+00	8.620000e+00	1.756815e+06	7.450553e+04	7.450553e+04
8.620000e+00	8.840000e+00	2.012754e+06	7.974820e+04	7.974820e+04
8.840000e+00	9.060000e+00	1.857926e+06	7.661959e+04	7.661959e+04
9.060000e+00	9.280000e+00	1.829489e+06	7.603096e+04	7.603096e+04
9.280000e+00	9.500000e+00	1.823169e+06	7.589952e+04	7.589952e+04
9.500000e+00	9.720000e+00	1.829489e+06	7.603096e+04	7.603096e+04
9.720000e+00	9.940000e+00	1.880045e+06	7.707430e+04	7.707430e+04
9.940000e+00	1.016000e+01	1.892683e+06	7.733294e+04	7.733294e+04
1.016000e+01	1.038000e+01	1.820010e+06	7.583373e+04	7.583373e+04
1.038000e+01	1.060000e+01	1.801051e+06	7.543772e+04	7.543772e+04
1.060000e+01	1.082000e+01	1.820010e+06	7.583373e+04	7.583373e+04
1.082000e+01	1.104000e+01	1.857926e+06	7.661959e+04	7.661959e+04
1.104000e+01	1.126000e+01	1.756815e+06	7.450553e+04	7.450553e+04
1.126000e+01	1.148000e+01	1.601987e+06	7.114676e+04	7.114676e+04
1.148000e+01	1.170000e+01	1.592508e+06	7.093595e+04	7.093595e+04
1.170000e+01	1.192000e+01	1.541952e+06	6.980091e+04	6.980091e+04
1.192000e+01	1.214000e+01	1.595668e+06	7.100629e+04	7.100629e+04
1.214000e+01	1.236000e+01	1.437681e+06	6.739953e+04	6.739953e+04
