# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/LHC.yoda/MC_BC_comparison/h_pT_ratio
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/LHC.yoda/MC_BC_comparison/h_pT_ratio
Title=Production Cross section ratio $\frac{f_{c}}{f_{u}+f_{d}}$ against $p_\perp$
ConnectGaps=0
LogY=0
Legend=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/LHC.yoda/MC_BC_comparison/h_pT_ratio
ConnectBins=0
ConnectGaps=0
ErrorBars=1
LineColor=red
LineStyle=solid
LogY=0
Path=//mt/home/fpauwels/Desktop/Project_Repo/B_c_fixed/LHC.yoda/MC_BC_comparison/h_pT_ratio
Title=LHC
XLabel=$p_\perp$[GeV]
XMax=15
YLabel=$\frac{f_{c}}{f_{u}+f_{d}}$
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e+00	4.220000e+00	nan	nan	nan
4.220000e+00	4.440000e+00	nan	nan	nan
4.440000e+00	4.660000e+00	nan	nan	nan
4.660000e+00	4.880000e+00	nan	nan	nan
4.880000e+00	5.100000e+00	2.557545e-03	2.560813e-03	2.560813e-03
5.100000e+00	5.320000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.320000e+00	5.540000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.540000e+00	5.760000e+00	1.373626e-03	1.374569e-03	1.374569e-03
5.760000e+00	5.980000e+00	2.881844e-03	2.040706e-03	2.040706e-03
5.980000e+00	6.200000e+00	2.919708e-03	2.067557e-03	2.067557e-03
6.200000e+00	6.420000e+00	1.503759e-03	1.504890e-03	1.504890e-03
6.420000e+00	6.640000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.640000e+00	6.860000e+00	1.663894e-03	1.665277e-03	1.665277e-03
6.860000e+00	7.080000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.080000e+00	7.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.300000e+00	7.520000e+00	1.703578e-03	1.705028e-03	1.705028e-03
7.520000e+00	7.740000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.740000e+00	7.960000e+00	1.597444e-03	1.598719e-03	1.598719e-03
7.960000e+00	8.180000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.180000e+00	8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+00	8.620000e+00	0.000000e+00	0.000000e+00	0.000000e+00
