# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BCstar/h_pT
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BCstar/h_pT
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BCstar/h_pT
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BCstar/h_pT
ScaledBy=2.33092806952583269e+04
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	5.314516e+06	3.519624e+05	3.519624e+05
1.000000e+00	2.000000e+00	1.265694e+07	5.431613e+05	5.431613e+05
2.000000e+00	3.000000e+00	1.759851e+07	6.404752e+05	6.404752e+05
3.000000e+00	4.000000e+00	2.144454e+07	7.070055e+05	7.070055e+05
4.000000e+00	5.000000e+00	2.342583e+07	7.389447e+05	7.389447e+05
5.000000e+00	6.000000e+00	2.482438e+07	7.606829e+05	7.606829e+05
6.000000e+00	7.000000e+00	2.295964e+07	7.315550e+05	7.315550e+05
7.000000e+00	8.000000e+00	2.219044e+07	7.191961e+05	7.191961e+05
8.000000e+00	9.000000e+00	2.011591e+07	6.847535e+05	6.847535e+05
9.000000e+00	1.000000e+01	1.794815e+07	6.468063e+05	6.468063e+05
1.000000e+01	1.100000e+01	1.610671e+07	6.127282e+05	6.127282e+05
1.100000e+01	1.200000e+01	1.391564e+07	5.695293e+05	5.695293e+05
1.200000e+01	1.300000e+01	1.167795e+07	5.217323e+05	5.217323e+05
1.300000e+01	1.400000e+01	1.027939e+07	4.894949e+05	4.894949e+05
1.400000e+01	1.500000e+01	9.160547e+06	4.620885e+05	4.620885e+05
1.500000e+01	1.600000e+01	8.041702e+06	4.329507e+05	4.329507e+05
1.600000e+01	1.700000e+01	6.246887e+06	3.815893e+05	3.815893e+05
1.700000e+01	1.800000e+01	5.547609e+06	3.595981e+05	3.595981e+05
1.800000e+01	1.900000e+01	4.288908e+06	3.161825e+05	3.161825e+05
1.900000e+01	2.000000e+01	4.335526e+06	3.178962e+05	3.178962e+05
2.000000e+01	2.100000e+01	3.216681e+06	2.738220e+05	2.738220e+05
2.100000e+01	2.200000e+01	2.867042e+06	2.585124e+05	2.585124e+05
2.200000e+01	2.300000e+01	2.633949e+06	2.477811e+05	2.477811e+05
2.300000e+01	2.400000e+01	1.724887e+06	2.005140e+05	2.005140e+05
2.400000e+01	2.500000e+01	1.421866e+06	1.820513e+05	1.820513e+05
2.500000e+01	2.600000e+01	1.305320e+06	1.744307e+05	1.744307e+05
2.600000e+01	2.700000e+01	1.235392e+06	1.696941e+05	1.696941e+05
2.700000e+01	2.800000e+01	1.025608e+06	1.546163e+05	1.546163e+05
2.800000e+01	2.900000e+01	1.072227e+06	1.580912e+05	1.580912e+05
2.900000e+01	3.000000e+01	6.060413e+05	1.188545e+05	1.188545e+05
3.000000e+01	3.100000e+01	6.759691e+05	1.255243e+05	1.255243e+05
3.100000e+01	3.200000e+01	5.361135e+05	1.117874e+05	1.117874e+05
3.200000e+01	3.300000e+01	6.060413e+05	1.188545e+05	1.188545e+05
3.300000e+01	3.400000e+01	6.060413e+05	1.188545e+05	1.188545e+05
3.400000e+01	3.500000e+01	3.496392e+05	9.027645e+04	9.027645e+04
3.500000e+01	3.600000e+01	2.564021e+05	7.730814e+04	7.730814e+04
3.600000e+01	3.700000e+01	3.030206e+05	8.404280e+04	8.404280e+04
3.700000e+01	3.800000e+01	1.398557e+05	5.709584e+04	5.709584e+04
3.800000e+01	3.900000e+01	2.097835e+05	6.992784e+04	6.992784e+04
3.900000e+01	4.000000e+01	9.323712e+04	4.661856e+04	4.661856e+04
4.000000e+01	4.100000e+01	2.097835e+05	6.992784e+04	6.992784e+04
4.100000e+01	4.200000e+01	9.323712e+04	4.661856e+04	4.661856e+04
4.200000e+01	4.300000e+01	9.323712e+04	4.661856e+04	4.661856e+04
4.300000e+01	4.400000e+01	1.631650e+05	6.167056e+04	6.167056e+04
4.400000e+01	4.500000e+01	1.165464e+05	5.212114e+04	5.212114e+04
4.500000e+01	4.600000e+01	1.165464e+05	5.212114e+04	5.212114e+04
4.600000e+01	4.700000e+01	9.323712e+04	4.661856e+04	4.661856e+04
4.700000e+01	4.800000e+01	9.323712e+04	4.661856e+04	4.661856e+04
4.800000e+01	4.900000e+01	2.330928e+04	2.330928e+04	2.330928e+04
4.900000e+01	5.000000e+01	9.323712e+04	4.661856e+04	4.661856e+04
5.000000e+01	5.100000e+01	9.323712e+04	4.661856e+04	4.661856e+04
5.100000e+01	5.200000e+01	4.661856e+04	3.296430e+04	3.296430e+04
5.200000e+01	5.300000e+01	9.323712e+04	4.661856e+04	4.661856e+04
5.300000e+01	5.400000e+01	4.661856e+04	3.296430e+04	3.296430e+04
5.400000e+01	5.500000e+01	4.661856e+04	3.296430e+04	3.296430e+04
5.500000e+01	5.600000e+01	2.330928e+04	2.330928e+04	2.330928e+04
5.600000e+01	5.700000e+01	6.992784e+04	4.037286e+04	4.037286e+04
5.700000e+01	5.800000e+01	2.330928e+04	2.330928e+04	2.330928e+04
5.800000e+01	5.900000e+01	2.330928e+04	2.330928e+04	2.330928e+04
5.900000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	6.100000e+01	2.330928e+04	2.330928e+04	2.330928e+04
6.100000e+01	6.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e+01	6.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.300000e+01	6.400000e+01	2.330928e+04	2.330928e+04	2.330928e+04
6.400000e+01	6.500000e+01	2.330928e+04	2.330928e+04	2.330928e+04
6.500000e+01	6.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+01	6.700000e+01	2.330928e+04	2.330928e+04	2.330928e+04
6.700000e+01	6.800000e+01	2.330928e+04	2.330928e+04	2.330928e+04
6.800000e+01	6.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e+01	7.000000e+01	2.330928e+04	2.330928e+04	2.330928e+04
7.000000e+01	7.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.100000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.300000e+01	4.661856e+04	3.296430e+04	3.296430e+04
7.300000e+01	7.400000e+01	2.330928e+04	2.330928e+04	2.330928e+04
7.400000e+01	7.500000e+01	2.330928e+04	2.330928e+04	2.330928e+04
7.500000e+01	7.600000e+01	2.330928e+04	2.330928e+04	2.330928e+04
7.600000e+01	7.700000e+01	2.330928e+04	2.330928e+04	2.330928e+04
7.700000e+01	7.800000e+01	2.330928e+04	2.330928e+04	2.330928e+04
7.800000e+01	7.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.900000e+01	8.000000e+01	4.661856e+04	3.296430e+04	3.296430e+04
8.000000e+01	8.100000e+01	2.330928e+04	2.330928e+04	2.330928e+04
8.100000e+01	8.200000e+01	2.330928e+04	2.330928e+04	2.330928e+04
8.200000e+01	8.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.300000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	8.500000e+01	2.330928e+04	2.330928e+04	2.330928e+04
8.500000e+01	8.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+01	8.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+01	8.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+01	8.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.900000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	9.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.100000e+01	9.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+01	9.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.300000e+01	9.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+01	9.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e+01	9.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+01	9.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.700000e+01	9.800000e+01	2.330928e+04	2.330928e+04	2.330928e+04
9.800000e+01	9.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.900000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

