# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_pT
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_pT
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_pT
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_pT
ScaledBy=2.35133458818680836e+01
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	4.008320e+05	3.070000e+03	3.070000e+03
1.000000e+00	2.000000e+00	9.705369e+05	4.777088e+03	4.777088e+03
2.000000e+00	3.000000e+00	1.346868e+06	5.627555e+03	5.627555e+03
3.000000e+00	4.000000e+00	1.659831e+06	6.247253e+03	6.247253e+03
4.000000e+00	5.000000e+00	1.933150e+06	6.742019e+03	6.742019e+03
5.000000e+00	6.000000e+00	2.136023e+06	7.086963e+03	7.086963e+03
6.000000e+00	7.000000e+00	2.277879e+06	7.318507e+03	7.318507e+03
7.000000e+00	8.000000e+00	2.368734e+06	7.463034e+03	7.463034e+03
8.000000e+00	9.000000e+00	2.380632e+06	7.481753e+03	7.481753e+03
9.000000e+00	1.000000e+01	2.359729e+06	7.448833e+03	7.448833e+03
1.000000e+01	1.100000e+01	2.275786e+06	7.315145e+03	7.315145e+03
1.100000e+01	1.200000e+01	2.198709e+06	7.190203e+03	7.190203e+03
1.200000e+01	1.300000e+01	2.098284e+06	7.024079e+03	7.024079e+03
1.300000e+01	1.400000e+01	2.006417e+06	6.868594e+03	6.868594e+03
1.400000e+01	1.500000e+01	1.892237e+06	6.670293e+03	6.670293e+03
1.500000e+01	1.600000e+01	1.810786e+06	6.525154e+03	6.525154e+03
1.600000e+01	1.700000e+01	1.710314e+06	6.341546e+03	6.341546e+03
1.700000e+01	1.800000e+01	1.608430e+06	6.149763e+03	6.149763e+03
1.800000e+01	1.900000e+01	1.515059e+06	5.968593e+03	5.968593e+03
1.900000e+01	2.000000e+01	1.407321e+06	5.752462e+03	5.752462e+03
2.000000e+01	2.100000e+01	1.306731e+06	5.543069e+03	5.543069e+03
2.100000e+01	2.200000e+01	1.213524e+06	5.341723e+03	5.341723e+03
2.200000e+01	2.300000e+01	1.091301e+06	5.065585e+03	5.065585e+03
2.300000e+01	2.400000e+01	9.930626e+05	4.832208e+03	4.832208e+03
2.400000e+01	2.500000e+01	8.957644e+05	4.589381e+03	4.589381e+03
2.500000e+01	2.600000e+01	8.113280e+05	4.367727e+03	4.367727e+03
2.600000e+01	2.700000e+01	7.229178e+05	4.122890e+03	4.122890e+03
2.700000e+01	2.800000e+01	6.527540e+05	3.917707e+03	3.917707e+03
2.800000e+01	2.900000e+01	5.859761e+05	3.711908e+03	3.711908e+03
2.900000e+01	3.000000e+01	5.184693e+05	3.491554e+03	3.491554e+03
3.000000e+01	3.100000e+01	4.707607e+05	3.327035e+03	3.327035e+03
3.100000e+01	3.200000e+01	4.185846e+05	3.137248e+03	3.137248e+03
3.200000e+01	3.300000e+01	3.787765e+05	2.984343e+03	2.984343e+03
3.300000e+01	3.400000e+01	3.281287e+05	2.777662e+03	2.777662e+03
3.400000e+01	3.500000e+01	2.945752e+05	2.631815e+03	2.631815e+03
3.500000e+01	3.600000e+01	2.600811e+05	2.472929e+03	2.472929e+03
3.600000e+01	3.700000e+01	2.336051e+05	2.343680e+03	2.343680e+03
3.700000e+01	3.800000e+01	2.128193e+05	2.236983e+03	2.236983e+03
3.800000e+01	3.900000e+01	1.874484e+05	2.099414e+03	2.099414e+03
3.900000e+01	4.000000e+01	1.676737e+05	1.985590e+03	1.985590e+03
4.000000e+01	4.100000e+01	1.521078e+05	1.891181e+03	1.891181e+03
4.100000e+01	4.200000e+01	1.344023e+05	1.777708e+03	1.777708e+03
4.200000e+01	4.300000e+01	1.203413e+05	1.682150e+03	1.682150e+03
4.300000e+01	4.400000e+01	1.082319e+05	1.595273e+03	1.595273e+03
4.400000e+01	4.500000e+01	9.762741e+04	1.515106e+03	1.515106e+03
4.500000e+01	4.600000e+01	8.535345e+04	1.416667e+03	1.416667e+03
4.600000e+01	4.700000e+01	7.785269e+04	1.352988e+03	1.352988e+03
4.700000e+01	4.800000e+01	7.115138e+04	1.293448e+03	1.293448e+03
4.800000e+01	4.900000e+01	6.261604e+04	1.213389e+03	1.213389e+03
4.900000e+01	5.000000e+01	5.589122e+04	1.146381e+03	1.146381e+03
5.000000e+01	5.100000e+01	4.907235e+04	1.074176e+03	1.074176e+03
5.100000e+01	5.200000e+01	4.740291e+04	1.055747e+03	1.055747e+03
5.200000e+01	5.300000e+01	4.354672e+04	1.011894e+03	1.011894e+03
5.300000e+01	5.400000e+01	3.851486e+04	9.516371e+02	9.516371e+02
5.400000e+01	5.500000e+01	3.376516e+04	8.910286e+02	8.910286e+02
5.500000e+01	5.600000e+01	3.329490e+04	8.848019e+02	8.848019e+02
5.600000e+01	5.700000e+01	2.838061e+04	8.168985e+02	8.168985e+02
5.700000e+01	5.800000e+01	2.628792e+04	7.862042e+02	7.862042e+02
5.800000e+01	5.900000e+01	2.386605e+04	7.491132e+02	7.491132e+02
5.900000e+01	6.000000e+01	2.238471e+04	7.254925e+02	7.254925e+02
6.000000e+01	6.100000e+01	1.979824e+04	6.822923e+02	6.822923e+02
6.100000e+01	6.200000e+01	1.899878e+04	6.683749e+02	6.683749e+02
6.200000e+01	6.300000e+01	1.688258e+04	6.300524e+02	6.300524e+02
6.300000e+01	6.400000e+01	1.652988e+04	6.234363e+02	6.234363e+02
6.400000e+01	6.500000e+01	1.471935e+04	5.883037e+02	5.883037e+02
6.500000e+01	6.600000e+01	1.323801e+04	5.579158e+02	5.579158e+02
6.600000e+01	6.700000e+01	1.215640e+04	5.346378e+02	5.346378e+02
6.700000e+01	6.800000e+01	1.159208e+04	5.220810e+02	5.220810e+02
6.800000e+01	6.900000e+01	1.081614e+04	5.043051e+02	5.043051e+02
6.900000e+01	7.000000e+01	9.993172e+03	4.847400e+02	4.847400e+02
7.000000e+01	7.100000e+01	7.759404e+03	4.271412e+02	4.271412e+02
7.100000e+01	7.200000e+01	8.723451e+03	4.528990e+02	4.528990e+02
7.200000e+01	7.300000e+01	7.994538e+03	4.335646e+02	4.335646e+02
7.300000e+01	7.400000e+01	7.242111e+03	4.126575e+02	4.126575e+02
7.400000e+01	7.500000e+01	5.690230e+03	3.657818e+02	3.657818e+02
7.500000e+01	7.600000e+01	6.042930e+03	3.769476e+02	3.769476e+02
7.600000e+01	7.700000e+01	5.690230e+03	3.657818e+02	3.657818e+02
7.700000e+01	7.800000e+01	4.961316e+03	3.415510e+02	3.415510e+02
7.800000e+01	7.900000e+01	4.702669e+03	3.325289e+02	3.325289e+02
7.900000e+01	8.000000e+01	4.608616e+03	3.291869e+02	3.291869e+02
8.000000e+01	8.100000e+01	4.255916e+03	3.163397e+02	3.163397e+02
8.100000e+01	8.200000e+01	3.479975e+03	2.860522e+02	2.860522e+02
8.200000e+01	8.300000e+01	4.208889e+03	3.145871e+02	3.145871e+02
8.300000e+01	8.400000e+01	3.362408e+03	2.811787e+02	2.811787e+02
8.400000e+01	8.500000e+01	3.574029e+03	2.898920e+02	2.898920e+02
8.500000e+01	8.600000e+01	2.515928e+03	2.432240e+02	2.432240e+02
8.600000e+01	8.700000e+01	2.445388e+03	2.397900e+02	2.397900e+02
8.700000e+01	8.800000e+01	2.539441e+03	2.443579e+02	2.443579e+02
8.800000e+01	8.900000e+01	2.327821e+03	2.339548e+02	2.339548e+02
8.900000e+01	9.000000e+01	2.657008e+03	2.499503e+02	2.499503e+02
9.000000e+01	9.100000e+01	2.022148e+03	2.180538e+02	2.180538e+02
9.100000e+01	9.200000e+01	1.575394e+03	1.924650e+02	1.924650e+02
9.200000e+01	9.300000e+01	1.904581e+03	2.116201e+02	2.116201e+02
9.300000e+01	9.400000e+01	1.881068e+03	2.103097e+02	2.103097e+02
9.400000e+01	9.500000e+01	1.528367e+03	1.895706e+02	1.895706e+02
9.500000e+01	9.600000e+01	1.528367e+03	1.895706e+02	1.895706e+02
9.600000e+01	9.700000e+01	1.575394e+03	1.924650e+02	1.924650e+02
9.700000e+01	9.800000e+01	1.598908e+03	1.938960e+02	1.938960e+02
9.800000e+01	9.900000e+01	1.269721e+03	1.727871e+02	1.727871e+02
9.900000e+01	1.000000e+02	1.081614e+03	1.594753e+02	1.594753e+02
# END HISTO1D

