# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_rap
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_rap
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_rap
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_rap
ScaledBy=2.35133458818680836e+01
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+01	-9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.800000e+00	-9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.600000e+00	-9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.400000e+00	-9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.200000e+00	-9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.000000e+00	-8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.800000e+00	-8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.600000e+00	-8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.400000e+00	-8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.200000e+00	-8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.000000e+00	-7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.800000e+00	-7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.600000e+00	-7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.400000e+00	-7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.200000e+00	-7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.000000e+00	-6.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-6.800000e+00	-6.600000e+00	2.351334e+02	1.662645e+02	1.662645e+02
-6.600000e+00	-6.400000e+00	4.702669e+02	2.351335e+02	2.351335e+02
-6.400000e+00	-6.200000e+00	1.881067e+03	4.702669e+02	4.702669e+02
-6.200000e+00	-6.000000e+00	5.760770e+03	8.229670e+02	8.229670e+02
-6.000000e+00	-5.800000e+00	1.457827e+04	1.309168e+03	1.309168e+03
-5.800000e+00	-5.600000e+00	3.127275e+04	1.917455e+03	1.917455e+03
-5.600000e+00	-5.400000e+00	6.383875e+04	2.739582e+03	2.739582e+03
-5.400000e+00	-5.200000e+00	1.163910e+05	3.699151e+03	3.699151e+03
-5.200000e+00	-5.000000e+00	2.037431e+05	4.894223e+03	4.894223e+03
-5.000000e+00	-4.800000e+00	3.160193e+05	6.095357e+03	6.095357e+03
-4.800000e+00	-4.600000e+00	4.882546e+05	7.576444e+03	7.576444e+03
-4.600000e+00	-4.400000e+00	7.097505e+05	9.134715e+03	9.134715e+03
-4.400000e+00	-4.200000e+00	9.701605e+05	1.067982e+04	1.067982e+04
-4.200000e+00	-4.000000e+00	1.297584e+06	1.235122e+04	1.235122e+04
-4.000000e+00	-3.800000e+00	1.657456e+06	1.395929e+04	1.395929e+04
-3.800000e+00	-3.600000e+00	2.058829e+06	1.555795e+04	1.555795e+04
-3.600000e+00	-3.400000e+00	2.528743e+06	1.724227e+04	1.724227e+04
