# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/Error_Handling/EE.yoda/MC_BC_Simple/h_BC
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/Error_Handling/EE.yoda/MC_BC_Simple/h_BC
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/Error_Handling/EE.yoda/MC_BC_Simple/h_BC
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/Error_Handling/EE.yoda/MC_BC_Simple/h_BC
ScaledBy=4.99999999999999977e-08
Title=EE
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	4.000000e-02	2.500000e-06	2.500000e-06	2.500000e-06
4.000000e-02	6.000000e-02	1.750000e-05	6.614378e-06	6.614378e-06
6.000000e-02	8.000000e-02	3.500000e-05	9.354143e-06	9.354143e-06
8.000000e-02	1.000000e-01	7.000000e-05	1.322876e-05	1.322876e-05
1.000000e-01	1.200000e-01	1.550000e-04	1.968502e-05	1.968502e-05
1.200000e-01	1.400000e-01	1.300000e-04	1.802776e-05	1.802776e-05
1.400000e-01	1.600000e-01	2.350000e-04	2.423840e-05	2.423840e-05
1.600000e-01	1.800000e-01	3.175000e-04	2.817357e-05	2.817357e-05
1.800000e-01	2.000000e-01	3.800000e-04	3.082207e-05	3.082207e-05
2.000000e-01	2.200000e-01	4.600000e-04	3.391165e-05	3.391165e-05
2.200000e-01	2.400000e-01	5.225000e-04	3.614208e-05	3.614208e-05
2.400000e-01	2.600000e-01	6.325000e-04	3.976493e-05	3.976493e-05
2.600000e-01	2.800000e-01	7.350000e-04	4.286607e-05	4.286607e-05
2.800000e-01	3.000000e-01	8.075000e-04	4.493050e-05	4.493050e-05
3.000000e-01	3.200000e-01	8.100000e-04	4.500000e-05	4.500000e-05
3.200000e-01	3.400000e-01	1.022500e-03	5.055937e-05	5.055937e-05
3.400000e-01	3.600000e-01	1.145000e-03	5.350234e-05	5.350234e-05
3.600000e-01	3.800000e-01	1.197500e-03	5.471517e-05	5.471517e-05
3.800000e-01	4.000000e-01	1.372500e-03	5.857687e-05	5.857687e-05
4.000000e-01	4.200000e-01	1.402500e-03	5.921360e-05	5.921360e-05
4.200000e-01	4.400000e-01	1.507500e-03	6.139015e-05	6.139015e-05
4.400000e-01	4.600000e-01	1.462500e-03	6.046693e-05	6.046693e-05
4.600000e-01	4.800000e-01	1.507500e-03	6.139015e-05	6.139015e-05
4.800000e-01	5.000000e-01	1.630000e-03	6.383573e-05	6.383573e-05
5.000000e-01	5.200000e-01	1.642500e-03	6.408003e-05	6.408003e-05
5.200000e-01	5.400000e-01	1.767500e-03	6.647368e-05	6.647368e-05
5.400000e-01	5.600000e-01	1.685000e-03	6.490377e-05	6.490377e-05
5.600000e-01	5.800000e-01	1.782500e-03	6.675515e-05	6.675515e-05
5.800000e-01	6.000000e-01	1.812500e-03	6.731456e-05	6.731456e-05
6.000000e-01	6.200000e-01	1.805000e-03	6.717514e-05	6.717514e-05
6.200000e-01	6.400000e-01	1.737500e-03	6.590713e-05	6.590713e-05
6.400000e-01	6.600000e-01	1.780000e-03	6.670832e-05	6.670832e-05
6.600000e-01	6.800000e-01	1.727500e-03	6.571720e-05	6.571720e-05
6.800000e-01	7.000000e-01	1.625000e-03	6.373774e-05	6.373774e-05
7.000000e-01	7.200000e-01	1.585000e-03	6.294839e-05	6.294839e-05
7.200000e-01	7.400000e-01	1.437500e-03	5.994789e-05	5.994789e-05
7.400000e-01	7.600000e-01	1.332500e-03	5.771698e-05	5.771698e-05
7.600000e-01	7.800000e-01	1.195000e-03	5.465803e-05	5.465803e-05
7.800000e-01	8.000000e-01	1.210000e-03	5.500000e-05	5.500000e-05
8.000000e-01	8.200000e-01	1.100000e-03	5.244044e-05	5.244044e-05
8.200000e-01	8.400000e-01	8.975000e-04	4.736824e-05	4.736824e-05
8.400000e-01	8.600000e-01	8.900000e-04	4.716991e-05	4.716991e-05
8.600000e-01	8.800000e-01	7.150000e-04	4.227884e-05	4.227884e-05
8.800000e-01	9.000000e-01	6.225000e-04	3.944933e-05	3.944933e-05
9.000000e-01	9.200000e-01	4.800000e-04	3.464102e-05	3.464102e-05
9.200000e-01	9.400000e-01	4.250000e-04	3.259601e-05	3.259601e-05
9.400000e-01	9.600000e-01	3.050000e-04	2.761340e-05	2.761340e-05
9.600000e-01	9.800000e-01	1.325000e-04	1.820027e-05	1.820027e-05
9.800000e-01	1.000000e+00	6.000000e-05	1.224745e-05	1.224745e-05
# END HISTO1D

