# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/1p1/LHC1p1.yoda/MC_BC/h_pT_Bc
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/1p1/LHC1p1.yoda/MC_BC/h_pT_Bc
LogY=0
XLabel=$p_\perp$[GeV]
YLabel=d$\sigma[pb] $
Legend=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/Final-runs/1p1/LHC1p1.yoda/MC_BC/h_pT_Bc
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/1p1/LHC1p1.yoda/MC_BC/h_pT_Bc
ScaledBy=2.78151410308219738e+03
Title=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	6.000000e-01	1.668909e+05	3.933655e+04	3.933655e+04
6.000000e-01	9.000000e-01	1.668908e+05	3.933655e+04	3.933655e+04
9.000000e-01	1.200000e+00	2.503363e+05	4.817724e+04	4.817724e+04
1.200000e+00	1.500000e+00	2.966948e+05	5.244874e+04	5.244874e+04
1.500000e+00	1.800000e+00	3.059665e+05	5.326194e+04	5.326194e+04
1.800000e+00	2.100000e+00	3.245100e+05	5.485220e+04	5.485220e+04
2.100000e+00	2.400000e+00	3.801403e+05	5.936793e+04	5.936793e+04
2.400000e+00	2.700000e+00	3.430533e+05	5.639764e+04	5.639764e+04
2.700000e+00	3.000000e+00	3.801403e+05	5.936794e+04	5.936794e+04
3.000000e+00	3.300000e+00	4.172270e+05	6.219654e+04	6.219654e+04
3.300000e+00	3.600000e+00	3.894120e+05	6.008757e+04	6.008757e+04
3.600000e+00	3.900000e+00	5.841180e+05	7.359195e+04	7.359195e+04
3.900000e+00	4.200000e+00	4.914007e+05	6.749909e+04	6.749909e+04
4.200000e+00	4.500000e+00	6.026613e+05	7.475094e+04	7.475094e+04
4.500000e+00	4.800000e+00	4.728573e+05	6.621328e+04	6.621328e+04
