# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHC3p1.yoda/MC_BC/h_pT_Bc
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHC3p1.yoda/MC_BC/h_pT_Bc
LogY=0
XLabel=$p_\perp$[GeV]
YLabel=d$\sigma[pb] $
Legend=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHC3p1.yoda/MC_BC/h_pT_Bc
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHC3p1.yoda/MC_BC/h_pT_Bc
ScaledBy=2.78637658825235940e+03
Title=${}^3P_1$
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-01	2.786377e+04	1.608715e+04	1.608715e+04
3.000000e-01	6.000000e-01	5.572753e+04	2.275067e+04	2.275067e+04
6.000000e-01	9.000000e-01	7.430337e+04	2.627021e+04	2.627021e+04
9.000000e-01	1.200000e+00	1.857584e+05	4.153685e+04	4.153685e+04
1.200000e+00	1.500000e+00	1.300309e+05	3.475222e+04	3.475222e+04
1.500000e+00	1.800000e+00	1.671826e+05	3.940532e+04	3.940532e+04
1.800000e+00	2.100000e+00	2.693497e+05	5.001699e+04	5.001699e+04
2.100000e+00	2.400000e+00	3.808047e+05	5.947172e+04	5.947172e+04
2.400000e+00	2.700000e+00	2.693498e+05	5.001699e+04	5.001699e+04
2.700000e+00	3.000000e+00	3.065014e+05	5.335505e+04	5.335505e+04
3.000000e+00	3.300000e+00	2.972135e+05	5.254042e+04	5.254042e+04
3.300000e+00	3.600000e+00	5.015477e+05	6.825201e+04	6.825201e+04
3.600000e+00	3.900000e+00	4.272443e+05	6.299376e+04	6.299376e+04
3.900000e+00	4.200000e+00	3.715170e+05	5.874198e+04	5.874198e+04
4.200000e+00	4.500000e+00	3.343653e+05	5.572753e+04	5.572753e+04
4.500000e+00	4.800000e+00	1.857584e+05	4.153685e+04	4.153685e+04
4.800000e+00	5.100000e+00	4.179563e+05	6.230528e+04	6.230528e+04
5.100000e+00	5.400000e+00	3.065014e+05	5.335505e+04	5.335505e+04
5.400000e+00	5.700000e+00	4.365323e+05	6.367478e+04	6.367478e+04
5.700000e+00	6.000000e+00	2.693498e+05	5.001699e+04	5.001699e+04
6.000000e+00	6.300000e+00	2.972135e+05	5.254042e+04	5.254042e+04
6.300000e+00	6.600000e+00	3.993807e+05	6.090498e+04	6.090498e+04
6.600000e+00	6.900000e+00	2.136222e+05	4.454331e+04	4.454331e+04
6.900000e+00	7.200000e+00	2.321980e+05	4.643961e+04	4.643961e+04
7.200000e+00	7.500000e+00	2.136222e+05	4.454331e+04	4.454331e+04
7.500000e+00	7.800000e+00	1.207430e+05	3.348807e+04	3.348807e+04
7.800000e+00	8.100000e+00	1.207430e+05	3.348807e+04	3.348807e+04
8.100000e+00	8.400000e+00	1.393188e+05	3.597196e+04	3.597196e+04
8.400000e+00	8.700000e+00	1.300309e+05	3.475222e+04	3.475222e+04
8.700000e+00	9.000000e+00	1.207430e+05	3.348807e+04	3.348807e+04
9.000000e+00	9.300000e+00	1.021671e+05	3.080455e+04	3.080455e+04
9.300000e+00	9.600000e+00	5.572753e+04	2.275067e+04	2.275067e+04
9.600000e+00	9.900000e+00	1.300309e+05	3.475222e+04	3.475222e+04
9.900000e+00	1.020000e+01	4.643960e+04	2.076842e+04	2.076842e+04
1.020000e+01	1.050000e+01	4.643960e+04	2.076842e+04	2.076842e+04
1.050000e+01	1.080000e+01	6.501547e+04	2.457353e+04	2.457353e+04
