# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHC3p2.yoda/MC_BC/h_rap_Bc
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHC3p2.yoda/MC_BC/h_rap_Bc
LogY=0
XLabel=$p_\perp$
YLabel=d$\sigma[pb]$
Legend=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHC3p2.yoda/MC_BC/h_rap_Bc
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHC3p2.yoda/MC_BC/h_rap_Bc
ScaledBy=2.78098726782325912e+03
Title=${}^3P_2$
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+01	-9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.800000e+00	-9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.600000e+00	-9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.400000e+00	-9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.200000e+00	-9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.000000e+00	-8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.800000e+00	-8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.600000e+00	-8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.400000e+00	-8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.200000e+00	-8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.000000e+00	-7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.800000e+00	-7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.600000e+00	-7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.400000e+00	-7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.200000e+00	-7.000000e+00	1.390494e+04	1.390494e+04	1.390494e+04
-7.000000e+00	-6.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-6.800000e+00	-6.600000e+00	4.171480e+04	2.408406e+04	2.408406e+04
-6.600000e+00	-6.400000e+00	1.390494e+04	1.390494e+04	1.390494e+04
-6.400000e+00	-6.200000e+00	5.561975e+04	2.780987e+04	2.780987e+04
-6.200000e+00	-6.000000e+00	4.171482e+04	2.408406e+04	2.408406e+04
-6.000000e+00	-5.800000e+00	4.171481e+04	2.408406e+04	2.408406e+04
-5.800000e+00	-5.600000e+00	5.561975e+04	2.780988e+04	2.780988e+04
-5.600000e+00	-5.400000e+00	5.561975e+04	2.780987e+04	2.780987e+04
-5.400000e+00	-5.200000e+00	5.561975e+04	2.780987e+04	2.780987e+04
-5.200000e+00	-5.000000e+00	8.342960e+04	3.406000e+04	3.406000e+04
-5.000000e+00	-4.800000e+00	1.251444e+05	4.171481e+04	4.171481e+04
-4.800000e+00	-4.600000e+00	8.342960e+04	3.406000e+04	3.406000e+04
-4.600000e+00	-4.400000e+00	9.733455e+04	3.678900e+04	3.678900e+04
-4.400000e+00	-4.200000e+00	6.952470e+04	3.109238e+04	3.109238e+04
