# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHCBcs.yoda/MC_BC/h_pT_Bc
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHCBcs.yoda/MC_BC/h_pT_Bc
LogY=0
XLabel=$p_\perp$[GeV]
YLabel=d$\sigma[pb] $
Legend=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHCBcs.yoda/MC_BC/h_pT_Bc
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHCBcs.yoda/MC_BC/h_pT_Bc
ScaledBy=2.78065367621722180e+03
Title=${}^3S_1$
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-01	9.268850e+03	9.268845e+03	9.268845e+03
3.000000e-01	6.000000e-01	6.488190e+04	2.452306e+04	2.452306e+04
6.000000e-01	9.000000e-01	1.390327e+05	3.589808e+04	3.589808e+04
9.000000e-01	1.200000e+00	1.575704e+05	3.821643e+04	3.821643e+04
1.200000e+00	1.500000e+00	2.687965e+05	4.991426e+04	4.991426e+04
1.500000e+00	1.800000e+00	2.966031e+05	5.243251e+04	5.243251e+04
1.800000e+00	2.100000e+00	2.409900e+05	4.726202e+04	4.726202e+04
2.100000e+00	2.400000e+00	3.707537e+05	5.862133e+04	5.862133e+04
2.400000e+00	2.700000e+00	2.780654e+05	5.076755e+04	5.076755e+04
2.700000e+00	3.000000e+00	3.336783e+05	5.561308e+04	5.561308e+04
3.000000e+00	3.300000e+00	5.375930e+05	7.058942e+04	7.058942e+04
3.300000e+00	3.600000e+00	5.005177e+05	6.811183e+04	6.811183e+04
3.600000e+00	3.900000e+00	4.449047e+05	6.421645e+04	6.421645e+04
3.900000e+00	4.200000e+00	4.634423e+05	6.554064e+04	6.554064e+04
