# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/LHCtogether.yoda/MC_BC/h_pT_3s1
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/LHCtogether.yoda/MC_BC/h_pT_3s1
LogY=0
XLabel=$p_\perp$[GeV]
YLabel=d$\sigma[pb] $
Legend=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/Final-runs/LHCtogether.yoda/MC_BC/h_pT_3s1
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/LHCtogether.yoda/MC_BC/h_pT_3s1
ScaledBy=7.65439901499275663e+01
Title=LHCtogether
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-01	5.102933e+02	3.608319e+02	3.608319e+02
3.000000e-01	6.000000e-01	1.530880e+03	6.249790e+02	6.249790e+02
6.000000e-01	9.000000e-01	1.530880e+03	6.249790e+02	6.249790e+02
9.000000e-01	1.200000e+00	2.041173e+03	7.216637e+02	7.216637e+02
1.200000e+00	1.500000e+00	2.806613e+03	8.462257e+02	8.462257e+02
1.500000e+00	1.800000e+00	4.337493e+03	1.051996e+03	1.051996e+03
1.800000e+00	2.100000e+00	3.572053e+03	9.546713e+02	9.546713e+02
2.100000e+00	2.400000e+00	6.888960e+03	1.325781e+03	1.325781e+03
2.400000e+00	2.700000e+00	5.613227e+03	1.196744e+03	1.196744e+03
2.700000e+00	3.000000e+00	6.123520e+03	1.249958e+03	1.249958e+03
3.000000e+00	3.300000e+00	9.440427e+03	1.551997e+03	1.551997e+03
3.300000e+00	3.600000e+00	9.440427e+03	1.551997e+03	1.551997e+03
3.600000e+00	3.900000e+00	9.185280e+03	1.530880e+03	1.530880e+03
3.900000e+00	4.200000e+00	9.950720e+03	1.593390e+03	1.593390e+03
4.200000e+00	4.500000e+00	8.930133e+03	1.509468e+03	1.509468e+03
4.500000e+00	4.800000e+00	1.173675e+04	1.730489e+03	1.730489e+03
4.800000e+00	5.100000e+00	1.097131e+04	1.673108e+03	1.673108e+03
5.100000e+00	5.400000e+00	1.046101e+04	1.633736e+03	1.633736e+03
5.400000e+00	5.700000e+00	1.122645e+04	1.692451e+03	1.692451e+03
5.700000e+00	6.000000e+00	1.454336e+04	1.926315e+03	1.926315e+03
6.000000e+00	6.300000e+00	1.250218e+04	1.786026e+03	1.786026e+03
6.300000e+00	6.600000e+00	1.326763e+04	1.839889e+03	1.839889e+03
6.600000e+00	6.900000e+00	1.301248e+04	1.822111e+03	1.822111e+03
6.900000e+00	7.200000e+00	1.428821e+04	1.909343e+03	1.909343e+03
7.200000e+00	7.500000e+00	1.071616e+04	1.653539e+03	1.653539e+03
7.500000e+00	7.800000e+00	1.428821e+04	1.909343e+03	1.909343e+03
7.800000e+00	8.100000e+00	1.352277e+04	1.857496e+03	1.857496e+03
8.100000e+00	8.400000e+00	1.428821e+04	1.909343e+03	1.909343e+03
8.400000e+00	8.700000e+00	1.581909e+04	2.009027e+03	2.009027e+03
8.700000e+00	9.000000e+00	1.199189e+04	1.749197e+03	1.749197e+03
9.000000e+00	9.300000e+00	1.352277e+04	1.857496e+03	1.857496e+03
9.300000e+00	9.600000e+00	1.224704e+04	1.767708e+03	1.767708e+03
9.600000e+00	9.900000e+00	1.173675e+04	1.730489e+03	1.730489e+03
9.900000e+00	1.020000e+01	1.173675e+04	1.730489e+03	1.730489e+03
1.020000e+01	1.050000e+01	1.224704e+04	1.767708e+03	1.767708e+03
1.050000e+01	1.080000e+01	9.950720e+03	1.593390e+03	1.593390e+03
1.080000e+01	1.110000e+01	1.046101e+04	1.633736e+03	1.633736e+03
1.110000e+01	1.140000e+01	1.173675e+04	1.730489e+03	1.730489e+03
1.140000e+01	1.170000e+01	1.071616e+04	1.653539e+03	1.653539e+03
1.170000e+01	1.200000e+01	1.454336e+04	1.926315e+03	1.926315e+03
1.200000e+01	1.230000e+01	7.144107e+03	1.350109e+03	1.350109e+03
1.230000e+01	1.260000e+01	1.020587e+04	1.613689e+03	1.613689e+03
1.260000e+01	1.290000e+01	7.909547e+03	1.420597e+03	1.420597e+03
1.290000e+01	1.320000e+01	6.888960e+03	1.325781e+03	1.325781e+03
1.320000e+01	1.350000e+01	7.654400e+03	1.397496e+03	1.397496e+03
1.350000e+01	1.380000e+01	8.164693e+03	1.443327e+03	1.443327e+03
1.380000e+01	1.410000e+01	5.613227e+03	1.196744e+03	1.196744e+03
1.410000e+01	1.440000e+01	8.674987e+03	1.487748e+03	1.487748e+03
1.440000e+01	1.470000e+01	5.868373e+03	1.223640e+03	1.223640e+03
1.470000e+01	1.500000e+01	4.592640e+03	1.082496e+03	1.082496e+03
1.500000e+01	1.530000e+01	5.102933e+03	1.141051e+03	1.141051e+03
1.530000e+01	1.560000e+01	5.102933e+03	1.141051e+03	1.141051e+03
1.560000e+01	1.590000e+01	2.551467e+03	8.068445e+02	8.068445e+02
1.590000e+01	1.620000e+01	5.358080e+03	1.169229e+03	1.169229e+03
1.620000e+01	1.650000e+01	3.572053e+03	9.546713e+02	9.546713e+02
1.650000e+01	1.680000e+01	3.061759e+03	8.838539e+02	8.838539e+02
1.680000e+01	1.710000e+01	4.847787e+03	1.112159e+03	1.112159e+03
1.710000e+01	1.740000e+01	4.847787e+03	1.112159e+03	1.112159e+03
1.740000e+01	1.770000e+01	4.082347e+03	1.020587e+03	1.020587e+03
1.770000e+01	1.800000e+01	3.316906e+03	9.199443e+02	9.199443e+02
1.800000e+01	1.830000e+01	1.275733e+03	5.705252e+02	5.705252e+02
1.830000e+01	1.860000e+01	2.041173e+03	7.216637e+02	7.216637e+02
1.860000e+01	1.890000e+01	2.551466e+03	8.068445e+02	8.068445e+02
1.890000e+01	1.920000e+01	3.061760e+03	8.838539e+02	8.838539e+02
