# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHCtogether.yoda/MC_BC/h_rap_3s1 //mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHC_sum.yoda/MC_BC/h_rap_3s1
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHCtogether.yoda/MC_BC/h_rap_3s1 //mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHC_sum.yoda/MC_BC/h_rap_3s1
RatioPlotReference=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHCtogether.yoda/MC_BC/h_rap_3s1
RatioPlot=1
LogY=0
RatioPlotYLabel=Ratio
XLabel=$p_\perp$
YLabel=d$\sigma[pb]$
Legend=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHCtogether.yoda/MC_BC/h_rap_3s1
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHCtogether.yoda/MC_BC/h_rap_3s1
ScaledBy=7.65439901499275663e+01
Title=P and S-wave
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+01	-9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.800000e+00	-9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.600000e+00	-9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.400000e+00	-9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.200000e+00	-9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.000000e+00	-8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.800000e+00	-8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.600000e+00	-8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.400000e+00	-8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.200000e+00	-8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.000000e+00	-7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.800000e+00	-7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.600000e+00	-7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.400000e+00	-7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.200000e+00	-7.000000e+00	3.827199e+02	3.827199e+02	3.827199e+02
-7.000000e+00	-6.800000e+00	3.827199e+02	3.827199e+02	3.827199e+02
-6.800000e+00	-6.600000e+00	1.148160e+03	6.628905e+02	6.628905e+02
-6.600000e+00	-6.400000e+00	3.827200e+02	3.827200e+02	3.827200e+02
-6.400000e+00	-6.200000e+00	1.148160e+03	6.628905e+02	6.628905e+02
-6.200000e+00	-6.000000e+00	1.148160e+03	6.628905e+02	6.628905e+02
-6.000000e+00	-5.800000e+00	7.654400e+02	5.412476e+02	5.412476e+02
-5.800000e+00	-5.600000e+00	3.827199e+02	3.827200e+02	3.827200e+02
-5.600000e+00	-5.400000e+00	1.148160e+03	6.628905e+02	6.628905e+02
-5.400000e+00	-5.200000e+00	2.679039e+03	1.012582e+03	1.012582e+03
