# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHC_Pwave_2.yoda/MC_BC/h_pT_Bc
XLabel=$p_\perp$[GeV]
YLabelSep=8
YLabel=$\frac{d\sigma }{dp_\perp}$[pb GeV${}^-1$]
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHC_Pwave_2.yoda/MC_BC/h_pT_Bc
LeftMargin=2.3
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHC_Pwave_2.yoda/MC_BC/h_pT_Bc
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHC_Pwave_2.yoda/MC_BC/h_pT_Bc
ScaledBy=6.95641158762593818e+02
Title=$P$-wave
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-01	1.391282e+04	5.679886e+03	5.679886e+03
3.000000e-01	6.000000e-01	7.652053e+04	1.332051e+04	1.332051e+04
6.000000e-01	9.000000e-01	9.275213e+04	1.466541e+04	1.466541e+04
9.000000e-01	1.200000e+00	1.507222e+05	1.869479e+04	1.869479e+04
1.200000e+00	1.500000e+00	1.785479e+05	2.034742e+04	2.034742e+04
1.500000e+00	1.800000e+00	2.086923e+05	2.199810e+04	2.199810e+04
1.800000e+00	2.100000e+00	2.736189e+05	2.518866e+04	2.518866e+04
2.100000e+00	2.400000e+00	3.455017e+05	2.830461e+04	2.830461e+04
2.400000e+00	2.700000e+00	2.782564e+05	2.540122e+04	2.540122e+04
2.700000e+00	3.000000e+00	3.385453e+05	2.801821e+04	2.801821e+04
3.000000e+00	3.300000e+00	3.640523e+05	2.905453e+04	2.905453e+04
3.300000e+00	3.600000e+00	3.895590e+05	3.005513e+04	3.005513e+04
3.600000e+00	3.900000e+00	4.637607e+05	3.279284e+04	3.279284e+04
3.900000e+00	4.200000e+00	4.127470e+05	3.093670e+04	3.093670e+04
4.200000e+00	4.500000e+00	4.266600e+05	3.145378e+04	3.145378e+04
4.500000e+00	4.800000e+00	2.898505e+05	2.592502e+04	2.592502e+04
4.800000e+00	5.100000e+00	3.918777e+05	3.014445e+04	3.014445e+04
5.100000e+00	5.400000e+00	3.292702e+05	2.763174e+04	2.763174e+04
5.400000e+00	5.700000e+00	3.084009e+05	2.674175e+04	2.674175e+04
5.700000e+00	6.000000e+00	2.689813e+05	2.497428e+04	2.497428e+04
6.000000e+00	6.300000e+00	3.084009e+05	2.674175e+04	2.674175e+04
6.300000e+00	6.600000e+00	2.944881e+05	2.613159e+04	2.613159e+04
6.600000e+00	6.900000e+00	2.202864e+05	2.260090e+04	2.260090e+04
6.900000e+00	7.200000e+00	2.156488e+05	2.236174e+04	2.236174e+04
7.200000e+00	7.500000e+00	1.785479e+05	2.034742e+04	2.034742e+04
7.500000e+00	7.800000e+00	1.715915e+05	1.994710e+04	1.994710e+04
7.800000e+00	8.100000e+00	1.808667e+05	2.047912e+04	2.047912e+04
8.100000e+00	8.400000e+00	1.414470e+05	1.811044e+04	1.811044e+04
8.400000e+00	8.700000e+00	1.043462e+05	1.555501e+04	1.555501e+04
8.700000e+00	9.000000e+00	1.159402e+05	1.639642e+04	1.639642e+04
9.000000e+00	9.300000e+00	1.020274e+05	1.538120e+04	1.538120e+04
9.300000e+00	9.600000e+00	1.020274e+05	1.538120e+04	1.538120e+04
9.600000e+00	9.900000e+00	1.113026e+05	1.606514e+04	1.606514e+04
9.900000e+00	1.020000e+01	7.652053e+04	1.332051e+04	1.332051e+04
1.020000e+01	1.050000e+01	5.101367e+04	1.087615e+04	1.087615e+04
1.050000e+01	1.080000e+01	6.028890e+04	1.182363e+04	1.182363e+04
1.080000e+01	1.110000e+01	6.028890e+04	1.182363e+04	1.182363e+04
1.110000e+01	1.140000e+01	5.333250e+04	1.112059e+04	1.112059e+04
1.140000e+01	1.170000e+01	5.333250e+04	1.112059e+04	1.112059e+04
1.170000e+01	1.200000e+01	4.405727e+04	1.010743e+04	1.010743e+04
1.200000e+01	1.230000e+01	3.710087e+04	9.275215e+03	9.275215e+03
1.230000e+01	1.260000e+01	2.782564e+04	8.032572e+03	8.032572e+03
1.260000e+01	1.290000e+01	4.637607e+04	1.037001e+04	1.037001e+04
1.290000e+01	1.320000e+01	2.550684e+04	7.690602e+03	7.690602e+03
1.320000e+01	1.350000e+01	2.782564e+04	8.032572e+03	8.032572e+03
1.350000e+01	1.380000e+01	1.623163e+04	6.134978e+03	6.134978e+03
1.380000e+01	1.410000e+01	2.086923e+04	6.956412e+03	6.956412e+03
1.410000e+01	1.440000e+01	1.855043e+04	6.558568e+03	6.558568e+03
1.440000e+01	1.470000e+01	2.318804e+04	7.332701e+03	7.332701e+03
1.470000e+01	1.500000e+01	2.086924e+04	6.956411e+03	6.956411e+03
1.500000e+01	1.530000e+01	1.391282e+04	5.679887e+03	5.679887e+03
