# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHC_Pwave_2.yoda/MC_BC/h_pT //mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHCBcs_2.yoda/MC_BC/h_pT
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHC_Pwave_2.yoda/MC_BC/h_pT //mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHCBcs_2.yoda/MC_BC/h_pT
RatioPlot=1
LogY=0
RatioPlotYLabel=Ratio
YLabelSep=8
RatioPlotReference=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHC_Pwave_2.yoda/MC_BC/h_pT
XLabel=$p_\perp$[GeV]
YLabel=$\frac{d\sigma }{dp_\perp}$[pb GeV${}^-1$]
Legend=1
LeftMargin=2.3
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHC_Pwave_2.yoda/MC_BC/h_pT
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHC_Pwave_2.yoda/MC_BC/h_pT
ScaledBy=7.86039073972364008e+02
Title=$P$-wave
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-01	5.240260e+03	3.705424e+03	3.705424e+03
3.000000e-01	6.000000e-01	1.572078e+04	6.417982e+03	6.417982e+03
6.000000e-01	9.000000e-01	1.572078e+04	6.417982e+03	6.417982e+03
9.000000e-01	1.200000e+00	2.882144e+04	8.689989e+03	8.689989e+03
1.200000e+00	1.500000e+00	3.930197e+04	1.014772e+04	1.014772e+04
1.500000e+00	1.800000e+00	3.930193e+04	1.014772e+04	1.014772e+04
1.800000e+00	2.100000e+00	6.026300e+04	1.256570e+04	1.256570e+04
2.100000e+00	2.400000e+00	4.192210e+04	1.048052e+04	1.048052e+04
2.400000e+00	2.700000e+00	4.716237e+04	1.111627e+04	1.111627e+04
2.700000e+00	3.000000e+00	5.502273e+04	1.200695e+04	1.200695e+04
3.000000e+00	3.300000e+00	6.288313e+04	1.283597e+04	1.283597e+04
3.300000e+00	3.600000e+00	8.646430e+04	1.505150e+04	1.505150e+04
3.600000e+00	3.900000e+00	7.074350e+04	1.361460e+04	1.361460e+04
3.900000e+00	4.200000e+00	8.908443e+04	1.527785e+04	1.527785e+04
4.200000e+00	4.500000e+00	7.336363e+04	1.386443e+04	1.386443e+04
4.500000e+00	4.800000e+00	6.288313e+04	1.283597e+04	1.283597e+04
4.800000e+00	5.100000e+00	6.812340e+04	1.336009e+04	1.336009e+04
5.100000e+00	5.400000e+00	7.598380e+04	1.410984e+04	1.410984e+04
5.400000e+00	5.700000e+00	4.716233e+04	1.111627e+04	1.111627e+04
5.700000e+00	6.000000e+00	5.240260e+04	1.171758e+04	1.171758e+04
6.000000e+00	6.300000e+00	5.240260e+04	1.171758e+04	1.171758e+04
6.300000e+00	6.600000e+00	7.074353e+04	1.361460e+04	1.361460e+04
6.600000e+00	6.900000e+00	5.502273e+04	1.200695e+04	1.200695e+04
6.900000e+00	7.200000e+00	4.978247e+04	1.142088e+04	1.142088e+04
7.200000e+00	7.500000e+00	6.550323e+04	1.310065e+04	1.310065e+04
7.500000e+00	7.800000e+00	3.406170e+04	9.447014e+03	9.447014e+03
7.800000e+00	8.100000e+00	4.454220e+04	1.080308e+04	1.080308e+04
8.100000e+00	8.400000e+00	2.358118e+04	7.860391e+03	7.860391e+03
8.400000e+00	8.700000e+00	2.882143e+04	8.689989e+03	8.689989e+03
8.700000e+00	9.000000e+00	1.834091e+04	6.932212e+03	6.932212e+03
9.000000e+00	9.300000e+00	2.358117e+04	7.860391e+03	7.860391e+03
9.300000e+00	9.600000e+00	1.310065e+04	5.858790e+03	5.858790e+03
9.600000e+00	9.900000e+00	2.358117e+04	7.860391e+03	7.860391e+03
9.900000e+00	1.020000e+01	3.406170e+04	9.447014e+03	9.447014e+03
1.020000e+01	1.050000e+01	2.096104e+04	7.410848e+03	7.410848e+03
1.050000e+01	1.080000e+01	1.572078e+04	6.417982e+03	6.417982e+03
1.080000e+01	1.110000e+01	1.048052e+04	5.240261e+03	5.240261e+03
1.110000e+01	1.140000e+01	1.572078e+04	6.417983e+03	6.417983e+03
1.140000e+01	1.170000e+01	1.048052e+04	5.240261e+03	5.240261e+03
1.170000e+01	1.200000e+01	5.240260e+03	3.705424e+03	3.705424e+03
1.200000e+01	1.230000e+01	1.310065e+04	5.858789e+03	5.858789e+03
1.230000e+01	1.260000e+01	5.240260e+03	3.705424e+03	3.705424e+03
1.260000e+01	1.290000e+01	1.310065e+04	5.858789e+03	5.858789e+03
1.290000e+01	1.320000e+01	7.860390e+03	4.538198e+03	4.538198e+03
1.320000e+01	1.350000e+01	7.860390e+03	4.538200e+03	4.538200e+03
1.350000e+01	1.380000e+01	2.620130e+03	2.620130e+03	2.620130e+03
1.380000e+01	1.410000e+01	7.860390e+03	4.538198e+03	4.538198e+03
1.410000e+01	1.440000e+01	5.240260e+03	3.705424e+03	3.705424e+03
1.440000e+01	1.470000e+01	5.240260e+03	3.705424e+03	3.705424e+03
1.470000e+01	1.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+01	1.530000e+01	5.240260e+03	3.705424e+03	3.705424e+03
1.530000e+01	1.560000e+01	7.860390e+03	4.538198e+03	4.538198e+03
1.560000e+01	1.590000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.590000e+01	1.620000e+01	5.240260e+03	3.705424e+03	3.705424e+03
1.620000e+01	1.650000e+01	1.048052e+04	5.240260e+03	5.240260e+03
1.650000e+01	1.680000e+01	2.620131e+03	2.620131e+03	2.620131e+03
1.680000e+01	1.710000e+01	1.048052e+04	5.240261e+03	5.240261e+03
1.710000e+01	1.740000e+01	7.860390e+03	4.538198e+03	4.538198e+03
1.740000e+01	1.770000e+01	5.240260e+03	3.705424e+03	3.705424e+03
1.770000e+01	1.800000e+01	2.620130e+03	2.620130e+03	2.620130e+03
1.800000e+01	1.830000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.830000e+01	1.860000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.860000e+01	1.890000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.890000e+01	1.920000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.920000e+01	1.950000e+01	2.620131e+03	2.620130e+03	2.620130e+03
1.950000e+01	1.980000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.980000e+01	2.010000e+01	5.240260e+03	3.705424e+03	3.705424e+03
2.010000e+01	2.040000e+01	5.240260e+03	3.705424e+03	3.705424e+03
2.040000e+01	2.070000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.070000e+01	2.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.100000e+01	2.130000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.130000e+01	2.160000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.160000e+01	2.190000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.190000e+01	2.220000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.220000e+01	2.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.250000e+01	2.280000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.280000e+01	2.310000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.310000e+01	2.340000e+01	2.620131e+03	2.620130e+03	2.620130e+03
2.340000e+01	2.370000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.370000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	2.430000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.430000e+01	2.460000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.460000e+01	2.490000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.490000e+01	2.520000e+01	2.620130e+03	2.620130e+03	2.620130e+03
2.520000e+01	2.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.550000e+01	2.580000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.580000e+01	2.610000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.610000e+01	2.640000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.640000e+01	2.670000e+01	0.000000e+00	0.000000e+00	0.000000e+00
