# BEGIN PLOT
LegendOnly=/ATLAS_2016_I1419652/d03-x01-y01 //mt/home/fpauwels/Desktop/Project_Repo/Images for VM/P_T/LHC.yoda/ATLAS_2016_I1419652/d03-x01-y01
XLabel=$\eta$
RatioPlotReference=/ATLAS_2016_I1419652/d03-x01-y01
YLabel=$1/N_\text{ev} \, \mathrm{d}N_\text{ch}/\mathrm{d}\eta$
DrawOnly=/ATLAS_2016_I1419652/d03-x01-y01 //mt/home/fpauwels/Desktop/Project_Repo/Images for VM/P_T/LHC.yoda/ATLAS_2016_I1419652/d03-x01-y01
RatioPlot=1
Title=Charged particle $\eta$, $p_\perp > 500\,\text{MeV}$, $|\eta| < 2.5$, $\tau > 300$ ps
LegendYPos=0.4
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2016_I1419652/d03-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2016_I1419652/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.400000e+00	2.670000e+00	4.351090e-02	4.433995e-02
-2.400000e+00	-2.300000e+00	2.753000e+00	4.554793e-02	4.646698e-02
-2.300000e+00	-2.200000e+00	2.789000e+00	4.320871e-02	4.394789e-02
-2.200000e+00	-2.100000e+00	2.758000e+00	4.257625e-02	4.331546e-02
-2.100000e+00	-2.000000e+00	2.782000e+00	4.282668e-02	4.355590e-02
-2.000000e+00	-1.900000e+00	2.822000e+00	4.347812e-02	4.421731e-02
-1.900000e+00	-1.800000e+00	2.845000e+00	4.491694e-02	4.573610e-02
-1.800000e+00	-1.700000e+00	2.843000e+00	4.657439e-02	4.748354e-02
-1.700000e+00	-1.600000e+00	2.840000e+00	4.440506e-02	4.519428e-02
-1.600000e+00	-1.500000e+00	2.876000e+00	4.321635e-02	4.391561e-02
-1.500000e+00	-1.400000e+00	2.881000e+00	3.831239e-02	3.875180e-02
-1.400000e+00	-1.300000e+00	2.887000e+00	3.843125e-02	3.888065e-02
-1.300000e+00	-1.200000e+00	2.901000e+00	3.543453e-02	3.574405e-02
-1.200000e+00	-1.100000e+00	2.914000e+00	3.558468e-02	3.589421e-02
-1.100000e+00	-1.000000e+00	2.911000e+00	3.512329e-02	3.541285e-02
-1.000000e+00	-9.000000e-01	2.911000e+00	3.517233e-02	3.547189e-02
-9.000000e-01	-8.000000e-01	2.906000e+00	3.344447e-02	3.368408e-02
-8.000000e-01	-7.000000e-01	2.901000e+00	3.341395e-02	3.365356e-02
-7.000000e-01	-6.000000e-01	2.898000e+00	3.291431e-02	3.313395e-02
-6.000000e-01	-5.000000e-01	2.892000e+00	3.284414e-02	3.307376e-02
-5.000000e-01	-4.000000e-01	2.888000e+00	3.240458e-02	3.261423e-02
-4.000000e-01	-3.000000e-01	2.883000e+00	3.234445e-02	3.255410e-02
-3.000000e-01	-2.000000e-01	2.882000e+00	3.218472e-02	3.238438e-02
-2.000000e-01	-1.000000e-01	2.879000e+00	3.213481e-02	3.234445e-02
-1.000000e-01	0.000000e+00	2.879000e+00	3.257441e-02	3.279405e-02
0.000000e+00	1.000000e-01	2.872000e+00	3.249437e-02	3.271401e-02
1.000000e-01	2.000000e-01	2.870000e+00	3.301318e-02	3.325279e-02
2.000000e-01	3.000000e-01	2.871000e+00	3.302316e-02	3.326278e-02
3.000000e-01	4.000000e-01	2.875000e+00	3.271372e-02	3.293336e-02
4.000000e-01	5.000000e-01	2.882000e+00	3.277379e-02	3.300342e-02
5.000000e-01	6.000000e-01	2.883000e+00	3.312351e-02	3.336312e-02
6.000000e-01	7.000000e-01	2.888000e+00	3.316373e-02	3.340334e-02
7.000000e-01	8.000000e-01	2.888000e+00	3.324394e-02	3.348355e-02
8.000000e-01	9.000000e-01	2.897000e+00	3.332432e-02	3.356393e-02
9.000000e-01	1.000000e+00	2.901000e+00	3.464275e-02	3.493231e-02
1.000000e+00	1.100000e+00	2.908000e+00	3.469345e-02	3.497302e-02
1.100000e+00	1.200000e+00	2.898000e+00	3.549410e-02	3.580363e-02
1.200000e+00	1.300000e+00	2.889000e+00	3.536436e-02	3.568387e-02
1.300000e+00	1.400000e+00	2.874000e+00	3.701246e-02	3.740192e-02
1.400000e+00	1.500000e+00	2.860000e+00	3.680352e-02	3.719295e-02
1.500000e+00	1.600000e+00	2.864000e+00	4.403540e-02	4.478464e-02
1.600000e+00	1.700000e+00	2.845000e+00	4.237699e-02	4.303627e-02
1.700000e+00	1.800000e+00	2.818000e+00	4.376646e-02	4.453565e-02
1.800000e+00	1.900000e+00	2.817000e+00	4.268868e-02	4.338789e-02
1.900000e+00	2.000000e+00	2.819000e+00	4.335858e-02	4.409777e-02
2.000000e+00	2.100000e+00	2.804000e+00	4.425663e-02	4.505580e-02
2.100000e+00	2.200000e+00	2.754000e+00	4.293614e-02	4.368535e-02
2.200000e+00	2.300000e+00	2.763000e+00	4.285782e-02	4.360700e-02
2.300000e+00	2.400000e+00	2.737000e+00	4.434838e-02	4.520746e-02
2.400000e+00	2.500000e+00	2.666000e+00	4.271078e-02	4.349985e-02
# END HISTO1D


# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/Images for VM/P_T/LHC.yoda/ATLAS_2016_I1419652/d03-x01-y01
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/Images for VM/P_T/LHC.yoda/ATLAS_2016_I1419652/d03-x01-y01
ScaledBy=1.00022004841065027e-05
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.400000e+00	6.469423e+00	2.543786e-02	2.543786e-02
-2.400000e+00	-2.300000e+00	6.629959e+00	2.575154e-02	2.575154e-02
-2.300000e+00	-2.200000e+00	6.735882e+00	2.595643e-02	2.595643e-02
-2.200000e+00	-2.100000e+00	6.822201e+00	2.612222e-02	2.612222e-02
