# BEGIN PLOT
LegendOnly=/ATLAS_2016_I1419652/d13-x01-y01 //mt/home/fpauwels/Desktop/Project_Repo/Images for VM/P_T/LHC.yoda/ATLAS_2016_I1419652/d13-x01-y01
XLabel=$N_\text{ch}$
RatioPlotReference=/ATLAS_2016_I1419652/d13-x01-y01
YLabel=$1/\sigma \, \mathrm{d}\sigma/\mathrm{d}N_\text{ch}$
Title=Charged multiplicity $\ge 1$, $p_\perp > 500\,\text{MeV}$, $|\eta| < 0.8$, $\tau > 300$ ps
DrawOnly=/ATLAS_2016_I1419652/d13-x01-y01 //mt/home/fpauwels/Desktop/Project_Repo/Images for VM/P_T/LHC.yoda/ATLAS_2016_I1419652/d13-x01-y01
RatioPlot=1
FullRange=1
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2016_I1419652/d13-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2016_I1419652/d13-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.500000e+00	2.131000e-01	4.447857e-03	4.439862e-03
1.500000e+00	2.500000e+00	1.531000e-01	6.236230e-04	6.041188e-04
2.500000e+00	3.500000e+00	1.118000e-01	4.231034e-04	4.088767e-04
3.500000e+00	4.500000e+00	8.655000e-02	2.214408e-04	2.105743e-04
4.500000e+00	5.500000e+00	6.984000e-02	1.018283e-04	9.605823e-05
5.500000e+00	6.500000e+00	5.781000e-02	5.559015e-05	6.193242e-05
6.500000e+00	7.500000e+00	4.833000e-02	4.737575e-05	4.193783e-05
7.500000e+00	8.500000e+00	4.079000e-02	7.827867e-05	4.669683e-05
8.500000e+00	9.500000e+00	3.453000e-02	1.073591e-04	7.939970e-05
9.500000e+00	1.050000e+01	2.922000e-02	1.414573e-04	1.065297e-04
1.050000e+01	1.150000e+01	2.478000e-02	1.543272e-04	1.389887e-04
1.150000e+01	1.250000e+01	2.102000e-02	1.574538e-04	1.563668e-04
1.250000e+01	1.350000e+01	1.775000e-02	1.598727e-04	1.620527e-04
1.350000e+01	1.450000e+01	1.499000e-02	1.585102e-04	1.646647e-04
1.450000e+01	1.550000e+01	1.267000e-02	1.524242e-04	1.626593e-04
1.550000e+01	1.650000e+01	1.067000e-02	1.460734e-04	1.566143e-04
1.650000e+01	1.750000e+01	8.956000e-03	1.389472e-04	1.486979e-04
1.750000e+01	1.850000e+01	7.536000e-03	1.302534e-04	1.407046e-04
1.850000e+01	1.950000e+01	6.274000e-03	1.193728e-04	1.312209e-04
1.950000e+01	2.050000e+01	5.263000e-03	1.096118e-04	1.226571e-04
2.050000e+01	2.150000e+01	4.408000e-03	1.008560e-04	1.130068e-04
2.150000e+01	2.250000e+01	3.688000e-03	9.308810e-05	1.039652e-04
2.250000e+01	2.350000e+01	3.051000e-03	8.376563e-05	9.542081e-05
2.350000e+01	2.450000e+01	2.514000e-03	7.409122e-05	8.606498e-05
2.450000e+01	2.550000e+01	2.066000e-03	6.489274e-05	7.640695e-05
2.550000e+01	2.650000e+01	1.687000e-03	5.623732e-05	6.658406e-05
2.650000e+01	2.750000e+01	1.395000e-03	4.975785e-05	5.799109e-05
2.750000e+01	2.850000e+01	1.142000e-03	4.338484e-05	5.072073e-05
2.850000e+01	2.950000e+01	9.266000e-04	3.703707e-05	4.437103e-05
2.950000e+01	3.050000e+01	7.858000e-04	3.275251e-05	4.023281e-05
3.050000e+01	3.150000e+01	6.533000e-04	2.843210e-05	3.505372e-05
3.150000e+01	3.250000e+01	5.330000e-04	2.433884e-05	2.987365e-05
3.250000e+01	3.350000e+01	4.219000e-04	2.042960e-05	2.460067e-05
3.350000e+01	3.450000e+01	3.378000e-04	1.733917e-05	2.103103e-05
3.450000e+01	3.550000e+01	2.720000e-04	1.451990e-05	1.806029e-05
