# BEGIN PLOT
LegendOnly=/ATLAS_2016_I1419652/d14-x01-y01 //mt/home/fpauwels/Desktop/Project_Repo/Images for VM/P_T/LHC.yoda/ATLAS_2016_I1419652/d14-x01-y01
XLabel=$N_\text{ch}$
RatioPlotReference=/ATLAS_2016_I1419652/d14-x01-y01
YLabel=$<p_T>$ \; [GeV]
Title=Average particle $p_T$, track $p_\perp > 500\,\text{MeV}$, $|\eta| < 0.8$, $\tau > 300$ ps
DrawOnly=/ATLAS_2016_I1419652/d14-x01-y01 //mt/home/fpauwels/Desktop/Project_Repo/Images for VM/P_T/LHC.yoda/ATLAS_2016_I1419652/d14-x01-y01
RatioPlot=1
FullRange=1
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2016_I1419652/d14-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2016_I1419652/d14-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.500000e+00	8.255000e-01	1.654245e-02	1.654245e-02
1.500000e+00	2.500000e+00	8.671000e-01	1.047234e-02	1.047234e-02
2.500000e+00	3.500000e+00	9.062000e-01	4.719518e-03	4.719518e-03
3.500000e+00	4.500000e+00	9.384000e-01	3.145069e-03	3.145069e-03
4.500000e+00	5.500000e+00	9.646000e-01	1.453530e-03	1.453530e-03
5.500000e+00	6.500000e+00	9.863000e-01	1.449224e-03	1.449224e-03
6.500000e+00	7.500000e+00	1.005000e+00	1.481263e-03	1.481263e-03
7.500000e+00	8.500000e+00	1.020000e+00	1.567666e-03	1.567666e-03
8.500000e+00	9.500000e+00	1.034000e+00	1.617331e-03	1.617331e-03
9.500000e+00	1.050000e+01	1.047000e+00	1.630280e-03	1.630280e-03
1.050000e+01	1.150000e+01	1.059000e+00	1.643028e-03	1.643028e-03
1.150000e+01	1.250000e+01	1.070000e+00	1.705742e-03	1.705742e-03
1.250000e+01	1.350000e+01	1.080000e+00	1.840900e-03	1.840900e-03
1.350000e+01	1.450000e+01	1.089000e+00	1.993840e-03	1.993840e-03
1.450000e+01	1.550000e+01	1.098000e+00	2.114873e-03	2.114873e-03
1.550000e+01	1.650000e+01	1.106000e+00	2.263382e-03	2.263382e-03
1.650000e+01	1.750000e+01	1.114000e+00	2.411441e-03	2.411441e-03
1.750000e+01	1.850000e+01	1.122000e+00	2.524218e-03	2.524218e-03
1.850000e+01	1.950000e+01	1.130000e+00	2.649903e-03	2.649903e-03
1.950000e+01	2.050000e+01	1.137000e+00	2.813349e-03	2.813349e-03
2.050000e+01	2.150000e+01	1.144000e+00	2.986884e-03	2.986884e-03
2.150000e+01	2.250000e+01	1.152000e+00	3.182208e-03	3.182208e-03
2.250000e+01	2.350000e+01	1.159000e+00	3.407249e-03	3.407249e-03
2.350000e+01	2.450000e+01	1.166000e+00	3.673835e-03	3.673835e-03
2.450000e+01	2.550000e+01	1.172000e+00	3.997656e-03	3.997656e-03
2.550000e+01	2.650000e+01	1.179000e+00	4.367372e-03	4.367372e-03
2.650000e+01	2.750000e+01	1.186000e+00	4.793197e-03	4.793197e-03
2.750000e+01	2.850000e+01	1.192000e+00	5.212355e-03	5.212355e-03
2.850000e+01	2.950000e+01	1.197000e+00	5.677622e-03	5.677622e-03
2.950000e+01	3.050000e+01	1.202000e+00	6.193379e-03	6.193379e-03
3.050000e+01	3.150000e+01	1.207000e+00	6.785686e-03	6.785686e-03
3.150000e+01	3.250000e+01	1.213000e+00	7.512270e-03	7.512270e-03
3.250000e+01	3.350000e+01	1.219000e+00	8.289455e-03	8.289455e-03
3.350000e+01	3.450000e+01	1.225000e+00	9.213010e-03	9.213010e-03
3.450000e+01	3.550000e+01	1.232000e+00	1.013381e-02	1.013381e-02
3.550000e+01	3.650000e+01	1.238000e+00	1.120204e-02	1.120204e-02
3.650000e+01	3.750000e+01	1.245000e+00	1.230762e-02	1.230762e-02
3.750000e+01	3.850000e+01	1.252000e+00	1.343445e-02	1.343445e-02
3.850000e+01	3.950000e+01	1.259000e+00	1.519240e-02	1.519240e-02
3.950000e+01	4.050000e+01	1.263000e+00	1.650712e-02	1.650712e-02
4.050000e+01	4.150000e+01	1.267000e+00	1.824573e-02	1.824573e-02
4.150000e+01	4.250000e+01	1.270000e+00	1.999089e-02	1.999089e-02
4.250000e+01	4.350000e+01	1.274000e+00	2.257471e-02	2.257471e-02
4.350000e+01	4.450000e+01	1.279000e+00	2.516020e-02	2.516020e-02
4.450000e+01	4.550000e+01	1.286000e+00	2.820395e-02	2.820395e-02
4.550000e+01	5.000000e+01	1.306000e+00	3.514198e-02	3.514198e-02
5.000000e+01	5.500000e+01	1.341000e+00	5.518898e-02	5.518898e-02
# END HISTO1D


# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/Images for VM/P_T/LHC.yoda/ATLAS_2016_I1419652/d14-x01-y01
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/Images for VM/P_T/LHC.yoda/ATLAS_2016_I1419652/d14-x01-y01
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.500000e+00	9.667750e-01	1.435845e-02	1.435845e-02
1.500000e+00	2.500000e+00	1.040473e+00	1.007931e-02	1.007931e-02
2.500000e+00	3.500000e+00	1.086261e+00	8.322405e-03	8.322405e-03
3.500000e+00	4.500000e+00	1.136625e+00	7.256046e-03	7.256046e-03
4.500000e+00	5.500000e+00	1.153979e+00	5.910730e-03	5.910730e-03
5.500000e+00	6.500000e+00	1.196656e+00	5.623485e-03	5.623485e-03
6.500000e+00	7.500000e+00	1.215914e+00	5.532115e-03	5.532115e-03
7.500000e+00	8.500000e+00	1.227642e+00	4.871826e-03	4.871826e-03
8.500000e+00	9.500000e+00	1.230917e+00	4.616429e-03	4.616429e-03
9.500000e+00	1.050000e+01	1.245491e+00	4.207511e-03	4.207511e-03
1.050000e+01	1.150000e+01	1.245672e+00	4.335063e-03	4.335063e-03
1.150000e+01	1.250000e+01	1.255081e+00	4.250773e-03	4.250773e-03
1.250000e+01	1.350000e+01	1.267331e+00	4.162622e-03	4.162622e-03
1.350000e+01	1.450000e+01	1.270809e+00	4.165350e-03	4.165350e-03
1.450000e+01	1.550000e+01	1.275817e+00	4.169329e-03	4.169329e-03
1.550000e+01	1.650000e+01	1.279734e+00	4.168327e-03	4.168327e-03
1.650000e+01	1.750000e+01	1.270130e+00	4.199352e-03	4.199352e-03
1.750000e+01	1.850000e+01	1.299705e+00	4.579661e-03	4.579661e-03
1.850000e+01	1.950000e+01	1.300426e+00	4.562292e-03	4.562292e-03
1.950000e+01	2.050000e+01	1.301519e+00	4.930712e-03	4.930712e-03
2.050000e+01	2.150000e+01	1.308714e+00	4.927765e-03	4.927765e-03
2.150000e+01	2.250000e+01	1.314946e+00	5.425791e-03	5.425791e-03
2.250000e+01	2.350000e+01	1.323423e+00	5.903606e-03	5.903606e-03
2.350000e+01	2.450000e+01	1.341934e+00	6.208271e-03	6.208271e-03
2.450000e+01	2.550000e+01	1.336588e+00	6.403962e-03	6.403962e-03
2.550000e+01	2.650000e+01	1.355087e+00	7.102585e-03	7.102585e-03
2.650000e+01	2.750000e+01	1.345483e+00	8.466918e-03	8.466918e-03
2.750000e+01	2.850000e+01	1.370391e+00	8.680669e-03	8.680669e-03
2.850000e+01	2.950000e+01	1.357338e+00	8.919381e-03	8.919381e-03
2.950000e+01	3.050000e+01	1.379567e+00	1.055985e-02	1.055985e-02
3.050000e+01	3.150000e+01	1.388466e+00	1.064687e-02	1.064687e-02
3.150000e+01	3.250000e+01	1.355932e+00	1.145360e-02	1.145360e-02
3.250000e+01	3.350000e+01	1.371664e+00	1.145287e-02	1.145287e-02
3.350000e+01	3.450000e+01	1.386790e+00	1.388202e-02	1.388202e-02
3.450000e+01	3.550000e+01	1.372934e+00	1.424217e-02	1.424217e-02
3.550000e+01	3.650000e+01	1.419992e+00	1.823231e-02	1.823231e-02
3.650000e+01	3.750000e+01	1.435399e+00	2.019376e-02	2.019376e-02
3.750000e+01	3.850000e+01	1.417887e+00	1.965100e-02	1.965100e-02
3.850000e+01	3.950000e+01	1.382416e+00	2.465490e-02	2.465490e-02
3.950000e+01	4.050000e+01	1.426946e+00	2.810840e-02	2.810840e-02
4.050000e+01	4.150000e+01	1.466059e+00	3.087752e-02	3.087752e-02
4.150000e+01	4.250000e+01	1.469489e+00	3.664364e-02	3.664364e-02
4.250000e+01	4.350000e+01	1.498945e+00	3.674649e-02	3.674649e-02
4.350000e+01	4.450000e+01	1.517299e+00	4.279102e-02	4.279102e-02
4.450000e+01	4.550000e+01	1.535480e+00	5.361042e-02	5.361042e-02
4.550000e+01	5.000000e+01	1.496270e+00	3.243415e-02	3.243415e-02
5.000000e+01	5.500000e+01	1.746125e+00	1.246739e-01	1.246739e-01
# END HISTO1D

