# BEGIN PLOT
LegendOnly=/ATLAS_2016_I1419652/d16-x01-y01 //mt/home/fpauwels/Desktop/Project_Repo/Images for VM/P_T/LHC.yoda/ATLAS_2016_I1419652/d16-x01-y01
XLabel=$p_\perp$ \; [GeV]
RatioPlotReference=/ATLAS_2016_I1419652/d16-x01-y01
YLabel=$1/N_\text{ev} \, 1/2\pi{}p_\perp \, \mathrm{d}\sigma/\mathrm{d}\eta\mathrm{d}p_\perp$
DrawOnly=/ATLAS_2016_I1419652/d16-x01-y01 //mt/home/fpauwels/Desktop/Project_Repo/Images for VM/P_T/LHC.yoda/ATLAS_2016_I1419652/d16-x01-y01
RatioPlot=1
Title=Charged particle $p_\perp$, $p_\perp > 500\,\text{MeV}$, $|\eta| < 0.8$, $\tau > 30$ ps
Legend=1
LogX=1
LogY=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2016_I1419652/d16-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2016_I1419652/d16-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	6.000000e-01	2.025000e+00	1.683659e-02	1.672670e-02
6.000000e-01	7.000000e-01	1.335000e+00	1.091417e-02	1.083427e-02
7.000000e-01	8.000000e-01	9.108000e-01	8.410081e-03	8.365125e-03
8.000000e-01	9.000000e-01	6.363000e-01	6.206077e-03	6.176112e-03
9.000000e-01	1.000000e+00	4.544000e-01	4.842896e-03	4.823919e-03
1.000000e+00	1.100000e+00	3.308000e-01	3.852700e-03	3.839720e-03
1.100000e+00	1.200000e+00	2.445000e-01	3.204612e-03	3.196621e-03
1.200000e+00	1.300000e+00	1.836000e-01	2.781144e-03	2.775151e-03
1.300000e+00	1.400000e+00	1.397000e-01	2.514491e-03	2.510495e-03
1.400000e+00	1.500000e+00	1.073000e-01	2.259326e-03	2.257328e-03
1.500000e+00	1.600000e+00	8.352000e-02	2.002767e-03	2.000769e-03
1.600000e+00	1.700000e+00	6.527000e-02	1.736942e-03	1.735943e-03
1.700000e+00	1.800000e+00	5.162000e-02	1.515353e-03	1.514354e-03
1.800000e+00	1.900000e+00	4.106000e-02	1.324994e-03	1.323995e-03
1.900000e+00	2.000000e+00	3.296000e-02	1.154027e-03	1.154027e-03
2.000000e+00	2.100000e+00	2.641000e-02	1.000239e-03	9.999395e-04
2.100000e+00	2.200000e+00	2.152000e-02	8.646279e-04	8.644280e-04
2.200000e+00	2.300000e+00	1.743000e-02	7.483222e-04	7.481223e-04
2.300000e+00	2.400000e+00	1.434000e-02	6.533184e-04	6.532184e-04
2.400000e+00	2.500000e+00	1.177000e-02	5.631459e-04	5.629461e-04
2.500000e+00	2.700000e+00	8.920000e-03	4.534393e-04	4.533394e-04
2.700000e+00	2.900000e+00	6.194000e-03	3.375933e-04	3.375933e-04
2.900000e+00	3.100000e+00	4.364000e-03	2.487785e-04	2.487785e-04
3.100000e+00	3.300000e+00	3.149000e-03	1.863354e-04	1.862355e-04
3.300000e+00	3.500000e+00	2.272000e-03	1.370487e-04	1.370487e-04
3.500000e+00	4.000000e+00	1.370000e-03	8.432580e-05	8.431581e-05
4.000000e+00	4.500000e+00	6.763000e-04	4.058169e-05	4.058169e-05
4.500000e+00	5.000000e+00	3.630000e-04	2.082512e-05	2.082512e-05
5.000000e+00	6.000000e+00	1.585000e-04	8.054929e-06	8.053931e-06
6.000000e+00	7.000000e+00	5.852000e-05	2.278909e-06	2.277915e-06
7.000000e+00	8.000000e+00	2.501000e-05	6.859281e-07	6.857315e-07
8.000000e+00	9.000000e+00	1.195000e-05	2.698963e-07	2.698001e-07
9.000000e+00	1.000000e+01	5.839000e-06	9.703270e-08	9.696101e-08
1.000000e+01	1.500000e+01	1.533000e-06	3.015011e-08	3.013167e-08
1.500000e+01	2.000000e+01	1.861000e-07	5.247596e-09	5.246744e-09
2.000000e+01	3.000000e+01	2.590000e-08	1.012492e-09	1.012345e-09
3.000000e+01	5.000000e+01	1.639000e-09	1.468077e-10	1.468402e-10
# END HISTO1D


# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/Images for VM/P_T/LHC.yoda/ATLAS_2016_I1419652/d16-x01-y01
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/Images for VM/P_T/LHC.yoda/ATLAS_2016_I1419652/d16-x01-y01
ScaledBy=1.00963063886031252e-06
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	6.000000e-01	3.639979e+00	8.213535e-03	8.213535e-03
6.000000e-01	7.000000e-01	2.410838e+00	6.140686e-03	6.140686e-03
