# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/Images for VM/P_T/LHC.yoda/MC_BC_comparison/points_reference
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/Images for VM/P_T/LHC.yoda/MC_BC_comparison/points_reference
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/Images for VM/P_T/LHC.yoda/MC_BC_comparison/points_reference
IsRef=1
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/Images for VM/P_T/LHC.yoda/MC_BC_comparison/points_reference
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
7.000000e-02	2.250000e-01	8.019107e-01	2.024194e-01	2.024194e-01
2.250000e-01	3.800000e-01	8.856508e-01	2.185359e-01	2.185359e-01
3.800000e-01	5.350000e-01	8.430398e-01	2.095106e-01	2.095106e-01
5.350000e-01	6.900000e-01	8.416857e-01	2.088656e-01	2.088656e-01
6.900000e-01	8.450000e-01	8.325959e-01	2.062868e-01	2.062868e-01
8.450000e-01	1.000000e+00	8.480038e-01	2.127341e-01	2.127341e-01
1.000000e+00	1.155000e+00	7.215232e-01	1.779225e-01	1.779225e-01
1.155000e+00	1.310000e+00	6.772031e-01	1.688975e-01	1.688975e-01
# END HISTO1D

