# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_pT
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_pT
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_pT
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_pT
ScaledBy=2.34412100942780999e+04
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	3.985006e+05	9.665059e+04	9.665059e+04
1.000000e+00	2.000000e+00	9.610896e+05	1.500970e+05	1.500970e+05
2.000000e+00	3.000000e+00	1.383031e+06	1.800554e+05	1.800554e+05
3.000000e+00	4.000000e+00	1.265825e+06	1.722570e+05	1.722570e+05
4.000000e+00	5.000000e+00	1.687767e+06	1.989053e+05	1.989053e+05
5.000000e+00	6.000000e+00	2.344121e+06	2.344121e+05	2.344121e+05
6.000000e+00	7.000000e+00	2.648857e+06	2.491835e+05	2.491835e+05
7.000000e+00	8.000000e+00	2.273797e+06	2.308691e+05	2.308691e+05
8.000000e+00	9.000000e+00	2.156591e+06	2.248402e+05	2.248402e+05
9.000000e+00	1.000000e+01	2.461327e+06	2.402009e+05	2.402009e+05
1.000000e+01	1.100000e+01	2.226915e+06	2.284767e+05	2.284767e+05
1.100000e+01	1.200000e+01	1.664326e+06	1.975191e+05	1.975191e+05
1.200000e+01	1.300000e+01	1.992503e+06	2.161173e+05	2.161173e+05
1.300000e+01	1.400000e+01	1.945620e+06	2.135596e+05	2.135596e+05
1.400000e+01	1.500000e+01	1.969062e+06	2.148422e+05	2.148422e+05
1.500000e+01	1.600000e+01	1.617443e+06	1.947173e+05	1.947173e+05
1.600000e+01	1.700000e+01	1.922179e+06	2.122692e+05	2.122692e+05
1.700000e+01	1.800000e+01	1.898738e+06	2.109709e+05	2.109709e+05
1.800000e+01	1.900000e+01	1.594002e+06	1.933012e+05	1.933012e+05
1.900000e+01	2.000000e+01	1.359590e+06	1.785229e+05	1.785229e+05
2.000000e+01	2.100000e+01	1.336149e+06	1.769773e+05	1.769773e+05
2.100000e+01	2.200000e+01	1.359590e+06	1.785229e+05	1.785229e+05
2.200000e+01	2.300000e+01	1.101737e+06	1.607049e+05	1.607049e+05
2.300000e+01	2.400000e+01	8.204424e+05	1.386801e+05	1.386801e+05
2.400000e+01	2.500000e+01	7.501187e+05	1.326035e+05	1.326035e+05
2.500000e+01	2.600000e+01	7.501187e+05	1.326035e+05	1.326035e+05
2.600000e+01	2.700000e+01	6.797951e+05	1.262348e+05	1.262348e+05
2.700000e+01	2.800000e+01	6.329127e+05	1.218041e+05	1.218041e+05
2.800000e+01	2.900000e+01	4.219418e+05	9.945263e+04	9.945263e+04
2.900000e+01	3.000000e+01	6.797951e+05	1.262348e+05	1.262348e+05
3.000000e+01	3.100000e+01	3.047357e+05	8.451848e+04	8.451848e+04
3.100000e+01	3.200000e+01	3.047357e+05	8.451848e+04	8.451848e+04
3.200000e+01	3.300000e+01	4.922654e+05	1.074211e+05	1.074211e+05
3.300000e+01	3.400000e+01	3.281769e+05	8.770898e+04	8.770898e+04
3.400000e+01	3.500000e+01	2.812945e+05	8.120273e+04	8.120273e+04
3.500000e+01	3.600000e+01	1.406473e+05	5.741900e+04	5.741900e+04
3.600000e+01	3.700000e+01	2.578533e+05	7.774570e+04	7.774570e+04
3.700000e+01	3.800000e+01	1.172061e+05	5.241614e+04	5.241614e+04
3.800000e+01	3.900000e+01	1.172061e+05	5.241614e+04	5.241614e+04
3.900000e+01	4.000000e+01	3.047357e+05	8.451848e+04	8.451848e+04
4.000000e+01	4.100000e+01	1.640885e+05	6.201961e+04	6.201961e+04
4.100000e+01	4.200000e+01	1.406473e+05	5.741900e+04	5.741900e+04
4.200000e+01	4.300000e+01	1.640885e+05	6.201961e+04	6.201961e+04
4.300000e+01	4.400000e+01	9.376484e+04	4.688242e+04	4.688242e+04
4.400000e+01	4.500000e+01	7.032363e+04	4.060137e+04	4.060137e+04
4.500000e+01	4.600000e+01	7.032363e+04	4.060137e+04	4.060137e+04
4.600000e+01	4.700000e+01	4.688242e+04	3.315088e+04	3.315088e+04
4.700000e+01	4.800000e+01	1.172061e+05	5.241614e+04	5.241614e+04
4.800000e+01	4.900000e+01	9.376484e+04	4.688242e+04	4.688242e+04
4.900000e+01	5.000000e+01	4.688242e+04	3.315088e+04	3.315088e+04
5.000000e+01	5.100000e+01	4.688242e+04	3.315088e+04	3.315088e+04
5.100000e+01	5.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+01	5.300000e+01	4.688242e+04	3.315088e+04	3.315088e+04
