# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_pT
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_pT
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_pT
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_pT
ScaledBy=2.34843645860855332e+02
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	4.022872e+05	9.719803e+03	9.719803e+03
1.000000e+00	2.000000e+00	9.722527e+05	1.511051e+04	1.511051e+04
2.000000e+00	3.000000e+00	1.360919e+06	1.787745e+04	1.787745e+04
3.000000e+00	4.000000e+00	1.653064e+06	1.970309e+04	1.970309e+04
4.000000e+00	5.000000e+00	1.954839e+06	2.142618e+04	2.142618e+04
5.000000e+00	6.000000e+00	2.107017e+06	2.224454e+04	2.224454e+04
6.000000e+00	7.000000e+00	2.262719e+06	2.305179e+04	2.305179e+04
7.000000e+00	8.000000e+00	2.401276e+06	2.374709e+04	2.374709e+04
8.000000e+00	9.000000e+00	2.412314e+06	2.380161e+04	2.380161e+04
9.000000e+00	1.000000e+01	2.323308e+06	2.335839e+04	2.335839e+04
1.000000e+01	1.100000e+01	2.259900e+06	2.303743e+04	2.303743e+04
1.100000e+01	1.200000e+01	2.194849e+06	2.270344e+04	2.270344e+04
1.200000e+01	1.300000e+01	2.082359e+06	2.211399e+04	2.211399e+04
1.300000e+01	1.400000e+01	1.977149e+06	2.154810e+04	2.154810e+04
1.400000e+01	1.500000e+01	1.901294e+06	2.113071e+04	2.113071e+04
1.500000e+01	1.600000e+01	1.794910e+06	2.053103e+04	2.053103e+04
1.600000e+01	1.700000e+01	1.711540e+06	2.004855e+04	2.004855e+04
1.700000e+01	1.800000e+01	1.611497e+06	1.945379e+04	1.945379e+04
1.800000e+01	1.900000e+01	1.521787e+06	1.890455e+04	1.890455e+04
1.900000e+01	2.000000e+01	1.401782e+06	1.814386e+04	1.814386e+04
2.000000e+01	2.100000e+01	1.289057e+06	1.739905e+04	1.739905e+04
2.100000e+01	2.200000e+01	1.198407e+06	1.677612e+04	1.677612e+04
2.200000e+01	2.300000e+01	1.085212e+06	1.596419e+04	1.596419e+04
2.300000e+01	2.400000e+01	9.901008e+05	1.524857e+04	1.524857e+04
2.400000e+01	2.500000e+01	8.865348e+05	1.442904e+04	1.442904e+04
2.500000e+01	2.600000e+01	8.322859e+05	1.398060e+04	1.398060e+04
2.600000e+01	2.700000e+01	7.129853e+05	1.293986e+04	1.293986e+04
2.700000e+01	2.800000e+01	6.507517e+05	1.236224e+04	1.236224e+04
2.800000e+01	2.900000e+01	5.810032e+05	1.168096e+04	1.168096e+04
2.900000e+01	3.000000e+01	5.234665e+05	1.108751e+04	1.108751e+04
3.000000e+01	3.100000e+01	4.748539e+05	1.056013e+04	1.056013e+04
3.100000e+01	3.200000e+01	4.105067e+05	9.818599e+03	9.818599e+03
3.200000e+01	3.300000e+01	3.928934e+05	9.605650e+03	9.605650e+03
3.300000e+01	3.400000e+01	3.320689e+05	8.830870e+03	8.830870e+03
3.400000e+01	3.500000e+01	2.846305e+05	8.175797e+03	8.175797e+03
3.500000e+01	3.600000e+01	2.632597e+05	7.862879e+03	7.862879e+03
3.600000e+01	3.700000e+01	2.289726e+05	7.332991e+03	7.332991e+03
3.700000e+01	3.800000e+01	2.099502e+05	7.021785e+03	7.021785e+03
3.800000e+01	3.900000e+01	1.960944e+05	6.786128e+03	6.786128e+03
3.900000e+01	4.000000e+01	1.758979e+05	6.427169e+03	6.427169e+03
4.000000e+01	4.100000e+01	1.636860e+05	6.200050e+03	6.200050e+03
4.100000e+01	4.200000e+01	1.385578e+05	5.704333e+03	5.704333e+03
4.200000e+01	4.300000e+01	1.258762e+05	5.437023e+03	5.437023e+03
4.300000e+01	4.400000e+01	1.117856e+05	5.123683e+03	5.123683e+03
4.400000e+01	4.500000e+01	9.088449e+04	4.619919e+03	4.619919e+03
4.500000e+01	4.600000e+01	8.924059e+04	4.577945e+03	4.577945e+03
4.600000e+01	4.700000e+01	7.914231e+04	4.311156e+03	4.311156e+03
4.700000e+01	4.800000e+01	6.599106e+04	3.936697e+03	3.936697e+03
4.800000e+01	4.900000e+01	6.575622e+04	3.929686e+03	3.929686e+03
4.900000e+01	5.000000e+01	5.847607e+04	3.705770e+03	3.705770e+03
5.000000e+01	5.100000e+01	4.274154e+04	3.168214e+03	3.168214e+03
5.100000e+01	5.200000e+01	4.696873e+04	3.321191e+03	3.321191e+03
5.200000e+01	5.300000e+01	4.109764e+04	3.106689e+03	3.106689e+03
5.300000e+01	5.400000e+01	3.687045e+04	2.942582e+03	2.942582e+03
5.400000e+01	5.500000e+01	3.170389e+04	2.728637e+03	2.728637e+03
5.500000e+01	5.600000e+01	2.982514e+04	2.646553e+03	2.646553e+03
5.600000e+01	5.700000e+01	2.724186e+04	2.529343e+03	2.529343e+03
5.700000e+01	5.800000e+01	2.418890e+04	2.383403e+03	2.383403e+03
5.800000e+01	5.900000e+01	2.489343e+04	2.417863e+03	2.417863e+03
5.900000e+01	6.000000e+01	2.184046e+04	2.264750e+03	2.264750e+03
6.000000e+01	6.100000e+01	2.019655e+04	2.177850e+03	2.177850e+03
6.100000e+01	6.200000e+01	1.596937e+04	1.936570e+03	1.936570e+03
6.200000e+01	6.300000e+01	1.409062e+04	1.819091e+03	1.819091e+03
6.300000e+01	6.400000e+01	1.596937e+04	1.936570e+03	1.936570e+03
6.400000e+01	6.500000e+01	1.479515e+04	1.864014e+03	1.864014e+03
6.500000e+01	6.600000e+01	1.667390e+04	1.978828e+03	1.978828e+03
6.600000e+01	6.700000e+01	9.628589e+03	1.503733e+03	1.503733e+03
6.700000e+01	6.800000e+01	1.174218e+04	1.660595e+03	1.660595e+03
6.800000e+01	6.900000e+01	1.009828e+04	1.539973e+03	1.539973e+03
6.900000e+01	7.000000e+01	1.080281e+04	1.592787e+03	1.592787e+03
7.000000e+01	7.100000e+01	6.340778e+03	1.220284e+03	1.220284e+03
7.100000e+01	7.200000e+01	1.080281e+04	1.592787e+03	1.592787e+03
7.200000e+01	7.300000e+01	7.749840e+03	1.349074e+03	1.349074e+03
7.300000e+01	7.400000e+01	9.158902e+03	1.466598e+03	1.466598e+03
7.400000e+01	7.500000e+01	4.931717e+03	1.076189e+03	1.076189e+03
7.500000e+01	7.600000e+01	5.636248e+03	1.150494e+03	1.150494e+03
7.600000e+01	7.700000e+01	5.401404e+03	1.126270e+03	1.126270e+03
7.700000e+01	7.800000e+01	5.636248e+03	1.150494e+03	1.150494e+03
7.800000e+01	7.900000e+01	4.462029e+03	1.023660e+03	1.023660e+03
7.900000e+01	8.000000e+01	3.992342e+03	9.682851e+02	9.682851e+02
8.000000e+01	8.100000e+01	3.757498e+03	9.393746e+02	9.393746e+02
8.100000e+01	8.200000e+01	4.227186e+03	9.963572e+02	9.963572e+02
8.200000e+01	8.300000e+01	5.401404e+03	1.126270e+03	1.126270e+03
8.300000e+01	8.400000e+01	2.113593e+03	7.045309e+02	7.045309e+02
8.400000e+01	8.500000e+01	4.696873e+03	1.050253e+03	1.050253e+03
8.500000e+01	8.600000e+01	3.052967e+03	8.467408e+02	8.467408e+02
8.600000e+01	8.700000e+01	3.052967e+03	8.467408e+02	8.467408e+02
8.700000e+01	8.800000e+01	2.818124e+03	8.135223e+02	8.135223e+02
8.800000e+01	8.900000e+01	1.643906e+03	6.213379e+02	6.213379e+02
8.900000e+01	9.000000e+01	3.287811e+03	8.787044e+02	8.787044e+02
9.000000e+01	9.100000e+01	1.409062e+03	5.752471e+02	5.752471e+02
9.100000e+01	9.200000e+01	2.113593e+03	7.045309e+02	7.045309e+02
9.200000e+01	9.300000e+01	2.113593e+03	7.045309e+02	7.045309e+02
9.300000e+01	9.400000e+01	1.643906e+03	6.213379e+02	6.213379e+02
9.400000e+01	9.500000e+01	1.643906e+03	6.213379e+02	6.213379e+02
9.500000e+01	9.600000e+01	9.393746e+02	4.696873e+02	4.696873e+02
9.600000e+01	9.700000e+01	1.878749e+03	6.642381e+02	6.642381e+02
9.700000e+01	9.800000e+01	1.409062e+03	5.752471e+02	5.752471e+02
9.800000e+01	9.900000e+01	2.348436e+03	7.426408e+02	7.426408e+02
9.900000e+01	1.000000e+02	9.393746e+02	4.696873e+02	4.696873e+02
# END HISTO1D

