# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_rap
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_rap
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_rap
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_rap
ScaledBy=2.34843645860855332e+02
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+01	-9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.800000e+00	-9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.600000e+00	-9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.400000e+00	-9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.200000e+00	-9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.000000e+00	-8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.800000e+00	-8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.600000e+00	-8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.400000e+00	-8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.200000e+00	-8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.000000e+00	-7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.800000e+00	-7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.600000e+00	-7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.400000e+00	-7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.200000e+00	-7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.000000e+00	-6.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-6.800000e+00	-6.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-6.600000e+00	-6.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-6.400000e+00	-6.200000e+00	2.348436e+03	1.660596e+03	1.660596e+03
-6.200000e+00	-6.000000e+00	8.219530e+03	3.106690e+03	3.106690e+03
-6.000000e+00	-5.800000e+00	9.393745e+03	3.321191e+03	3.321191e+03
-5.800000e+00	-5.600000e+00	3.405233e+04	6.323359e+03	6.323359e+03
-5.600000e+00	-5.400000e+00	5.988515e+04	8.385595e+03	8.385595e+03
-5.400000e+00	-5.200000e+00	1.291640e+05	1.231530e+04	1.231530e+04
-5.200000e+00	-5.000000e+00	1.913975e+05	1.499142e+04	1.499142e+04
-5.000000e+00	-4.800000e+00	3.052967e+05	1.893370e+04	1.893370e+04
-4.800000e+00	-4.600000e+00	5.401405e+05	2.518418e+04	2.518418e+04
-4.600000e+00	-4.400000e+00	6.963115e+05	2.859408e+04	2.859408e+04
-4.400000e+00	-4.200000e+00	9.804720e+05	3.393064e+04	3.393064e+04
-4.200000e+00	-4.000000e+00	1.311602e+06	3.924419e+04	3.924419e+04
-4.000000e+00	-3.800000e+00	1.697919e+06	4.465118e+04	4.465118e+04
-3.800000e+00	-3.600000e+00	2.068973e+06	4.928920e+04	4.928920e+04
-3.600000e+00	-3.400000e+00	2.576235e+06	5.500057e+04	5.500057e+04
